table_id,row_id,_b_ethnicity_race_and_citizenship_status_b_full_path,_b_ethnicity_race_and_citizenship_status_b_level_1,_b_ethnicity_race_and_citizenship_status_b_level_2,_b_ethnicity_race_and_citizenship_status_b_level_3,_b_ethnicity_race_and_citizenship_status_b_level_4,_b_ethnicity_race_and_citizenship_status_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
4658,r001,All doctorate recipients,All doctorate recipients,,,,1,22488,22699,23526,24365,24813,25347,25222,25449,25311,25491,25392
4658,r002,All doctorate recipients -> U.S. citizen or permanent resident,All doctorate recipients,U.S. citizen or permanent resident,,,2,16327,16329,16909,17414,17343,17853,18147,18181,18038,17967,17709
4658,r003,All doctorate recipients -> Temporary visa holder,All doctorate recipients,Temporary visa holder,,,2,4868,5056,5224,5571,5633,5734,5805,5686,6275,6555,6608
4658,r004,All doctorate recipients -> Unknown citizenship,All doctorate recipients,Unknown citizenship,,,2,1293,1314,1393,1380,1837,1760,1270,1582,998,969,1075
4658,r005,All doctorate recipients -> Hispanic or Latino,All doctorate recipients,Hispanic or Latino,,,2,1319,1421,1515,1550,1559,1664,1806,1761,1726,1989,2062
4658,r006,All doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,All doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,1027,1096,1196,1230,1191,1330,1414,1384,1375,1542,1585
4658,r007,All doctorate recipients -> Hispanic or Latino -> Temporary visa holder,All doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,286,324,317,309,364,330,386,363,350,440,475
4658,r008,All doctorate recipients -> Hispanic or Latino -> Unknown citizenship,All doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,6,1,2,11,4,4,6,14,1,7,2
4658,r009,All doctorate recipients -> Not Hispanic or Latino,All doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,,
4658,r010,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,65,79,65,64,55,77,73,62,72,66,61
4658,r011,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,59,77,63,63,54,73,71,61,72,63,58
4658,r012,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,6,,,,,,,,0,,
4658,r013,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,0,,,,,,,,0,,
4658,r014,All doctorate recipients -> Not Hispanic or Latino -> Asian,All doctorate recipients,Not Hispanic or Latino,Asian,,3,4662,4904,5117,5392,5465,5598,5513,5593,5900,5999,5906
4658,r015,All doctorate recipients -> Not Hispanic or Latino -> Asian -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Asian,U.S. citizen or permanent resident,4,1518,1569,1631,1628,1638,1713,1652,1847,1740,1793,1683
4658,r016,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Asian,Temporary visa holder,4,3135,3320,3481,3753,3820,3874,3849,3732,4150,4185,4210
4658,r017,All doctorate recipients -> Not Hispanic or Latino -> Asian -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Asian,Unknown citizenship,4,9,15,5,11,7,11,12,14,10,21,13
4658,r018,All doctorate recipients -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Not Hispanic or Latino,Black or African American,,3,1403,1396,1481,1554,1503,1660,1661,1748,1726,1831,1777
4658,r019,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Black or African American,U.S. citizen or permanent resident,4,1242,1233,1314,1371,1351,1468,1495,1551,1526,1619,1540
4658,r020,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Black or African American,Temporary visa holder,4,152,156,166,182,148,187,161,183,197,205,229
