table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field__,field_all_companies,field_1_4_employees,field_5_9_employees
7885,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417",,"['867,027', '&nbsp;']","['390,060', '&nbsp;']","['476,968', '&nbsp;']"
7885,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,,"['84,185', '&nbsp;']","['42,638', '&nbsp;']","['41,548', '&nbsp;']"
7885,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,,"['2,457', 'r']","['2,457', 'r']","['0', '&nbsp;']"
7885,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,r,"['0', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7885,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7885,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7885,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7885,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7885,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,,"['29,114', 'r']","['7,539', '&nbsp;']","['21,575', 'r']"
7885,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,,"['6,899', '&nbsp;']","['4,289', 'r']","['2,610', 'r']"
7885,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,,"['22,215', 'r']","['3,250', '&nbsp;']","['18,965', 'r']"
7885,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,,"['6,860', 'r']","['6,860', 'r']","['0', '&nbsp;']"
7885,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7885,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7885,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,r,"['0', '&nbsp;']","['0', 'r']","['0', '&nbsp;']"
7885,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,,"['4,192', 'r']","['2,293', 'r']","['1,899', 'r']"
7885,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,,"['26,218', '&nbsp;']","['17,080', '&nbsp;']","['9,138', '&nbsp;']"
7885,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,,"['1,367', '&nbsp;']","['1,367', '&nbsp;']","['0', '&nbsp;']"
7885,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,,"['23,398', '&nbsp;']","['14,261', '&nbsp;']","['9,138', '&nbsp;']"
7885,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,,"['1,453', '&nbsp;']","['1,453', '&nbsp;']","['0', '&nbsp;']"
7885,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,,"['2,119', 'r']","['2,119', 'r']","['0', '&nbsp;']"
7885,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,,"['5,417', 'r']","['1,769', '&nbsp;']","['3,647', 'r']"
7885,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,,"['2,308', '&nbsp;']","['1,769', '&nbsp;']","['539', '&nbsp;']"
7885,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,,"['3,109', 'r']","['0', '&nbsp;']","['3,109', 'r']"
7885,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7885,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,,"['7,809', '&nbsp;']","['2,520', '&nbsp;']","['5,289', 'r']"
7885,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417",,"['782,842', '&nbsp;']","['347,422', '&nbsp;']","['435,420', '&nbsp;']"
7885,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,,"['16,195', 'r']","['5,582', 'r']","['10,613', 'r']"
7885,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,,"['26,486', '&nbsp;']","['12,132', 'r']","['14,354', '&nbsp;']"
7885,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,,"['23,242', '&nbsp;']","['10,420', 'r']","['12,822', '&nbsp;']"
7885,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,,"['3,244', '&nbsp;']","['1,712', 'r']","['1,532', '&nbsp;']"
7885,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,,"['115,614', 'r']","['23,235', '&nbsp;']","['92,379', 'r']"
7885,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,,"['165,586', '&nbsp;']","['88,989', '&nbsp;']","['76,598', 'r']"
7885,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,,"['458,961', '&nbsp;']","['217,484', '&nbsp;']","['241,476', '&nbsp;']"
7885,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,,"['30,599', '&nbsp;']","['14,600', '&nbsp;']","['15,998', '&nbsp;']"
7885,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,,"['158,797', '&nbsp;']","['80,562', '&nbsp;']","['78,234', '&nbsp;']"
