table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_doe,field_dot,field_hhs,field_nasa,field_nsf
11248,r001,All consortia,All consortia,,1,622790,24086,35611,31832,3028,13601,298279,216353
11248,r002,All consortia -> Alaska Native Tribal Health Consortium,All consortia,Alaska Native Tribal Health Consortium,2,4917,0,0,0,0,4717,0,200
11248,r003,All consortia -> American Indian Higher Education Consortium,All consortia,American Indian Higher Education Consortium,2,2025,0,0,0,0,1445,0,580
11248,r004,All consortia -> Arctic Research Consortium of the United States,All consortia,Arctic Research Consortium of the United States,2,393,0,0,0,0,0,0,393
11248,r005,All consortia -> Association of Universities for Research in Astronomy,All consortia,Association of Universities for Research in Astronomy,2,310227,0,0,0,0,0,257753,52474
11248,r006,All consortia -> Astrophysical Research Consortium,All consortia,Astrophysical Research Consortium,2,1435,0,0,0,0,0,0,1435
11248,r007,All consortia -> Clinical Data Interchange Standards Consortium Inc.,All consortia,Clinical Data Interchange Standards Consortium Inc.,2,231,0,0,0,0,231,0,0
11248,r008,All consortia -> Commonwealth Center for Advanced Manufacturing,All consortia,Commonwealth Center for Advanced Manufacturing,2,550,300,250,0,0,0,0,0
11248,r009,All consortia -> Consortium for Ocean Leadership,All consortia,Consortium for Ocean Leadership,2,650,0,0,0,0,0,650,0
11248,r010,All consortia -> Consortium of Universities for the Advancement of Hydrologic Science Inc.,All consortia,Consortium of Universities for the Advancement of Hydrologic Science Inc.,2,3166,0,0,0,0,0,0,3166
11248,r011,All consortia -> Consortium of Universities of the Washington Metropolitan Area,All consortia,Consortium of Universities of the Washington Metropolitan Area,2,4462,0,4462,0,0,0,0,0
11248,r012,All consortia -> Great Lakes Inter-Tribal Council Inc.,All consortia,Great Lakes Inter-Tribal Council Inc.,2,522,0,0,0,0,522,0,0
11248,r013,All consortia -> Louisiana Universities Marine Consortium,All consortia,Louisiana Universities Marine Consortium,2,3539,0,0,0,0,0,0,3539
11248,r014,All consortia -> Marine Environmental Sciences Consortium,All consortia,Marine Environmental Sciences Consortium,2,499,0,0,0,0,125,0,374
11248,r015,All consortia -> National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,All consortia,National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,2,3254,0,0,0,0,0,0,3254
11248,r016,All consortia -> National Physical Science Consortium,All consortia,National Physical Science Consortium,2,668,668,0,0,0,0,0,0
11248,r017,All consortia -> New Jersey Sea Grant Consortium Inc.,All consortia,New Jersey Sea Grant Consortium Inc.,2,2027,2027,0,0,0,0,0,0
11248,r018,All consortia -> New Mexico Consortium,All consortia,New Mexico Consortium,2,1225,0,0,0,0,0,278,947
11248,r019,All consortia -> New York Structural Biology Center,All consortia,New York Structural Biology Center,2,6560,0,0,0,0,6560,0,0
11248,r020,All consortia -> Northeast Radio Observatory Corp.,All consortia,Northeast Radio Observatory Corp.,2,2000,0,0,0,0,0,0,2000
11248,r021,All consortia -> Oak Ridge Associated Universities,All consortia,Oak Ridge Associated Universities,2,54914,0,6979,28358,0,0,19311,266
11248,r022,All consortia -> South Carolina Sea Grant Consortium,All consortia,South Carolina Sea Grant Consortium,2,1997,1997,0,0,0,0,0,0
11248,r023,All consortia -> Southwestern Ohio Council for Higher Education,All consortia,Southwestern Ohio Council for Higher Education,2,3194,0,3194,0,0,0,0,0
11248,r024,All consortia -> SRCCO Inc.,All consortia,SRCCO Inc.,2,19991,0,19991,0,0,0,0,0
11248,r025,All consortia -> Stephenson Technologies Corp.,All consortia,Stephenson Technologies Corp.,2,350,0,350,0,0,0,0,0
11248,r026,All consortia -> U. Corp. for Atmospheric Research,All consortia,U. Corp. for Atmospheric Research,2,176701,17094,385,3473,3028,0,19951,132768
11248,r027,All consortia -> UNAVCO Inc.,All consortia,UNAVCO Inc.,2,15197,0,0,0,0,0,337,14860
11248,r028,All consortia -> Universities Research Association,All consortia,Universities Research Association,2,96,0,0,0,0,0,0,96
11248,r029,All consortia -> West Virginia High Technology Consortium Foundation,All consortia,West Virginia High Technology Consortium Foundation,2,2000,2000,0,0,0,0,0,0
