table_id,row_id,time_period,population_subset_level_1,population_subset_level_2,population_subset_level_3,population_subset_hierarchy_depth,value
6156,r001,Patents dependent variable,Population subset,Inventive class (IC),Coefficient estimate,3,"['&nbsp;', '&nbsp;']"
6156,r002,Patents dependent variable,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['&nbsp;', '&nbsp;']"
6156,r003,Patents dependent variable,Population subset,Creative class (CC),Coefficient estimate,3,"['&nbsp;', '&nbsp;']"
6156,r004,Patents dependent variable,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['&nbsp;', '&nbsp;']"
6156,r005,Patents dependent variable -> IC,Population subset,Inventive class (IC),Coefficient estimate,3,"['0.071 ', '**']"
6156,r006,Patents dependent variable -> IC,Population subset,Inventive class (IC),p-value,3,0.029
6156,r007,Patents dependent variable -> IC,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"[' - ', ' - ']"
6156,r008,Patents dependent variable -> IC,Population subset,"Science, engineering, and technical (SET) employment",p-value,3, - 
6156,r009,Patents dependent variable -> IC,Population subset,Creative class (CC),Coefficient estimate,3,"[' - ', ' - ']"
6156,r010,Patents dependent variable -> IC,Population subset,Creative class (CC),p-value,3, - 
6156,r011,Patents dependent variable -> IC,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"[' - ', ' - ']"
6156,r012,Patents dependent variable -> IC,Population subset,At least 4-year college degree (BA),p-value,3, - 
6156,r013,Patents dependent variable -> SET,Population subset,Inventive class (IC),Coefficient estimate,3,"[' - ', ' - ']"
6156,r014,Patents dependent variable -> SET,Population subset,Inventive class (IC),p-value,3, - 
6156,r015,Patents dependent variable -> SET,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"['0.089 ', '**']"
6156,r016,Patents dependent variable -> SET,Population subset,"Science, engineering, and technical (SET) employment",p-value,3,0.025
6156,r017,Patents dependent variable -> SET,Population subset,Creative class (CC),Coefficient estimate,3,"[' - ', ' - ']"
6156,r018,Patents dependent variable -> SET,Population subset,Creative class (CC),p-value,3, - 
6156,r019,Patents dependent variable -> SET,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"[' - ', ' - ']"
6156,r020,Patents dependent variable -> SET,Population subset,At least 4-year college degree (BA),p-value,3, - 
6156,r021,Patents dependent variable -> CC,Population subset,Inventive class (IC),Coefficient estimate,3,"[' - ', ' - ']"
6156,r022,Patents dependent variable -> CC,Population subset,Inventive class (IC),p-value,3, - 
6156,r023,Patents dependent variable -> CC,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"[' - ', ' - ']"
6156,r024,Patents dependent variable -> CC,Population subset,"Science, engineering, and technical (SET) employment",p-value,3, - 
6156,r025,Patents dependent variable -> CC,Population subset,Creative class (CC),Coefficient estimate,3,"['0.023 ', ' - ']"
6156,r026,Patents dependent variable -> CC,Population subset,Creative class (CC),p-value,3,0.103
6156,r027,Patents dependent variable -> CC,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"[' - ', ' - ']"
6156,r028,Patents dependent variable -> CC,Population subset,At least 4-year college degree (BA),p-value,3, - 
6156,r029,Patents dependent variable -> BA,Population subset,Inventive class (IC),Coefficient estimate,3,"[' - ', ' - ']"
6156,r030,Patents dependent variable -> BA,Population subset,Inventive class (IC),p-value,3, - 
6156,r031,Patents dependent variable -> BA,Population subset,"Science, engineering, and technical (SET) employment",Coefficient estimate,3,"[' - ', ' - ']"
6156,r032,Patents dependent variable -> BA,Population subset,"Science, engineering, and technical (SET) employment",p-value,3, - 
6156,r033,Patents dependent variable -> BA,Population subset,Creative class (CC),Coefficient estimate,3,"['-', '-']"
6156,r034,Patents dependent variable -> BA,Population subset,Creative class (CC),p-value,3,-
6156,r035,Patents dependent variable -> BA,Population subset,At least 4-year college degree (BA),Coefficient estimate,3,"['0.021 ', '*']"
6156,r036,Patents dependent variable -> BA,Population subset,At least 4-year college degree (BA),p-value,3,0.066
6156,r037,Patents dependent variable -> 1975&#8211;80 patent stock (PatStock),Population subset,Inventive class (IC),Coefficient estimate,3,"['&#8722;0.067', '&nbsp;']"
6156,r038,Patents dependent variable -> 1975&#8211;80 patent stock (PatStock),Population subset,Inventive class (IC),p-value,3,0.919
