table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10469,r001,All institutions,All institutions,,1,43222829,39504025,418694,11320,1750588,1538202
10469,r002,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,1870070,1817726,0,0,30911,21433
10469,r003,All institutions -> New York U.,All institutions,New York U.,2,908353,893817,0,0,10296,4241
10469,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,858385,792907,33796,0,20847,10835
10469,r005,All institutions -> Duke U.,All institutions,Duke U.,2,837060,810504,4700,0,16916,4940
10469,r006,All institutions -> U. Washington,All institutions,U. Washington,2,834089,787213,1925,0,28760,16191
10469,r007,All institutions -> U. Michigan,All institutions,U. Michigan,2,823101,774551,500,490,28795,18766
10469,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,822294,761354,15201,0,28464,17275
10469,r009,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,782571,714877,0,0,39930,27763
10469,r010,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,746051,679319,4518,0,28703,33511
10469,r011,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,734635,681663,1859,0,34444,16669
10469,r012,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,730449,686615,293,0,23655,19887
10469,r013,All institutions -> Stanford U.,All institutions,Stanford U.,2,727830,696510,0,0,15393,15928
10469,r014,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,696843,657760,1146,709,25397,11831
10469,r015,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,683973,639462,1182,0,18522,24808
10469,r016,All institutions -> Yale U.,All institutions,Yale U.,2,643194,596130,0,0,21060,26004
10469,r017,"All institutions -> Cornell U., Ithaca",All institutions,"Cornell U., Ithaca",2,580630,497611,26027,0,18281,38711
10469,r018,"All institutions -> U. North Carolina, The, Chapel Hill",All institutions,"U. North Carolina, The, Chapel Hill",2,578876,541555,344,0,23206,13771
10469,r019,"All institutions -> Northwestern U., Evanston",All institutions,"Northwestern U., Evanston",2,554882,508976,741,141,21043,23980
10469,r020,All institutions -> Pennsylvania State U.,All institutions,Pennsylvania State U.,2,549070,508209,1232,0,16820,22808
10469,r021,All institutions -> Vanderbilt U.,All institutions,Vanderbilt U.,2,542355,507806,1000,0,21650,11898
10469,r022,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,525480,473552,1459,0,18379,32090
10469,r023,All institutions -> Harvard U.,All institutions,Harvard U.,2,513429,484719,213,406,22005,6085
10469,r024,All institutions -> Emory U.,All institutions,Emory U.,2,507223,486646,0,0,17603,2974
10469,r025,All institutions -> U. Southern California,All institutions,U. Southern California,2,502370,484727,305,0,7216,10122
10469,r026,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,464264,443392,984,0,5337,14551
10469,r027,All institutions -> All other higher education institutions,All institutions,All other higher education institutions,2,25205352,22576424,321269,9574,1206955,1091130
