table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czechia,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
9727,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['135,412', '  ']","['743', 'i ']","['9,283', '  ']","['563', '  ']","['3,033', '  ']","['654', '  ']","['951', '  ']","['646', '  ']","['4,165', '  ']","['10,450', '  ']","['366', '  ']","['5,704', '  ']","['1,927', '  ']","['506', '  ']","['4,086', '  ']","['434', '  ']","['1,232', '  ']","['669', '  ']","['2,179', 'i ']","['1,730', '  ']","['5,700', '  ']","['314', '  ']","['16,229', '  ']","['3,458', '  ']"
9727,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['78,389', '  ']","['733', 'i ']","['4,149', '  ']","['415', '  ']","['2,616', '  ']","['290', '  ']","['684', '  ']","['423', '  ']","['2,284', '  ']","['7,546', '  ']","['131', '  ']","['2,849', '  ']","['1,493', '  ']","['378', '  ']","['2,415', '  ']","['333', '  ']","['710', '  ']","['381', '  ']","['982', '  ']","['761', '  ']","['3,413', '  ']","['123', '  ']","['6,345', '  ']","['1,525', '  ']"
9727,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,190', '  ']","['0 - 278', '  ']","['66', '  ']","['3', '  ']","['13', '  ']","['0 - 7', '  ']","['3', '  ']","['*', '  ']","['74', '  ']","['62', '  ']","['4', '  ']","['0 - 33', '  ']","['15', '  ']","['0', '  ']","['36', '  ']","['0 - 24', '  ']","['9', '  ']","['11', '  ']","['16', '  ']","['1', '  ']","['37', '  ']","['4', '  ']","['95', '  ']","['49', '  ']"
9727,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['893', '  ']","['0', '  ']","['0 - 52', '  ']","['0', '  ']","['20', '  ']","['0', '  ']","['9', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0 - 33', '  ']","['53', '  ']","['0', '  ']","['0 - 10', '  ']","['0', '  ']","['1', '  ']","['0 - 13', '  ']","['2', '  ']","['0', '  ']","['451', '  ']","['*', '  ']","['68', '  ']","['5', '  ']"
9727,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['169', '  ']","['0', '  ']","['3', '  ']","['2', '  ']","['5', '  ']","['0 - 7', '  ']","['0', '  ']","['4', '  ']","['20', '  ']","['6', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['0 - 8', '  ']","['0', '  ']","['1', '  ']","['3', '  ']","['43', '  ']","['0', '  ']","['4', '  ']","['1', '  ']"
9727,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9727,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['67', '  ']","['0', '  ']","['45', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 6', '  ']","['1', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0 - 7', '  ']","['1', '  ']","['*', '  ']","['2', '  ']","['0', '  ']"
9727,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['27', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9727,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['175', '  ']","['0', '  ']","['46', '  ']","['*', '  ']","['26', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['5', '  ']","['9', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['4', '  ']","['0 - 8', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['43', '  ']","['0 - 8', '  ']"
9727,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['23,741', '  ']","['158', '  ']","['865', '  ']","['165', '  ']","['2,237', '  ']","['49', '  ']","['227', '  ']","['56', '  ']","['724', '  ']","['1,879', '  ']","['38', '  ']","['925', '  ']","['538', '  ']","['168', '  ']","['1,605', '  ']","['51', '  ']","['126', '  ']","['171', '  ']","['443', '  ']","['193', '  ']","['2,070', '  ']","['102', '  ']","['2,855', '  ']","['722', '  ']"
9727,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['997', '  ']","['0', '  ']","['0 - 40', '  ']","['3', '  ']","['47', '  ']","['1', '  ']","['0 - 51', '  ']","['13', '  ']","['73', '  ']","['86', '  ']","['*', '  ']","['0 - 4', '  ']","['84', '  ']","['*', '  ']","['108', '  ']","['2', '  ']","['1', '  ']","['3', '  ']","['20', '  ']","['43', '  ']","['30', '  ']","['8', '  ']","['111', '  ']","['2', '  ']"
9727,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['580', 'i ']","['0', '  ']","['5', '  ']","['0', '  ']","['29', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['9', '  ']","['61', '  ']","['0', '  ']","['0', '  ']","['16', '  ']","['168', '  ']","['58', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['14', '  ']","['0', '  ']","['23', '  ']","['*', '  ']","['8', '  ']","['4', 'i ']"
9727,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['123', '  ']","['0 - 40', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['0 - 51', '  ']","['0', '  ']","['0 - 21', '  ']","['5', '  ']","['*', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['4', '  ']","['0 - 10', '  ']"
9727,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['20,936', '  ']","['117 - 130', '  ']","['820', '  ']","['160', '  ']","['2,040', '  ']","['47', '  ']","['177', '  ']","['42', '  ']","['603', '  ']","['1,470', '  ']","['37', '  ']","['922', '  ']","['432', '  ']","['0', '  ']","['1,407', '  ']","['49', '  ']","['117', '  ']","['166', '  ']","['405', '  ']","['151', '  ']","['2,004', '  ']","['93', '  ']","['2,587', '  ']","['704', '  ']"
9727,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['871', '  ']","['0 - 41', '  ']","['0 - 40', 'i ']","['1', '  ']","['113', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['21', '  ']","['226', '  ']","['1', '  ']","['*', '  ']","['4', '  ']","['0', '  ']","['6', '  ']","['0', '  ']","['3', '  ']","['2', '  ']","['2', '  ']","['0', '  ']","['9', '  ']","['1', '  ']","['124', '  ']","['5', '  ']"
9727,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['234', '  ']","['0', '  ']","['0 - 40', '  ']","['1', '  ']","['7', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0 - 21', '  ']","['31', '  ']","['*', '  ']","['0 - 4', '  ']","['2', '  ']","['*', '  ']","['25', '  ']","['*', '  ']","['4', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['3', '  ']","['*', '  ']","['22', '  ']","['0 - 10', '  ']"
9727,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['607', '  ']","['0', '  ']","['6', 'i ']","['0', '  ']","['6', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['70', '  ']","['144', 'i ']","['*', '  ']","['1', '  ']","['32', '  ']","['5', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['4', '  ']","['4', '  ']","['7', '  ']","['*', '  ']","['87', '  ']","['47', '  ']"
9727,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['198', '  ']","['0', '  ']","['12', '  ']","['0', '  ']","['4', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['19', '  ']","['22', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['6', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['3', '  ']"
9727,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['50', 'i ']","['0', '  ']","['0 - 15', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['0 - 15', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 15', 'i ']","['1', '  ']","['0', '  ']","['3', 'i ']","['0 - 15', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['9', '  ']"
9727,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['378', '  ']","['0', '  ']","['15', '  ']","['5', '  ']","['3', '  ']","['33', '  ']","['2', '  ']","['1', '  ']","['16', '  ']","['41', '  ']","['*', '  ']","['*', '  ']","['5', '  ']","['0', '  ']","['5', '  ']","['5', '  ']","['*', '  ']","['*', '  ']","['3', '  ']","['*', '  ']","['38', '  ']","['0', '  ']","['31', '  ']","['*', '  ']"
9727,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['5,343', '  ']","['10', '  ']","['222', '  ']","['27', 'i ']","['36', '  ']","['7', 'i ']","['83', '  ']","['92', '  ']","['370', '  ']","['915', '  ']","['10', '  ']","['14', '  ']","['235', '  ']","['*', '  ']","['110', '  ']","['55', '  ']","['19', '  ']","['2', '  ']","['128', '  ']","['92', '  ']","['75', '  ']","['*', '  ']","['365', '  ']","['28', '  ']"
