table_id,row_id,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_full_path,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_1,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_2,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_3,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_4,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_hierarchy_depth,field_age_years_75_and_younger,field_age_years_younger_than_35,field_age_years_35_44,field_age_years_45_54,field_age_years_55_75
1274,r001,Total,Total,,,,1,14541000,4211000,3685000,3311000,3333000
1274,r002,Total -> Computer applications,Total,Computer applications,,,2,2459000,812000,719000,541000,387000
1274,r003,Total -> Management or administration<sup>a</sup>,Total,Management or administration<sup>a</sup>,,,2,9248000,2408000,2350000,2324000,2165000
1274,r004,Total -> Research and development,Total,Research and development,,,2,4398000,1490000,1164000,911000,833000
1274,r005,Total -> Teaching,Total,Teaching,,,2,854000,224000,212000,179000,239000
1274,r006,Total -> Other,Total,Other,,,2,5508000,1655000,1331000,1145000,1377000
1274,r007,Total -> Female,Total,Female,,,2,5611000,1890000,1457000,1167000,1097000
1274,r008,Total -> Female -> Computer applications,Total,Female,Computer applications,,3,505000,155000,142000,112000,97000
1274,r009,Total -> Female -> Management or administration<sup>a</sup>,Total,Female,Management or administration<sup>a</sup>,,3,3547000,1133000,938000,775000,700000
1274,r010,Total -> Female -> Research and development,Total,Female,Research and development,,3,1327000,533000,364000,254000,176000
1274,r011,Total -> Female -> Teaching,Total,Female,Teaching,,3,566000,172000,141000,109000,144000
1274,r012,Total -> Female -> Other,Total,Female,Other,,3,2552000,902000,631000,498000,521000
1274,r013,Total -> Male,Total,Male,,,2,8930000,2321000,2229000,2144000,2236000
1274,r014,Total -> Male -> Computer applications,Total,Male,Computer applications,,3,1954000,657000,577000,429000,291000
1274,r015,Total -> Male -> Management or administration<sup>a</sup>,Total,Male,Management or administration<sup>a</sup>,,3,5702000,1275000,1412000,1549000,1465000
1274,r016,Total -> Male -> Research and development,Total,Male,Research and development,,3,3071000,957000,799000,658000,657000
1274,r017,Total -> Male -> Teaching,Total,Male,Teaching,,3,287000,51000,72000,69000,95000
1274,r018,Total -> Male -> Other,Total,Male,Other,,3,2957000,754000,700000,647000,856000
1274,r019,Total -> Hispanic or Latino<sup>b</sup>,Total,Hispanic or Latino<sup>b</sup>,,,2,1189000,436000,335000,239000,179000
1274,r020,Total -> Hispanic or Latino<sup>b</sup> -> Computer applications,Total,Hispanic or Latino<sup>b</sup>,Computer applications,,3,169000,87000,47000,21000,14000
1274,r021,Total -> Hispanic or Latino<sup>b</sup> -> Management or administration<sup>a</sup>,Total,Hispanic or Latino<sup>b</sup>,Management or administration<sup>a</sup>,,3,779000,282000,221000,155000,121000
1274,r022,Total -> Hispanic or Latino<sup>b</sup> -> Research and development,Total,Hispanic or Latino<sup>b</sup>,Research and development,,3,372000,138000,114000,78000,41000
1274,r023,Total -> Hispanic or Latino<sup>b</sup> -> Teaching,Total,Hispanic or Latino<sup>b</sup>,Teaching,,3,88000,35000,14000,26000,14000
1274,r024,Total -> Hispanic or Latino<sup>b</sup> -> Other,Total,Hispanic or Latino<sup>b</sup>,Other,,3,435000,146000,132000,78000,79000
1274,r025,Total -> Not Hispanic or Latino,Total,Not Hispanic or Latino,,,2,,,,,
1274,r026,Total -> Not Hispanic or Latino -> American Indian or Alaska Native,Total,Not Hispanic or Latino,American Indian or Alaska Native,,3,33000,S,9000,8000,7000
1274,r027,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Computer applications,Total,Not Hispanic or Latino,American Indian or Alaska Native,Computer applications,4,S,0.05,,,
1274,r028,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,American Indian or Alaska Native,Management or administration<sup>a</sup>,4,23000,S,5000,7000,6000
1274,r029,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Research and development,Total,Not Hispanic or Latino,American Indian or Alaska Native,Research and development,4,12000,S,4000,S,S
1274,r030,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Teaching,Total,Not Hispanic or Latino,American Indian or Alaska Native,Teaching,4,0.05,,,,
1274,r031,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Other,Total,Not Hispanic or Latino,American Indian or Alaska Native,Other,4,16000,3000,4000,,5000
1274,r032,Total -> Not Hispanic or Latino -> Asian,Total,Not Hispanic or Latino,Asian,,3,2270000,697000,781000,505000,287000
1274,r033,Total -> Not Hispanic or Latino -> Asian -> Computer applications,Total,Not Hispanic or Latino,Asian,Computer applications,4,764000,282000,293000,138000,51000
1274,r034,Total -> Not Hispanic or Latino -> Asian -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,Asian,Management or administration<sup>a</sup>,4,1255000,341000,442000,308000,165000
1274,r035,Total -> Not Hispanic or Latino -> Asian -> Research and development,Total,Not Hispanic or Latino,Asian,Research and development,4,787000,274000,269000,163000,81000
1274,r036,Total -> Not Hispanic or Latino -> Asian -> Teaching,Total,Not Hispanic or Latino,Asian,Teaching,4,84000,21000,28000,19000,16000
1274,r037,Total -> Not Hispanic or Latino -> Asian -> Other,Total,Not Hispanic or Latino,Asian,Other,4,664000,205000,208000,149000,102000
