table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
6360,r001,All agencies,All agencies,,,,1,3275830.0,13529.5,41845.9,3220454.7
6360,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,
6360,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,3,0.05,0.05,0.0,0.0
6360,r004,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,4,0.05,0.05,0.0,0.0
6360,r005,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,3,311.6,140.1,171.5,0.0
6360,r006,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,4,140.1,140.1,0.0,0.0
6360,r007,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,4,171.5,0.0,171.5,0.0
6360,r008,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,95548.2,2290.9,7812.3,85445.0
6360,r009,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,8045.2,0.0,394.0,7651.2
6360,r010,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,4,167.8,0.0,0.0,167.8
6360,r011,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,4,2168.7,0.0,338.0,1830.6
6360,r012,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,4,70912.5,0.0,0.0,70912.5
6360,r013,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,4,6337.1,0.0,4789.3,1547.8
6360,r014,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,4,7917.1,2290.9,2291.1,3335.1
6360,r015,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,2956394.2,417.0,7382.5,2948594.7
6360,r016,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,4,7799.5,417.0,7382.5,0.0
6360,r017,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,4,2948594.7,0.0,0.0,2948594.7
6360,r018,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,3,14.5,0.0,0.0,14.5
6360,r019,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,4,14.5,0.0,0.0,14.5
6360,r020,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,3,1641.2,0.0,0.0,1641.2
6360,r021,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,4,1641.2,0.0,0.0,1641.2
6360,r022,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,3,17585.1,0.0,17585.1,0.0
6360,r023,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,4,17585.1,0.0,17585.1,0.0
6360,r024,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,3,167120.2,0.0,0.0,167120.2
6360,r025,All agencies -> Other agencies,All agencies,Other agencies,,,2,,,,
6360,r026,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,3,37215.1,10681.5,8894.5,17639.1
