table_id,row_id,occupation_and_employment_status_full_path,occupation_and_employment_status_level_1,occupation_and_employment_status_level_2,occupation_and_employment_status_level_3,occupation_and_employment_status_level_4,occupation_and_employment_status_hierarchy_depth,field_total_number,field_total_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
3699,r028,All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Unemployed<sup>d</sup>,All occupations,Science occupations&#160;,Mathematical scientist&#160;,Unemployed<sup>d</sup>,4,600,125,S,S,,,300,100,,,250,75,,
3699,r029,All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Retired,All occupations,Science occupations&#160;,Mathematical scientist&#160;,Retired,4,5050,325,150,50,,,650,175,100,50,4150,275,S,S
3699,r030,All occupations -> Science occupations&#160; -> Mathematical scientist&#160; -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations&#160;,Mathematical scientist&#160;,Not employed or not seeking work<sup>e</sup>,4,750,150,,,,,200,75,0.05,0.05,450,125,,
3699,r031,All occupations -> Science occupations&#160; -> Physical scientist&#160;,All occupations,Science occupations&#160;,Physical scientist&#160;,,3,101350,1325,3600,200,100,50,19550,725,2500,225,74450,1125,1150,125
3699,r032,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Full time,All occupations,Science occupations&#160;,Physical scientist&#160;,Full time,4,76850,1250,2900,175,50,25,16550,675,2100,200,54250,1000,1000,125
3699,r033,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Part time,All occupations,Science occupations&#160;,Physical scientist&#160;,Part time,4,7700,425,350,75,,,1000,200,200,75,6100,400,50,25
3699,r034,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Unemployed<sup>d</sup>,All occupations,Science occupations&#160;,Physical scientist&#160;,Unemployed<sup>d</sup>,4,1450,175,50,50,,,500,150,S,S,800,125,,
3699,r035,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Retired,All occupations,Science occupations&#160;,Physical scientist&#160;,Retired,4,13950,550,250,50,,,1250,225,150,50,12250,500,100,50
3699,r036,All occupations -> Science occupations&#160; -> Physical scientist&#160; -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations&#160;,Physical scientist&#160;,Not employed or not seeking work<sup>e</sup>,4,1450,150,50,50,,,300,100,,,1050,150,,
3699,r037,All occupations -> Science occupations&#160; -> Psychologist&#160;,All occupations,Science occupations&#160;,Psychologist&#160;,,3,91600,975,4950,225,250,75,5000,350,3850,225,76200,950,1350,150
3699,r038,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Full time,All occupations,Science occupations&#160;,Psychologist&#160;,Full time,4,56250,1000,3400,200,150,75,3550,325,2850,225,45550,925,800,125
3699,r039,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Part time,All occupations,Science occupations&#160;,Psychologist&#160;,Part time,4,21350,775,1150,150,,,850,175,600,100,18300,750,350,100
3699,r040,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Unemployed<sup>d</sup>,All occupations,Science occupations&#160;,Psychologist&#160;,Unemployed<sup>d</sup>,4,500,125,0.05,0.05,,,,,S,S,350,100,,
3699,r041,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Retired,All occupations,Science occupations&#160;,Psychologist&#160;,Retired,4,11650,575,300,75,,,400,125,250,75,10600,575,50,50
3699,r042,All occupations -> Science occupations&#160; -> Psychologist&#160; -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations&#160;,Psychologist&#160;,Not employed or not seeking work<sup>e</sup>,4,1850,200,100,50,,,200,75,,,1350,200,100,50
3699,r043,All occupations -> Science occupations&#160; -> Social scientist&#160;,All occupations,Science occupations&#160;,Social scientist&#160;,,3,82850,1050,4750,250,300,75,9450,450,4600,275,62500,975,1250,150
3699,r044,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Full time,All occupations,Science occupations&#160;,Social scientist&#160;,Full time,4,61300,875,3850,250,200,75,7550,400,3400,250,45350,825,950,100
3699,r045,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Part time,All occupations,Science occupations&#160;,Social scientist&#160;,Part time,4,8200,475,450,75,,,1050,200,650,125,5900,400,150,75
3699,r046,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Unemployed<sup>d</sup>,All occupations,Science occupations&#160;,Social scientist&#160;,Unemployed<sup>d</sup>,4,1050,150,50,50,,,200,75,150,75,600,125,,
3699,r047,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Retired,All occupations,Science occupations&#160;,Social scientist&#160;,Retired,4,10800,475,300,75,50,50,450,100,350,75,9550,425,S,S
3699,r048,All occupations -> Science occupations&#160; -> Social scientist&#160; -> Not employed or not seeking work<sup>e</sup>,All occupations,Science occupations&#160;,Social scientist&#160;,Not employed or not seeking work<sup>e</sup>,4,1500,175,100,50,,,200,75,100,50,1100,175,,
3699,r049,All occupations -> Engineering occupations&#160;&#160;,All occupations,Engineering occupations&#160;&#160;,,,2,136750,1375,5300,275,100,50,54300,1125,3200,175,72300,1125,1550,200
3699,r050,All occupations -> Engineering occupations&#160;&#160; -> Full time,All occupations,Engineering occupations&#160;&#160;,Full time,,3,114500,1350,4450,250,100,50,47900,1125,2850,175,57850,1100,1300,200
3699,r051,All occupations -> Engineering occupations&#160;&#160; -> Part time,All occupations,Engineering occupations&#160;&#160;,Part time,,3,6100,425,250,75,,,1750,300,50,25,4000,325,50,25
3699,r052,All occupations -> Engineering occupations&#160;&#160; -> Unemployed<sup>d</sup>,All occupations,Engineering occupations&#160;&#160;,Unemployed<sup>d</sup>,,3,2250,250,50,25,,,1000,200,S,S,1000,175,,
3699,r053,All occupations -> Engineering occupations&#160;&#160; -> Retired,All occupations,Engineering occupations&#160;&#160;,Retired,,3,12350,575,250,75,,,3150,325,100,50,8700,475,150,75
3699,r054,All occupations -> Engineering occupations&#160;&#160; -> Not employed or not seeking work<sup>e</sup>,All occupations,Engineering occupations&#160;&#160;,Not employed or not seeking work<sup>e</sup>,,3,1550,225,S,S,,,450,125,50,25,750,150,,
3699,r055,All occupations -> S&E-related occupations&#160;,All occupations,S&E-related occupations&#160;,,,2,108900,1600,4000,225,250,50,24350,850,4600,250,74250,1325,1400,150
3699,r056,All occupations -> S&E-related occupations&#160; -> Full time,All occupations,S&E-related occupations&#160;,Full time,,3,83900,1475,3400,200,150,50,20950,825,3800,225,54400,1150,1200,125
3699,r057,All occupations -> S&E-related occupations&#160; -> Part time,All occupations,S&E-related occupations&#160;,Part time,,3,8450,450,350,75,,,1050,175,400,75,6550,400,100,50
3699,r058,All occupations -> S&E-related occupations&#160; -> Unemployed<sup>d</sup>,All occupations,S&E-related occupations&#160;,Unemployed<sup>d</sup>,,3,1450,200,S,S,,,350,125,50,25,1000,175,,
3699,r059,All occupations -> S&E-related occupations&#160; -> Retired,All occupations,S&E-related occupations&#160;,Retired,,3,13750,550,200,75,S,S,1600,250,350,75,11500,500,100,50
3699,r060,All occupations -> S&E-related occupations&#160; -> Not employed or not seeking work<sup>e</sup>,All occupations,S&E-related occupations&#160;,Not employed or not seeking work<sup>e</sup>,,3,1400,175,50,25,,,450,125,50,50,800,125,,
3699,r061,All occupations -> Non-S&E occupations&#160;,All occupations,Non-S&E occupations&#160;,,,2,185050,1900,6950,300,400,75,32150,950,8850,350,134050,1775,2650,175
3699,r062,All occupations -> Non-S&E occupations&#160; -> Full time,All occupations,Non-S&E occupations&#160;,Full time,,3,126700,1575,5200,250,350,75,24750,825,6700,325,87700,1400,2000,175
3699,r063,All occupations -> Non-S&E occupations&#160; -> Part time,All occupations,Non-S&E occupations&#160;,Part time,,3,24800,825,850,125,50,25,3400,350,950,125,19250,725,350,75
3699,r064,All occupations -> Non-S&E occupations&#160; -> Unemployed<sup>d</sup>,All occupations,Non-S&E occupations&#160;,Unemployed<sup>d</sup>,,3,3150,300,200,50,,,550,175,250,75,2100,250,50,25
3699,r065,All occupations -> Non-S&E occupations&#160; -> Retired,All occupations,Non-S&E occupations&#160;,Retired,,3,26150,825,500,125,,,2700,300,750,125,22050,800,200,50
3699,r066,All occupations -> Non-S&E occupations&#160; -> Not employed or not seeking work<sup>e</sup>,All occupations,Non-S&E occupations&#160;,Not employed or not seeking work<sup>e</sup>,,3,4250,350,200,50,,,800,175,200,75,2950,275,100,50
