table_id,row_id,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_tenured,field_on_tenure_track,field_not_on_tenure_track,field_tenure_not_applicable
3322,r001,All occupations,All occupations,,,,,1,344350,160500,50850,52200,80800
3322,r002,All occupations -> Without disability,All occupations,Without disability,,,,2,313050,144150,47100,48000,73850
3322,r003,All occupations -> With disability,All occupations,With disability,,,,2,31300,16350,3800,4200,6950
3322,r004,All occupations -> S&E occupations<sup>a</sup>,All occupations,S&E occupations<sup>a</sup>,,,,2,266300,127450,41550,39450,57850
3322,r005,All occupations -> S&E occupations<sup>a</sup> -> Without disability,All occupations,S&E occupations<sup>a</sup>,Without disability,,,3,241800,114500,38350,36250,52700
3322,r006,All occupations -> S&E occupations<sup>a</sup> -> With disability,All occupations,S&E occupations<sup>a</sup>,With disability,,,3,24450,12950,3200,3150,5200
3322,r007,All occupations -> S&E occupations<sup>a</sup> -> Science occupations,All occupations,S&E occupations<sup>a</sup>,Science occupations,,,3,230400,108400,34900,34900,52200
3322,r008,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Without disability,,4,209300,97450,32300,32050,47450
3322,r009,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,With disability,,4,21100,10950,2550,2850,4750
3322,r010,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,,4,76650,27400,10450,15000,23800
3322,r011,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,Without disability,5,69850,24600,9600,13700,21950
3322,r012,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Biological/ agricultural/ other life scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Biological/ agricultural/ other life scientist,With disability,5,6800,2800,850,1300,1850
3322,r013,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer/ information scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer/ information scientist,,4,14050,6400,2700,1700,3300
3322,r014,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer/ information scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer/ information scientist,Without disability,5,12700,5650,2550,1600,2900
3322,r015,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Computer/ information scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Computer/ information scientist,With disability,5,1350,700,150,100,400
3322,r016,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,,4,21600,12100,3050,3100,3350
3322,r017,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,Without disability,5,19850,11200,2850,2850,3000
3322,r018,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Mathematical scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Mathematical scientist,With disability,5,1750,950,200,300,350
3322,r019,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,,4,42000,20200,6300,5750,9700
3322,r020,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,Without disability,5,38500,18550,5900,5300,8750
3322,r021,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Physical scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Physical scientist,With disability,5,3500,1650,400,450,950
3322,r022,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,,4,25900,12150,4200,3400,6150
3322,r023,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,Without disability,5,23550,10850,3850,3250,5650
3322,r024,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Psychologist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Psychologist,With disability,5,2350,1350,350,150,500
3322,r025,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,,4,50200,30150,8200,5950,5900
3322,r026,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> Without disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,Without disability,5,44850,26650,7600,5350,5250
3322,r027,All occupations -> S&E occupations<sup>a</sup> -> Science occupations -> Social scientist -> With disability,All occupations,S&E occupations<sup>a</sup>,Science occupations,Social scientist,With disability,5,5300,3500,550,550,650
3322,r028,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,,,3,35900,19050,6650,4550,5650
3322,r029,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> Without disability,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,Without disability,,4,32500,17050,6000,4200,5250
3322,r030,All occupations -> S&E occupations<sup>a</sup> -> Engineering occupations -> With disability,All occupations,S&E occupations<sup>a</sup>,Engineering occupations,With disability,,4,3400,2000,650,350,450
3322,r031,All occupations -> S&E-related occupations<sup>b</sup>,All occupations,S&E-related occupations<sup>b</sup>,,,,2,35800,12800,6250,6600,10150
3322,r032,All occupations -> S&E-related occupations<sup>b</sup> -> Without disability,All occupations,S&E-related occupations<sup>b</sup>,Without disability,,,3,32600,11250,5800,6100,9450
3322,r033,All occupations -> S&E-related occupations<sup>b</sup> -> With disability,All occupations,S&E-related occupations<sup>b</sup>,With disability,,,3,3200,1600,450,500,700
3322,r034,All occupations -> Non-S&E occupations<sup>c</sup>,All occupations,Non-S&E occupations<sup>c</sup>,,,,2,42300,20250,3100,6150,12800
3322,r035,All occupations -> Non-S&E occupations<sup>c</sup> -> Without disability,All occupations,Non-S&E occupations<sup>c</sup>,Without disability,,,3,38650,18400,2950,5600,11700
3322,r036,All occupations -> Non-S&E occupations<sup>c</sup> -> With disability,All occupations,Non-S&E occupations<sup>c</sup>,With disability,,,3,3650,1850,150,550,1100
