table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_r_d_employees,field_contract_employees,field_volunteers
8053,r001,All organizations ,All organizations ,,1,"['213,794', '  ']","['12,497', '  ']","['16,158', '  ']"
8053,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['127,655', '  ']","['3,543', '  ']","['1,511', '  ']"
8053,r003,All organizations  -> Science and technology ,All organizations ,Science and technology ,2,"['66,560', '  ']","['3,956', '  ']","['10,836', '  ']"
8053,r004,All organizations  -> Other nonprofit organizations ,All organizations ,Other nonprofit organizations ,2,"['19,578', '  ']","['4,998', 'r']","['3,811', '  ']"
