table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10822,r001,All agencies,All agencies,,,,,1,45392702,7819749,6730777,3857770,22260098,3981842,543639,198828
10822,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,
10822,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1417114,812842,0,17883,554375,23228,5677,3110
10822,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,825287,695942,0,0,115150,11098,45,3051
10822,r005,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,23598,16367,0,0,7231,0,0,0
10822,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,85255,79502,0,250,3012,156,2300,35
10822,r007,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,468236,6406,0,17633,428868,11974,3332,23
10822,r008,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,14738,14624,0,0,114,0,0,0
10822,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,273297,236945,0,1991,32162,1840,0,359
10822,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,273297,236945,0,1991,32162,1840,0,359
10822,r011,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,3149547,649651,157923,523176,1531224,237639,16004,33930
10822,r012,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,440129,15558,23809,140932,201279,48150,0,10403
10822,r013,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,10713,779,258,1823,1743,6110,0,0
10822,r014,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,969884,250648,0,20277,528832,159847,10279,0
10822,r015,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,513592,104741,373,138492,249573,13153,0,7260
10822,r016,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,661985,217775,968,31445,382598,9404,5725,14071
10822,r017,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,70945,6238,5696,54563,4446,0,0,0
10822,r018,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,482300,53911,126820,135644,162753,975,0,2197
10822,r019,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,31589,0,0,427,26666,3960,537,0
10822,r020,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,6107867,200262,4473639,368620,1000966,33923,29913,544
10822,r021,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,7920,181,5700,918,543,554,25,0
10822,r022,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,121426,1868,101178,3380,15000,0,0,0
10822,r023,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,121426,1868,101178,3380,15000,0,0,0
10822,r024,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,5126,0,2202,0,2924,0,0,0
