table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020,field_2021_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2021_atmospheric_science_and_meteorology,field_2021_geological_and_earth_sciences,field_2021_ocean_sciences_and_marine_sciences,field_2021_geosciences_atmospheric_sciences_and_ocean_sciences_nec
7982,r001,All institutions,All institutions,,1,-,"['2,048,305', '']","['2,067,239', '']","['2,109,698', '']","['2,145,163', '']","['484,265', '']","['772,157', '']","['640,634', '']","['248,107', '']"
7982,r002,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,1,"['110,718', '']","['112,979', '']","['115,744', '']","['129,085', '']","['33,059', 'i']","['49,318', 'i']","['37,492', 'i']","['9,216', 'i']"
7982,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['132,846', '']","['119,659', '']","['116,177', '']","['116,175', '']","['29,237', '']","['12,356', '']","['2,419', '']","['72,163', '']"
7982,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,"['88,060', '']","['120,294', '']","['128,962', '']","['107,137', '']","['2,362', '']","['14,859', '']","['89,916', '']","['0', '']"
7982,r005,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,4,"['96,422', '']","['100,000', '']","['114,555', '']","['105,493', '']","['50,597', '']","['7,721', '']","['45,092', '']","['2,083', '']"
7982,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['88,535', '']","['86,781', '']","['82,072', '']","['81,667', '']","['4,295', '']","['5,675', '']","['67,764', '']","['3,933', '']"
7982,r007,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,6,"['50,997', '']","['50,566', '']","['54,408', '']","['76,984', '']","['5,466', '']","['48,100', '']","['23,361', '']","['57', '']"
7982,r008,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,7,"['29,412', '']","['37,235', '']","['59,766', '']","['73,509', '']","['10,746', '']","['31,584', '']","['23,026', '']","['8,153', '']"
7982,r009,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,8,"['43,991', '']","['54,007', '']","['64,742', '']","['69,382', '']","['67,046', '']","['2,336', '']","['0', '']","['0', '']"
7982,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['na', '']","['46,763', '']","['51,008', '']","['55,924', '']","['14,228', '']","['37,953', '']","['888', '']","['2,855', '']"
7982,r011,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,10,"['65,302', '']","['61,544', '']","['54,388', '']","['53,955', '']","['6,151', '']","['17,050', '']","['30,754', '']","['0', '']"
7982,r012,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,11,"['52,476', '']","['59,778', '']","['54,650', '']","['49,889', '']","['0', '']","['49,889', '']","['0', '']","['0', '']"
7982,r013,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,12,"['100,566', '']","['70,266', '']","['55,722', '']","['46,601', '']","['35,927', '']","['9,046', '']","['0', '']","['1,628', '']"
7982,r014,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,13,"['55,156', '']","['58,526', '']","['47,728', '']","['45,399', '']","['2,264', '']","['9,527', '']","['32,329', '']","['1,279', '']"
7982,r015,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,14,"['38,709', '']","['36,870', '']","['41,304', '']","['44,691', '']","['24,076', '']","['4,373', '']","['16,242', '']","['0', '']"
7982,r016,All institutions -> U. Miami,All institutions,U. Miami,2,15,"['36,182', '']","['36,297', '']","['39,430', '']","['44,559', '']","['33,401', '']","['0', '']","['10,460', '']","['698', '']"
7982,r017,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,16,"['41,429', '']","['34,363', '']","['33,730', '']","['37,629', '']","['1,618', '']","['6,085', '']","['15,674', '']","['14,252', '']"
7982,r018,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,17,"['36,826', '']","['36,615', '']","['35,879', '']","['35,050', '']","['24,419', '']","['7,127', '']","['0', '']","['3,504', '']"
7982,r019,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,18,"['28,307', '']","['32,874', '']","['25,349', '']","['33,815', '']","['0', '']","['2,928', '']","['24,263', '']","['6,624', '']"
7982,r020,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,19,"['26,061', '']","['24,970', '']","['27,134', '']","['31,060', '']","['6,441', '']","['23,382', '']","['0', '']","['1,237', '']"
7982,r021,All institutions -> U. Utah,All institutions,U. Utah,2,20,"['7,255', '']","['15,150', '']","['11,112', '']","['30,710', '']","['0', '']","['27,390', '']","['0', '']","['3,320', '']"
7982,r022,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,21,"['22,753', '']","['25,436', '']","['27,071', '']","['25,067', '']","['1,480', '']","['20,764', '']","['196', '']","['2,627', '']"
7982,r023,All institutions -> Harvard U.,All institutions,Harvard U.,2,22,"['26,892', '']","['27,835', '']","['28,723', '']","['24,827', '']","['3,362', '']","['3,770', '']","['739', '']","['16,956', '']"
7982,r024,All institutions -> Princeton U.,All institutions,Princeton U.,2,23,"['17,747', '']","['15,933', '']","['16,105', '']","['21,115', '']","['11,928', '']","['3,226', '']","['386', '']","['5,575', '']"
7982,r025,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,24,"['23,228', '']","['19,745', '']","['20,523', '']","['20,837', '']","['0', '']","['15,667', '']","['3,403', '']","['1,767', '']"
7982,r026,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,25,"['27,772', '']","['22,382', '']","['20,477', '']","['20,764', '']","['6,199', '']","['8,112', '']","['5,153', '']","['1,300', '']"
7982,r027,All institutions -> U. Southern Mississippi,All institutions,U. Southern Mississippi,2,26,"['9,366', '']","['21,324', '']","['21,092', '']","['20,411', '']","['0', '']","['4,892', '']","['3,451', '']","['12,068', '']"
7982,r028,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,27,"['31,354', '']","['28,218', '']","['24,605', '']","['20,062', '']","['7,858', '']","['10,023', '']","['2,181', '']","['0', '']"
7982,r029,All institutions -> Desert Research Institute,All institutions,Desert Research Institute,2,28,"['17,665', '']","['16,557', '']","['15,748', '']","['16,608', '']","['3,363', '']","['13,245', '']","['0', '']","['0', '']"
7982,r030,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,29,"['13,504', '']","['14,799', '']","['16,190', '']","['16,253', '']","['0', '']","['8,606', '']","['7,645', '']","['2', '']"
7982,r031,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,30,"['11,487', '']","['12,725', '']","['15,234', '']","['15,976', '']","['0', '']","['2,801', '']","['8,629', '']","['4,546', '']"
7982,r032,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,31,"['10,004', '']","['12,920', '']","['14,123', '']","['14,376', '']","['13,971', '']","['390', '']","['15', '']","['0', '']"
7982,r033,All institutions -> U. Arizona,All institutions,U. Arizona,2,32,"['13,117', '']","['13,372', '']","['13,625', '']","['13,788', '']","['2,522', '']","['10,068', '']","['924', '']","['274', '']"
7982,r034,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,33,"['14,629', '']","['10,807', '']","['12,497', '']","['12,883', '']","['1,520', '']","['9,905', '']","['872', '']","['586', '']"
7982,r035,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,34,"['12,401', '']","['12,946', '']","['13,202', '']","['12,866', '']","['5,722', '']","['0', '']","['1,345', '']","['5,799', '']"
7982,r036,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,35,"['14,353', '']","['11,993', '']","['16,060', '']","['12,836', '']","['939', '']","['44', '']","['11,666', '']","['187', '']"
7982,r037,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,36,"['11,179', '']","['11,996', '']","['10,824', '']","['12,214', '']","['0', '']","['4,350', '']","['7,862', '']","['2', '']"
7982,r038,All institutions -> William & Mary,All institutions,William & Mary,2,37,"['14,448', '']","['14,272', '']","['12,158', '']","['12,138', '']","['0', '']","['216', '']","['11,922', '']","['0', '']"
7982,r039,All institutions -> George Mason U.,All institutions,George Mason U.,2,38,"['10,804', '']","['9,912', '']","['9,390', '']","['11,636', '']","['4,782', '']","['6,110', '']","['427', '']","['317', '']"
7982,r040,All institutions -> U. Delaware,All institutions,U. Delaware,2,39,"['12,351', '']","['10,066', '']","['10,785', '']","['11,596', '']","['0', '']","['2,557', '']","['4,817', '']","['4,222', '']"
7982,r041,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,40,"['11,903', '']","['11,158', '']","['12,873', '']","['11,575', '']","['0', '']","['3,800', '']","['3,512', '']","['4,263', '']"
7982,r042,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,41,"['5,817', '']","['7,793', '']","['13,635', '']","['11,429', '']","['580', '']","['8,482', '']","['2,252', '']","['115', '']"
7982,r043,"All institutions -> U. Hawaii, system office",All institutions,"U. Hawaii, system office",2,42,"['11,020', '']","['10,531', '']","['11,673', '']","['11,375', '']","['11,360', '']","['0', '']","['15', '']","['0', '']"
7982,r044,All institutions -> U. South Florida<sup>c</sup>,All institutions,U. South Florida<sup>c</sup>,2,43,"['10,896', '']","['10,880', '']","['10,327', '']","['9,935', '']","['0', '']","['2,108', '']","['7,827', '']","['0', '']"
7982,r045,All institutions -> Michigan Technological U.,All institutions,Michigan Technological U.,2,44,"['8,473', '']","['8,715', '']","['8,015', '']","['9,646', '']","['1,370', '']","['4', '']","['3,662', '']","['4,610', '']"
