table_id,row_id,_b_type_of_r_d_b_full_path,_b_type_of_r_d_b_level_1,_b_type_of_r_d_b_level_2,_b_type_of_r_d_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
7932,r001,All types of R&D,All types of R&D,,1,89723447,98338,0.1,49143460,57678,0.1
7932,r002,All types of R&D -> Basic research,All types of R&D,Basic research,2,55947468,9134111,16.3,31128457,6179665,19.9
7932,r003,All types of R&D -> Applied research,All types of R&D,Applied research,2,25071537,4233432,16.9,13917379,2571659,18.5
7932,r004,All types of R&D -> Experimental development,All types of R&D,Experimental development,2,8704442,1255648,14.4,4097624,658893,16.1
