table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_dod,field_doe,field_dot,field_hhs,field_nasa,field_nrc,field_nsf,field_usda
10405,r001,All institutions,All institutions,,1,-,1750588,125,417,1427,1644,1073591,10,10685,496713,165977
10405,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,39930,0,0,0,0,37121,0,0,2809,0
10405,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,34444,0,0,0,0,32732,0,0,1702,10
10405,r004,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,3,30911,0,0,0,0,29966,0,0,795,150
10405,r005,All institutions -> U. Michigan,All institutions,U. Michigan,2,4,28795,0,0,0,0,25039,0,0,3355,401
10405,r006,All institutions -> U. Washington,All institutions,U. Washington,2,5,28760,0,0,0,0,23961,0,0,4455,343
10405,r007,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,6,28703,0,0,0,0,24134,0,450,4119,0
10405,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,28464,0,0,0,0,25222,0,0,3129,113
10405,r009,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,8,25397,0,0,0,0,18907,0,0,6258,233
10405,r010,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,9,23655,0,0,0,0,19662,0,0,3912,80
10405,r011,"All institutions -> U. North Carolina, The, Chapel Hill",All institutions,"U. North Carolina, The, Chapel Hill",2,10,23206,0,0,0,0,22402,0,0,804,0
10405,r012,All institutions -> Harvard U.,All institutions,Harvard U.,2,11,22005,0,0,0,0,21598,0,0,407,0
10405,r013,All institutions -> Vanderbilt U.,All institutions,Vanderbilt U.,2,12,21650,0,0,0,0,18429,0,0,3221,0
10405,r014,All institutions -> Yale U.,All institutions,Yale U.,2,13,21060,0,0,0,0,20777,0,0,283,0
10405,r015,"All institutions -> Northwestern U., Evanston",All institutions,"Northwestern U., Evanston",2,14,21043,0,0,0,0,20051,0,0,992,0
10405,r016,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,15,20847,0,0,0,0,16695,0,0,2470,1682
10405,r017,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,16,19830,0,0,0,0,19315,0,0,515,0
10405,r018,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,17,18522,0,0,0,0,18337,0,0,185,0
10405,r019,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,18,18379,0,0,0,0,14567,0,0,1539,2273
10405,r020,"All institutions -> Cornell U., Ithaca",All institutions,"Cornell U., Ithaca",2,19,18281,0,0,0,0,13141,0,0,3949,1191
10405,r021,All institutions -> Emory U.,All institutions,Emory U.,2,20,17603,0,0,0,0,17603,0,0,0,0
10405,r022,All institutions -> Duke U.,All institutions,Duke U.,2,21,16916,0,0,0,0,12605,0,0,4268,44
10405,r023,All institutions -> Pennsylvania State U.,All institutions,Pennsylvania State U.,2,22,16820,0,0,0,0,5876,0,0,8705,2240
10405,r024,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,23,16255,0,0,0,0,12013,0,650,3591,0
10405,r025,All institutions -> Stanford U.,All institutions,Stanford U.,2,24,15393,0,0,0,0,14454,0,0,939,0
10405,r026,"All institutions -> Rutgers, The State U. New Jersey",All institutions,"Rutgers, The State U. New Jersey",2,25,14688,0,0,0,0,11383,0,0,1854,1451
10405,r027,"All institutions -> U. Utah, The",All institutions,"U. Utah, The",2,26,13665,0,0,0,0,12255,0,0,1409,0
10405,r028,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,27,13633,0,0,0,0,8549,0,0,5084,0
10405,r029,"All institutions -> U. Alabama, The, Birmingham",All institutions,"U. Alabama, The, Birmingham",2,28,13555,0,0,0,0,12533,0,0,1022,0
10405,r030,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,29,12642,0,0,0,0,2582,0,848,3660,5552
10405,r031,All institutions -> U. Florida,All institutions,U. Florida,2,30,12370,0,0,0,0,8470,0,845,1410,1644
10405,r032,"All institutions -> Ohio State U., The",All institutions,"Ohio State U., The",2,31,11906,0,0,0,0,6936,0,0,1786,3184
10405,r033,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,32,11902,0,0,0,0,7832,0,0,16,4054
10405,r034,All institutions -> Washington State U.,All institutions,Washington State U.,2,33,11607,0,0,0,0,1836,0,0,4410,5362
10405,r035,All institutions -> U. Arizona,All institutions,U. Arizona,2,34,11566,0,0,0,0,8187,0,0,2478,902
10405,r036,"All institutions -> U. Texas, The, Austin",All institutions,"U. Texas, The, Austin",2,35,11119,0,0,0,0,5321,0,158,5640,0
