table_id,row_id,selected_industry_naics_code_and_company_size_full_path,selected_industry_naics_code_and_company_size_level_1,selected_industry_naics_code_and_company_size_level_2,selected_industry_naics_code_and_company_size_level_3,selected_industry_naics_code_and_company_size_level_4,selected_industry_naics_code_and_company_size_hierarchy_depth,field_totalb,field_used_for_domestic_r_da_totalb_c,field_used_for_domestic_r_da_land_acquisition,field_used_for_domestic_r_da_buildingsand_land_improvementd,field_used_for_domestic_r_da_equipment,field_used_for_domestic_r_da_capitalized_software,field_used_for_domestic_r_da_all_other_andundistributede
2359,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,"['665,199', '  ']","['34,743', '  ']","['659', '  ']","['4,063', '  ']","['16,393', '  ']","['9,659', '  ']","['3,969', '  ']"
2359,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,"['283,452', '  ']","['18,582', '  ']","['240', '  ']","['3,047', '  ']","['11,541', '  ']","['1,750', '  ']","['2,004', '  ']"
2359,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,"['56,821', '  ']","['5,434', '  ']","['101', '  ']","['1,705', '  ']","['2,690', '  ']","['369', '  ']","['569', '  ']"
2359,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,"['22,286', '  ']","['4,275', '  ']","['76', '  ']","['1,394', '  ']","['1,972', '  ']","['360', '  ']","['473', '  ']"
2359,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,"['34,535', '&nbsp;']","['1,159', '&nbsp;']","['25', '&nbsp;']","['311', '&nbsp;']","['718', '&nbsp;']","['9', '&nbsp;']","['96', '&nbsp;']"
2359,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,"['13,194', '  ']","['1,066', '  ']","['5', '  ']","['228', '  ']","['620', '  ']","['101', '  ']","['112', '  ']"
2359,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,"['38,527', '  ']","['6,350', '  ']","['25', '  ']","['541', '  ']","['4,729', '  ']","['669', '  ']","['387', '  ']"
2359,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Communication equipment, 3342","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Communication equipment, 3342",4,"['3,862', '  ']","['788', '  ']","['*', 'i ']","['62', '  ']","['662', '  ']","['38', '  ']","['25', '  ']"
2359,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Semiconductor and other electronic products, 3344","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Semiconductor and other electronic products, 3344",4,"['19,366', 'i ']","['2,755', 'i ']","['10', 'i ']","['96', 'i ']","['2,089', 'i ']","['338', 'i ']","['222', 'i ']"
2359,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Other 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",Other 334,4,"['15,299', '&nbsp;']","['2,807', '&nbsp;']","['14', '&nbsp;']","['383', '&nbsp;']","['1,978', '&nbsp;']","['293', '&nbsp;']","['140', '&nbsp;']"
