table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others
2112,r001,Total,Total,,,1,"['87,528', ' ']","['78,689', ' ']","['8,839', ' ']"
2112,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['437', ' ']","['391', ' ']","['46', 'i']"
2112,r003,Total -> Canada,Total,Canada,,2,"['5,375', ' ']","['4,842', ' ']","['533', ' ']"
2112,r004,Total -> Latin America and Other Western Hemisphere,Total,Latin America and Other Western Hemisphere,,2,"['4,367', ' ']","['4,000', ' ']","['367', 'i']"
2112,r005,Total -> Latin America and Other Western Hemisphere -> Argentina,Total,Latin America and Other Western Hemisphere,Argentina,3,"['353', ' ']","['242', ' ']","['111', 'i']"
2112,r006,Total -> Latin America and Other Western Hemisphere -> Brazil,Total,Latin America and Other Western Hemisphere,Brazil,3,"['1,526', ' ']","['1,415', ' ']","['111', 'i']"
2112,r007,Total -> Latin America and Other Western Hemisphere -> Chile,Total,Latin America and Other Western Hemisphere,Chile,3,"['119', ' ']","['96', ' ']","['23', 'i']"
2112,r008,Total -> Latin America and Other Western Hemisphere -> Mexico,Total,Latin America and Other Western Hemisphere,Mexico,3,"['900', ' ']","['812', ' ']","['88', ' ']"
2112,r009,Total -> Latin America and Other Western Hemisphere -> Other Latin American and Western Hemisphere locations,Total,Latin America and Other Western Hemisphere,Other Latin American and Western Hemisphere locations,3,"['1,470', 'i']","['1,435', 'i']","['35', 'i']"
2112,r010,Total -> Africa,Total,Africa,,2,"['318', ' ']","['222', ' ']","['96', 'i']"
2112,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['186', ' ']","['97', ' ']","['89', 'i']"
2112,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['132', ' ']","['125', ' ']","['7', 'i']"
2112,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['27,781', ' ']","['25,937', ' ']","['1,844', 'i']"
2112,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['1,844', ' ']","['1,700', ' ']","['144', 'i']"
2112,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['7,188', ' ']","['6,817', ' ']","['372', 'i']"
2112,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['423', ' ']","['397', ' ']","['25', 'i']"
2112,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['7,726', ' ']","['7,500', ' ']","['227', 'i']"
2112,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['42', ' ']","['40', ' ']","['2', 'i']"
2112,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['3,588', ' ']","['3,035', ' ']","['552', 'i']"
2112,r020,Total -> Asia and Pacific -> Malaysia,Total,Asia and Pacific,Malaysia,3,"['789', ' ']","['777', ' ']","['12', 'i']"
2112,r021,Total -> Asia and Pacific -> New Zealand,Total,Asia and Pacific,New Zealand,3,"['134', ' ']","['108', ' ']","['27', ' ']"
2112,r022,Total -> Asia and Pacific -> Singapore,Total,Asia and Pacific,Singapore,3,"['2,192', ' ']","['1,946', ' ']","['246', 'i']"
2112,r023,Total -> Asia and Pacific -> South Korea,Total,Asia and Pacific,South Korea,3,"['1,413', ' ']","['1,292', ' ']","['121', 'i']"
2112,r024,Total -> Asia and Pacific -> Taiwan,Total,Asia and Pacific,Taiwan,3,"['1,166', ' ']","['1,085', ' ']","['81', ' ']"
2112,r025,Total -> Asia and Pacific -> Thailand,Total,Asia and Pacific,Thailand,3,"['343', ' ']","['327', ' ']","['16', 'i']"
2112,r026,Total -> Asia and Pacific -> Other Asia and Pacific locations,Total,Asia and Pacific,Other Asia and Pacific locations,3,"['932', 'i']","['914', 'i']","['19', 'i']"
2112,r027,Total -> Europe,Total,Europe,,2,"['43,036', ' ']","['37,240', ' ']","['5,797', 'i']"
2112,r028,Total -> Europe -> Austria,Total,Europe,Austria,3,"['724', ' ']","['667', ' ']","['57', 'i']"
2112,r029,Total -> Europe -> Belgium,Total,Europe,Belgium,3,"['2,230', ' ']","['2,001', ' ']","['229', 'i']"
2112,r030,Total -> Europe -> Czechia,Total,Europe,Czechia,3,"['378', ' ']","['321', ' ']","['57', 'i']"
2112,r031,Total -> Europe -> Denmark,Total,Europe,Denmark,3,"['636', ' ']","['585', ' ']","['51', ' ']"
2112,r032,Total -> Europe -> Finland,Total,Europe,Finland,3,"['549', ' ']","['504', ' ']","['45', ' ']"
2112,r033,Total -> Europe -> France,Total,Europe,France,3,"['3,227', ' ']","['2,753', ' ']","['474', ' ']"
2112,r034,Total -> Europe -> Germany,Total,Europe,Germany,3,"['8,511', ' ']","['8,028', ' ']","['483', ' ']"
2112,r035,Total -> Europe -> Hungary,Total,Europe,Hungary,3,"['216', ' ']","['158', ' ']","['58', 'i']"
2112,r036,Total -> Europe -> Ireland,Total,Europe,Ireland,3,"['3,302', ' ']","['3,207', ' ']","['95', 'i']"
2112,r037,Total -> Europe -> Italy,Total,Europe,Italy,3,"['1,291', ' ']","['1,051', ' ']","['240', ' ']"
2112,r038,Total -> Europe -> Luxembourg,Total,Europe,Luxembourg,3,"['205', ' ']","['205', ' ']","['0', ' ']"
2112,r039,Total -> Europe -> Netherlands,Total,Europe,Netherlands,3,"['1,775', ' ']","['1,472', ' ']","['303', ' ']"
2112,r040,Total -> Europe -> Norway,Total,Europe,Norway,3,"['447', ' ']","['440', ' ']","['7', ' ']"
2112,r041,Total -> Europe -> Poland,Total,Europe,Poland,3,"['767', ' ']","['608', ' ']","['159', 'i']"
2112,r042,Total -> Europe -> Russia,Total,Europe,Russia,3,"['380', ' ']","['270', ' ']","['109', 'i']"
2112,r043,Total -> Europe -> Spain,Total,Europe,Spain,3,"['864', ' ']","['676', ' ']","['188', 'i']"
2112,r044,Total -> Europe -> Sweden,Total,Europe,Sweden,3,"['1,312', ' ']","['1,253', ' ']","['59', 'i']"
2112,r045,Total -> Europe -> Switzerland,Total,Europe,Switzerland,3,"['3,703', ' ']","['3,157', ' ']","['546', ' ']"
2112,r046,Total -> Europe -> Turkey,Total,Europe,Turkey,3,"['98', ' ']","['76', ' ']","['22', 'i']"
2112,r047,Total -> Europe -> United Kingdom,Total,Europe,United Kingdom,3,"['10,487', ' ']","['8,246', ' ']","['2,241', 'i']"
2112,r048,Total -> Europe -> Other European locations,Total,Europe,Other European locations,3,"['1,933', ' ']","['1,561', ' ']","['372', 'i']"
2112,r049,Total -> Middle East,Total,Middle East,,2,"['4,551', ' ']","['4,456', ' ']","['95', 'i']"
2112,r050,Total -> Middle East -> Israel,Total,Middle East,Israel,3,"['4,318', ' ']","['4,233', ' ']","['86', 'i']"
2112,r051,Total -> Middle East -> Other Middle Eastern locations,Total,Middle East,Other Middle Eastern locations,3,"['233', ' ']","['224', ' ']","['9', 'i']"
2112,r052,Total -> Undistributed,Total,Undistributed,,2,"['1,663', 'i']","['1,601', 'i']","['61', 'i']"
