table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_intramural_r_d_expenditures,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development
5203,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,692719374,129980219,523350299,39388856
5203,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,13704571,6917365,4521539,2265667
5203,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,10745451,0,8965863,1779588
5203,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,1562435,559621,1002814,0
5203,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,189018,0,189018,0
5203,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,81087677,1190016,76831195,3066466
5203,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,12047699,40031,11985142,22526
5203,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,25868030,9630799,16077202,160029
5203,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,2312965,0,2312965,0
5203,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,2510818,1101993,1294542,114283
5203,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,52430371,156535,50104778,2169058
5203,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,2648196,0,2648196,0
5203,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,6531042,0,534418,5996624
5203,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,7967885,0,7967885,0
5203,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,626262,0,125252,501010
5203,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,92268,0,92268,0
5203,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,3430444,0,3414444,16000
5203,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,999734,5491,994243,0
5203,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,1752643,0,1752643,0
5203,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,11101353,5798837,5302516,0
5203,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,4038999,565473,2373325,1100201
5203,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,659436,0,514436,145000
5203,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,9681990,8528000,448990,705000
5203,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,527096,483306,43790,0
5203,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,2583398,0,2583398,0
5203,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,1236050,3071,928689,304290
5203,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,8112983,0,8112983,0
5203,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,6104413,0,6104413,0
5203,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,2342783,0,2342783,0
5203,r030,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,188146,0,188146,0
5203,r031,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,49309,0,2980,46329
5203,r032,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,2624342,305895,1976647,341800
5203,r033,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,2,2594660,0,2594660,0
