table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_full_professor_number,field_full_professor_se,field_associate_professor_number,field_associate_professor_se,field_assistant_professor_number,field_assistant_professor_se,field_instructor_or_lecturer_number,field_instructor_or_lecturer_se,field_all_other_faculty_number,field_all_other_faculty_se,field_rank_not_applicable_number,field_rank_not_applicable_se
8198,r001,All fields,All fields,,,,,1,340950,2450,112150,1850,76550,1375,68500,1250,20200,725,1500,225,62050,1275
8198,r002,All fields -> Hispanic or Latino<sup>a</sup>,All fields,Hispanic or Latino<sup>a</sup>,,,,2,17300,525,4500,250,3550,200,4600,275,1300,150,S,S,3250,225
8198,r003,All fields -> Not Hispanic or Latino<sup>b</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,,,,2,,,,,,,,,,,,,,
8198,r004,All fields -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,,3,600,100,200,75,150,50,150,50,S,S,,,50,25
8198,r005,All fields -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Not Hispanic or Latino<sup>b</sup>,Asian,,,3,69800,1375,19200,800,14550,725,15500,625,2850,325,250,100,17400,750
8198,r006,All fields -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Not Hispanic or Latino<sup>b</sup>,Black or African American,,,3,13650,425,2950,200,3700,275,3950,250,700,125,50,25,2300,225
8198,r007,All fields -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Not Hispanic or Latino<sup>b</sup>,White,,,3,233700,2075,84000,1525,53250,1175,43000,1000,14950,600,1050,200,37450,950
8198,r008,All fields -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,,3,5850,325,1300,200,1300,175,1350,150,300,75,,,1550,200
8198,r009,All fields -> Science,All fields,Science,,,,2,272450,2175,89100,1500,60300,1225,52550,1125,17650,700,1350,200,51450,1125
8198,r010,All fields -> Science -> Hispanic or Latino<sup>a</sup>,All fields,Science,Hispanic or Latino<sup>a</sup>,,,3,14050,475,3450,200,2900,175,3800,275,1100,150,S,S,2750,200
8198,r011,All fields -> Science -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,,,,,
8198,r012,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,450,75,100,75,150,50,100,50,,,,,50,25
8198,r013,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Asian,,4,50500,1175,12650,575,10600,625,10950,550,2500,300,250,100,13550,650
