table_id,row_id,selected_characteristic_and_company_size_full_path,selected_characteristic_and_company_size_level_1,selected_characteristic_and_company_size_level_2,selected_characteristic_and_company_size_level_3,selected_characteristic_and_company_size_level_4,selected_characteristic_and_company_size_hierarchy_depth,field_2017,field_2018
2355,r001,Domestic R&D performance<sup>a</sup>,Domestic R&D performance<sup>a</sup>,,,,1,"['400,100', '&nbsp;']","['441,036', '&nbsp;']"
2355,r002,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup>,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2355,r003,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Basic research,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Basic research,,3,"['24,829', '&nbsp;']","['28,980', '&nbsp;']"
2355,r004,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Applied research,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Applied research,,3,"['62,132', '&nbsp;']","['65,222', '&nbsp;']"
2355,r005,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Development,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Development,,3,"['313,139', '&nbsp;']","['346,834', '&nbsp;']"
2355,r006,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup>,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,,,2,"['339,036', '&nbsp;']","['377,806', '&nbsp;']"
2355,r007,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Basic research,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Basic research,,3,"['18,732', '&nbsp;']","['22,312', '&nbsp;']"
2355,r008,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Applied research,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Applied research,,3,"['49,149', '&nbsp;']","['53,229', '&nbsp;']"
2355,r009,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Development,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Development,,3,"['271,155', '&nbsp;']","['302,264', '&nbsp;']"
2355,r010,Domestic R&D performance<sup>a</sup> -> Paid for by others,Domestic R&D performance<sup>a</sup>,Paid for by others,,,2,"['61,065', '&nbsp;']","['63,230', '&nbsp;']"
2355,r011,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Basic research,Domestic R&D performance<sup>a</sup>,Paid for by others,Basic research,,3,"['6,097', '&nbsp;']","['6,668', '&nbsp;']"
2355,r012,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Applied research,Domestic R&D performance<sup>a</sup>,Paid for by others,Applied research,,3,"['12,984', '&nbsp;']","['11,993', '&nbsp;']"
2355,r013,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Development,Domestic R&D performance<sup>a</sup>,Paid for by others,Development,,3,"['41,984', '&nbsp;']","['44,570', '&nbsp;']"
2355,r014,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2355,r015,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Federal,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Federal,4,"['24,277', 'i']","['24,685', '&nbsp;']"
2355,r016,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Other<sup>d</sup>,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Other<sup>d</sup>,4,"['36,788', '&nbsp;']","['38,545', '&nbsp;']"
2355,r017,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2355,r018,Size of company (number of domestic employees) -> Small companies<sup>e</sup>,Size of company (number of domestic employees),Small companies<sup>e</sup>,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2355,r019,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 10&#8211;19,Size of company (number of domestic employees),Small companies<sup>e</sup>,10&#8211;19,,3,"['3,311', '  ']","['4,390', '  ']"
2355,r020,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>e</sup>,20&#8211;49,,3,"['9,435', '  ']","['11,252', '  ']"
2355,r021,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2355,r022,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,"['10,141', '  ']","['12,321', '  ']"
2355,r023,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,"['17,216', '  ']","['18,547', '  ']"
2355,r024,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2355,r025,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,"['14,103', '  ']","['19,645', '  ']"
2355,r026,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,"['17,871', '  ']","['17,657', '  ']"
2355,r027,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,"['65,112', '  ']","['68,578', '  ']"
2355,r028,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,"['40,198', '  ']","['45,337', '  ']"
2355,r029,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,"['73,485', '  ']","['84,420', '  ']"
2355,r030,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,"['149,227', '  ']","['158,889', '  ']"
