table_id,row_id,assessment,1985_n_1_986_,1992_n_1_995_,1995_n_2_006_,1997_n_2_000_,1999_n_1_882_,2001_n_1_574_,2004_n_2_025_,2006_n_1_864_,2008_n_2_021_,2010_n_1_434_,2012_n_2_256_,2014_n_2_130_,2016_n_1_390_,2018_n_1_175_
6669,r001,Strongly agree or agree,77,82,81,81,84,84,85,90,89,91,87,89,91,92
6669,r002,Strongly disagree or disagree,19,16,15,16,14,13,13,9,8,7,10,9,8,7
6669,r003,Don't know,4,3,3,3,3,2,2,2,3,2,3,1,1,1
