table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others
6591,r001,Total,Total,,,1,"['104,464', '&nbsp;']","['93,944', '&nbsp;']","['10,519', 'i']"
6591,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['539', 'i']","['519', 'i']","['20', '&nbsp;']"
6591,r003,Total -> Canada,Total,Canada,,2,"['6,862', '&nbsp;']","['6,193', '&nbsp;']","['669', '&nbsp;']"
6591,r004,Total -> Latin America and Other Western Hemisphere,Total,Latin America and Other Western Hemisphere,,2,"['5,407', 'i']","['4,944', '&nbsp;']","['463', 'i']"
6591,r005,Total -> Latin America and Other Western Hemisphere -> Argentina,Total,Latin America and Other Western Hemisphere,Argentina,3,"['402', '&nbsp;']","['287', '&nbsp;']","['115', 'i']"
6591,r006,Total -> Latin America and Other Western Hemisphere -> Brazil,Total,Latin America and Other Western Hemisphere,Brazil,3,"['1,493', '&nbsp;']","['1,347', '&nbsp;']","['146', 'i']"
6591,r007,Total -> Latin America and Other Western Hemisphere -> Chile,Total,Latin America and Other Western Hemisphere,Chile,3,"['117', '&nbsp;']","['95', '&nbsp;']","['23', 'i']"
6591,r008,Total -> Latin America and Other Western Hemisphere -> Mexico,Total,Latin America and Other Western Hemisphere,Mexico,3,"['1,022', '&nbsp;']","['937', '&nbsp;']","['85', 'i']"
6591,r009,Total -> Latin America and Other Western Hemisphere -> Other Latin American and Western Hemisphere locations,Total,Latin America and Other Western Hemisphere,Other Latin American and Western Hemisphere locations,3,"['2,373', 'i']","['2,278', 'i']","['95', '&nbsp;']"
6591,r010,Total -> Africa,Total,Africa,,2,"['372', '&nbsp;']","['280', '&nbsp;']","['92', 'i']"
6591,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['229', 'i']","['142', '&nbsp;']","['87', 'i']"
6591,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['143', '&nbsp;']","['138', '&nbsp;']","['5', 'i']"
6591,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['32,458', '&nbsp;']","['30,227', '&nbsp;']","['2,231', 'i']"
