table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_high_hispanic_enrollment_institution
3279,r001,"Female, all institutions","Female, all institutions",,,1,5491,-
3279,r002,"Female, all institutions -> Foreign or unknown institutions","Female, all institutions",Foreign or unknown institutions,,2,1452,-
3279,r003,"Female, all institutions -> Top 50 U.S. institutions","Female, all institutions",Top 50 U.S. institutions,,2,1948,-
3279,r004,"Female, all institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Rio Piedras","Female, all institutions",Top 50 U.S. institutions,"U. Puerto Rico, Rio Piedras",3,190,Yes
3279,r005,"Female, all institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Mayaguez","Female, all institutions",Top 50 U.S. institutions,"U. Puerto Rico, Mayaguez",3,117,Yes
3279,r006,"Female, all institutions -> Top 50 U.S. institutions -> Florida International U.","Female, all institutions",Top 50 U.S. institutions,Florida International U.,3,75,Yes
3279,r007,"Female, all institutions -> Top 50 U.S. institutions -> U. California, Los Angeles","Female, all institutions",Top 50 U.S. institutions,"U. California, Los Angeles",3,74,No
3279,r008,"Female, all institutions -> Top 50 U.S. institutions -> U. Florida","Female, all institutions",Top 50 U.S. institutions,U. Florida,3,71,No
3279,r009,"Female, all institutions -> Top 50 U.S. institutions -> U. California, Berkeley","Female, all institutions",Top 50 U.S. institutions,"U. California, Berkeley",3,68,No
3279,r010,"Female, all institutions -> Top 50 U.S. institutions -> U. California, Davis","Female, all institutions",Top 50 U.S. institutions,"U. California, Davis",3,64,No
3279,r011,"Female, all institutions -> Top 50 U.S. institutions -> U. Texas, Austin","Female, all institutions",Top 50 U.S. institutions,"U. Texas, Austin",3,61,No
3279,r012,"Female, all institutions -> Top 50 U.S. institutions -> U. Texas, El Paso","Female, all institutions",Top 50 U.S. institutions,"U. Texas, El Paso",3,61,Yes
3279,r013,"Female, all institutions -> Top 50 U.S. institutions -> U. Arizona","Female, all institutions",Top 50 U.S. institutions,U. Arizona,3,57,Yes
3279,r014,"Female, all institutions -> Top 50 U.S. institutions -> U. Miami","Female, all institutions",Top 50 U.S. institutions,U. Miami,3,54,No
3279,r015,"Female, all institutions -> Top 50 U.S. institutions -> U. California, Irvine","Female, all institutions",Top 50 U.S. institutions,"U. California, Irvine",3,51,Yes
3279,r016,"Female, all institutions -> Top 50 U.S. institutions -> U. California, San Diego","Female, all institutions",Top 50 U.S. institutions,"U. California, San Diego",3,42,No
3279,r017,"Female, all institutions -> Top 50 U.S. institutions -> Stanford U.","Female, all institutions",Top 50 U.S. institutions,Stanford U.,3,40,No
