table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_yes_filed_form_6765_in_2018,field_no_did_not_file_form_6765_in_2018
5629,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    7,843 ', '&nbsp;']","['    20.2 ', '&nbsp;']","['    79.4 ', '&nbsp;']"
5629,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    1,006 ', '&nbsp;']","['    18.6 ', '&nbsp;']","['    81.1 ', '&nbsp;']"
5629,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']"
5629,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5629,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5629,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5629,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']"
5629,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5629,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    136 ', '&nbsp;']","['    22.8 ', '&nbsp;']","['    77.9 ', '&nbsp;']"
5629,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    83 ', '&nbsp;']","['    27.7 ', 'r']","['    73.5 ', '&nbsp;']"
5629,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    54 ', '&nbsp;']","['    16.7 ', '&nbsp;']","['    85.2 ', '&nbsp;']"
5629,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5629,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']"
5629,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5629,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['D', '&nbsp;']","['    0.0 ', '&nbsp;']","['D', '&nbsp;']"
5629,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    103 ', 'r']","['    0.0 ', '&nbsp;']","['    100.0 ', '&nbsp;']"
5629,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    436 ', '&nbsp;']","['    23.2 ', '&nbsp;']","['    77.1 ', '&nbsp;']"
5629,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    81 ', '&nbsp;']","['    19.8 ', '&nbsp;']","['    81.5 ', '&nbsp;']"
5629,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['    245 ', '&nbsp;']","['    28.6 ', '&nbsp;']","['    71.4 ', '&nbsp;']"
5629,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['    111 ', '&nbsp;']","['    15.3 ', 'r']","['    85.6 ', '&nbsp;']"
5629,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    112 ', '&nbsp;']","['D', '&nbsp;']","['    96.4 ', '&nbsp;']"
5629,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    26 ', '&nbsp;']","['    57.7 ', 'r']","['    46.2 ', 'r']"
5629,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['    20 ', '&nbsp;']","['D', '&nbsp;']","['    60.0 ', 'r']"
5629,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['D', '&nbsp;']","['D', '&nbsp;']","['    0.0 ', '&nbsp;']"
5629,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    0.0 ', '&nbsp;']"
5629,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    162 ', '&nbsp;']","['    18.5 ', '&nbsp;']","['    79.0 ', '&nbsp;']"
5629,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    6,836 ', '&nbsp;']","['    20.5 ', '&nbsp;']","['    79.2 ', '&nbsp;']"
5629,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    185 ', '&nbsp;']","['    28.1 ', 'r']","['    71.9 ', '&nbsp;']"
5629,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    908 ', '&nbsp;']","['    17.2 ', '&nbsp;']","['    81.3 ', '&nbsp;']"
5629,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    612 ', '&nbsp;']","['    20.4 ', '&nbsp;']","['    78.8 ', '&nbsp;']"
5629,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,"51, excluding 5112","['    296 ', '&nbsp;']","['    10.1 ', '&nbsp;']","['    86.1 ', '&nbsp;']"
5629,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    888 ', '&nbsp;']","['    15.9 ', '&nbsp;']","['    84.2 ', '&nbsp;']"
5629,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    3,013 ', '&nbsp;']","['    19.8 ', '&nbsp;']","['    80.0 ', '&nbsp;']"
5629,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    1,840 ', '&nbsp;']","['    24.6 ', '&nbsp;']","['    75.2 ', '&nbsp;']"
5629,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['    350 ', '&nbsp;']","['    22.3 ', '&nbsp;']","['    77.7 ', '&nbsp;']"
5629,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['    535 ', '&nbsp;']","['    31.4 ', '&nbsp;']","['    68.4 ', '&nbsp;']"
5629,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['    919 ', '&nbsp;']","['    22.5 ', '&nbsp;']","['    77.3 ', '&nbsp;']"
5629,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['    18 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    100.0 ', '&nbsp;']"
