table_id,row_id,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,sector_and_occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_sex_female,field_sex_male,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_disability_status_without_disability,field_disability_status_with_disability
1194,r001,All sectors,All sectors,,,,,1,27273000,13002000,14271000,2328000,79000,3546000,2008000,67000,18750000,495000,24454000,2820000
1194,r002,All sectors -> S&E occupations<sup>b</sup>,All sectors,S&E occupations<sup>b</sup>,,,,2,6769000,1966000,4803000,505000,14000,1338000,382000,23000,4397000,109000,6120000,649000
1194,r003,All sectors -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,S&E occupations<sup>b</sup>,Science occupations,,,3,5041000,1697000,3344000,362000,9000,1056000,320000,16000,3201000,78000,4572000,469000
1194,r004,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,,4,610000,292000,319000,38000,S,126000,20000,1000,415000,9000,570000,41000
1194,r005,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,4,3128000,796000,2332000,185000,4000,788000,225000,11000,1866000,49000,2842000,286000
1194,r006,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,4,292000,123000,168000,15000,,53000,17000,,203000,3000,270000,21000
1194,r007,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,4,366000,107000,259000,29000,S,51000,11000,S,265000,7000,332000,34000
1194,r008,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,4,250000,173000,77000,33000,0.05,14000,11000,,187000,4000,226000,24000
1194,r009,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,4,396000,206000,190000,63000,S,24000,37000,S,264000,5000,333000,63000
1194,r010,All sectors -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,S&E occupations<sup>b</sup>,Engineering occupations,,,3,1728000,269000,1459000,143000,5000,283000,62000,8000,1196000,31000,1548000,180000
1194,r011,All sectors -> S&E-related occupations<sup>c</sup>,All sectors,S&E-related occupations<sup>c</sup>,,,,2,8271000,4764000,3507000,702000,28000,1042000,610000,16000,5726000,147000,7532000,739000
1194,r012,All sectors -> Non-S&E occupations,All sectors,Non-S&E occupations,,,,2,12233000,6271000,5962000,1121000,37000,1166000,1016000,27000,8628000,239000,10802000,1431000
1194,r013,All sectors -> Business or industry,All sectors,Business or industry,,,,2,14541000,5611000,8930000,1189000,33000,2270000,873000,33000,9903000,241000,13065000,1475000
1194,r014,All sectors -> Business or industry -> S&E occupations<sup>b</sup>,All sectors,Business or industry,S&E occupations<sup>b</sup>,,,3,4317000,983000,3334000,307000,7000,954000,221000,16000,2745000,65000,3917000,400000
1194,r015,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,,4,3003000,793000,2210000,199000,3000,743000,176000,11000,1829000,42000,2733000,270000
1194,r016,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,5,196000,90000,106000,12000,,34000,8000,0.05,137000,4000,184000,12000
1194,r017,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,2390000,537000,1853000,125000,1000,660000,158000,10000,1403000,34000,2186000,203000
1194,r018,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,126000,52000,74000,9000,,27000,3000,,85000,1000,122000,4000
1194,r019,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,141000,45000,95000,9000,,14000,4000,0.05,110000,2000,128000,13000
1194,r020,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,44000,26000,18000,7000,,S,1000,,33000,,40000,4000
1194,r021,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,107000,43000,65000,S,,7000,1000,,61000,0.05,73000,S
1194,r022,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,Business or industry,S&E occupations<sup>b</sup>,Engineering occupations,,4,1314000,190000,1124000,108000,4000,211000,45000,6000,917000,23000,1184000,130000
1194,r023,All sectors -> Business or industry -> S&E-related occupations<sup>c</sup>,All sectors,Business or industry,S&E-related occupations<sup>c</sup>,,,3,3842000,1904000,1938000,339000,7000,587000,253000,4000,2599000,53000,3489000,353000
1194,r024,All sectors -> Business or industry -> Non-S&E occupations,All sectors,Business or industry,Non-S&E occupations,,,3,6382000,2724000,3658000,542000,19000,728000,398000,13000,4558000,123000,5660000,722000
1194,r025,All sectors -> Federal government,All sectors,Federal government,,,,2,1287000,542000,746000,120000,S,135000,170000,3000,816000,34000,1129000,158000
1194,r026,All sectors -> Federal government -> S&E occupations<sup>b</sup>,All sectors,Federal government,S&E occupations<sup>b</sup>,,,3,415000,140000,275000,33000,S,45000,45000,2000,281000,8000,361000,54000
1194,r027,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,,4,300000,118000,182000,24000,S,36000,39000,S,195000,5000,257000,44000
1194,r028,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/life scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Biological/life scientist,5,60000,27000,34000,3000,,11000,2000,,43000,1000,56000,4000
1194,r029,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,128000,47000,81000,10000,,18000,25000,,72000,2000,100000,28000
1194,r030,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,19000,9000,10000,2000,,1000,S,,13000,S,13000,S
1194,r031,All sectors -> Federal government -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,Federal government,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,42000,11000,30000,8000,,4000,2000,,26000,S,39000,3000
