table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
8825,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['71,457', '&nbsp;']","['41,958', '&nbsp;']","['795', '&nbsp;']","['2,745', '&nbsp;']","['373', '&nbsp;']","['7,642', '&nbsp;']","['1,110', '&nbsp;']","['2,414', '&nbsp;']","['309', '&nbsp;']","['4,386', 'i']","['9,724', '&nbsp;']"
8825,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['43,848', '&nbsp;']","['26,620', '&nbsp;']","['497', '&nbsp;']","['1,751', '&nbsp;']","['224', '&nbsp;']","['5,325', '&nbsp;']","['574', '&nbsp;']","['1,426', '&nbsp;']","['288', '&nbsp;']","['914', '&nbsp;']","['6,231', '&nbsp;']"
8825,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['254', '&nbsp;']","['153', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']","['15', '&nbsp;']","['15', '&nbsp;']","['13', '&nbsp;']","['*', '&nbsp;']","['4', '&nbsp;']","['36', '&nbsp;']"
8825,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['121', '&nbsp;']","['64', '&nbsp;']","['*', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['12', '&nbsp;']","['4', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']","['8', '&nbsp;']","['16', '&nbsp;']"
8825,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9', '&nbsp;']","['5', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']","['1', '&nbsp;']","['*', 'i']","['1', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['2', '&nbsp;']"
8825,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']"
8825,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1', '&nbsp;']","['*', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['0', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']"
8825,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1', '&nbsp;']","['1', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8825,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['89 - 103', '&nbsp;']","['22 - 97', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0 - 25', '&nbsp;']","['0', '&nbsp;']","['0 - 21', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0 - 37', '&nbsp;']"
8825,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['11,675', '&nbsp;']","['6,586', '&nbsp;']","['417', '&nbsp;']","['1,094', '&nbsp;']","['67', '&nbsp;']","['737', '&nbsp;']","['163', '&nbsp;']","['746', '&nbsp;']","['40', '&nbsp;']","['224', 'i']","['1,600', '&nbsp;']"
