table_id,row_id,grade_and_subject,1995,1999,2003,2007,2011,2015,2019
9411,r001,Grade 4 mathematics,518,NA,518,529,541,539,535
9411,r002,Grade 8 mathematics,492,502,504,508,509,518,515
9411,r003,Grade 4 science,542,NA,536,539,544,546,539
9411,r004,Grade 8 science,513,515,527,520,525,530,522
