table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_tenured_median_salary,field_tenured_se,field_not_tenured_on_tenure_track_median_salary,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_median_salary,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_median_salary,field_tenure_not_applicable_se
8155,r001,All fields,All fields,,,,,1,99000,1000,115000,1000,90000,500,78000,2000,80000,1500
8155,r002,All fields -> Hispanic or Latino<sup>a</sup>,All fields,Hispanic or Latino<sup>a</sup>,,,,2,91000,1500,109000,2500,91000,4500,73000,3500,70000,2000
8155,r003,All fields -> Not Hispanic or Latino<sup>b</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,,,,2,,,,,,,,,,
8155,r004,All fields -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,,3,92000,6000,120000,18000,88000,5500,65000,27000,72000,28000
8155,r005,All fields -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Not Hispanic or Latino<sup>b</sup>,Asian,,,3,100000,2000,120000,2500,98000,2500,69000,1500,68000,3000
8155,r006,All fields -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Not Hispanic or Latino<sup>b</sup>,Black or African American,,,3,91000,2000,105000,3000,85000,2000,82000,2500,82000,4000
8155,r007,All fields -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Not Hispanic or Latino<sup>b</sup>,White,,,3,100000,1000,115000,2000,86000,1500,80000,2000,84000,2000
8155,r008,All fields -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,,3,95000,4500,115000,8000,88000,3000,88000,7500,80000,8500
8155,r009,All fields -> Science,All fields,Science,,,,2,95000,1000,110000,1500,88000,1500,75000,500,77000,1500
8155,r010,All fields -> Science -> Hispanic or Latino<sup>a</sup>,All fields,Science,Hispanic or Latino<sup>a</sup>,,,3,89000,1000,108000,3500,89000,4000,70000,4000,69000,2000
8155,r011,All fields -> Science -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,
8155,r012,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,88000,4500,101000,20000,83000,6500,,,71000,27000
8155,r013,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Asian,,4,95000,2000,120000,4000,97000,2500,68000,2000,66000,3000
8155,r014,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,90000,1000,100000,4500,84000,4500,72000,8500,81000,5000
8155,r015,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Not Hispanic or Latino<sup>b</sup>,White,,4,97000,1000,110000,1500,84000,1500,78000,2500,80000,1500
8155,r016,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,93000,4500,109000,4000,86000,3500,88000,7000,75000,9500
