table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1695,r001,R&D and R&D plant,R&D and R&D plant,,,,1,12559,12832,11198,2.2,-12.7
1695,r002,R&D and R&D plant -> Department of Energy,R&D and R&D plant,Department of Energy,,,2,,,,,
1695,r003,R&D and R&D plant -> Department of Energy -> Office of Science,R&D and R&D plant,Department of Energy,Office of Science,,3,6201,6517,5475,5.1,-16.0
1695,r004,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup>",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",,,2,6358,6315,5723,-0.7,-9.4
1695,r005,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Arctic Research Commission",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Arctic Research Commission,,3,1,NA,2,--,--
1695,r006,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Biological Sciences",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Biological Sciences,,3,757,NA,683,--,--
1695,r007,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Computer and Information Science and Engineering",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Computer and Information Science and Engineering,,3,961,NA,883,--,--
1695,r008,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Education and Human Resources",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Education and Human Resources,,3,904,910,823,0.7,-9.5
1695,r009,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Engineering",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Engineering,,3,978,NA,881,--,--
1695,r010,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Geosciences",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Geosciences,,3,908,NA,787,--,--
1695,r011,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Integrative Activities",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Integrative Activities,,3,471,NA,491,--,--
1695,r012,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> International Science and Engineering",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",International Science and Engineering,,3,49,NA,46,--,--
1695,r013,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Major Research Equipment and Facilities and Construction",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Major Research Equipment and Facilities and Construction,,3,186,296,223,58.7,-24.5
1695,r014,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Mathematical and Physical Sciences",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Mathematical and Physical Sciences,,3,1503,NA,1256,--,--
1695,r015,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Social, Behavioral and Economic Sciences",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>","Social, Behavioral and Economic Sciences",,3,251,NA,230,--,--
1695,r016,"R&D and R&D plant -> National Science Foundation<sup>b,c</sup> -> Budget authority adjustment<sup>d</sup>",R&D and R&D plant,"National Science Foundation<sup>b,c</sup>",Budget authority adjustment<sup>d</sup>,,3,-611,NA,-583,--,--
1695,r017,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,10692,10791,9689,0.9,-10.2
1695,r018,R&D and R&D plant -> R&D -> Department of Energy,R&D and R&D plant,R&D,Department of Energy,,3,,,,,
1695,r019,R&D and R&D plant -> R&D -> Department of Energy -> Office of Science,R&D and R&D plant,R&D,Department of Energy,Office of Science,4,4843,4979,4472,2.8,-10.2
1695,r020,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup>",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",,3,5849,5812,5217,-0.6,-10.2
1695,r021,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Arctic Research Commission",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Arctic Research Commission,4,1,NA,2,--,--
1695,r022,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Biological Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Biological Sciences,4,757,NA,683,--,--
1695,r023,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Computer and Information Science and Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Computer and Information Science and Engineering,4,961,NA,883,--,--
1695,r024,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Education and Human Resources",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Education and Human Resources,4,904,910,823,0.7,-9.5
1695,r025,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Engineering,4,978,NA,881,--,--
1695,r026,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Geosciences",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Geosciences,4,908,NA,787,--,--
1695,r027,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Integrative Activities",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Integrative Activities,4,471,NA,491,--,--
1695,r028,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> International Science and Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",International Science and Engineering,4,49,NA,46,--,--
1695,r029,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Major Research Equipment and Facilities Construction",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Major Research Equipment and Facilities Construction,4,186,296,223,58.7,-24.5
1695,r030,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Mathematical and Physical Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Mathematical and Physical Sciences,4,1503,NA,1256,--,--
1695,r031,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Social, Behavioral and Economic Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>","Social, Behavioral and Economic Sciences",4,251,NA,230,--,--
1695,r032,"R&D and R&D plant -> R&D -> National Science Foundation<sup>e,c</sup> -> Budget authority adjustment<sup>f</sup>",R&D and R&D plant,R&D,"National Science Foundation<sup>e,c</sup>",Budget authority adjustment<sup>f</sup>,4,-1119,NA,-1089,--,--
