table_id,row_id,rank,baccalaureate_institution_,hispanic_doctorate_recipients,institutional_control,2018_carnegie_classification,hhe_status
7144,r001,na,All Hispanic doctorate recipients,26100,na,na,na
7144,r002,na,From U.S. baccalaureate-origin institutions,23114,na,na,na
7144,r003,na,From foreign baccalaureate-origin institutions,2446,na,na,na
7144,r004,na,From unreported baccalaureate-origin institutions,540,na,na,na
7144,r005,1,"U. Puerto Rico, Rio Piedras",864,Public,R2: doctoral universities,Yes
7144,r006,2,"U. Puerto Rico, Mayaguez",808,Public,M1: master's institutions - larger programs,Yes
7144,r007,3,"U. California, Los Angeles",459,Public,R1: doctoral universities,No
7144,r008,4,"U. Texas, El Paso",444,Public,R1: doctoral universities,Yes
7144,r009,5,"U. California, Berkeley",436,Public,R1: doctoral universities,No
7144,r010,6,U. Florida,435,Public,R1: doctoral universities,No
7144,r011,7,Florida International U.,412,Public,R1: doctoral universities,Yes
7144,r012,8,"U. Texas, Austin",391,Public,R1: doctoral universities,Yes
7144,r013,9,"U. New Mexico, Albuquerque",287,Public,R1: doctoral universities,Yes
7144,r014,10,"U. California, Irvine",280,Public,R1: doctoral universities,Yes
7144,r015,11,"Texas A&M U., College Station and Health Science Center",272,Public,R1: doctoral universities,Yes
7144,r016,12,"U. California, Davis",259,Public,R1: doctoral universities,No
7144,r017,12,"U. California, San Diego",259,Public,R1: doctoral universities,No
7144,r018,14,U. Arizona,258,Public,R1: doctoral universities,Yes
7144,r019,15,U. Miami,226,Private,R1: doctoral universities,No
7144,r020,16,Stanford U.,198,Private,R1: doctoral universities,No
7144,r021,17,"New Mexico State U., Las Cruces",190,Public,R2: doctoral universities,Yes
7144,r022,17,"U. California, Riverside",190,Public,R1: doctoral universities,Yes
7144,r023,19,"U. California, Santa Barbara",189,Public,R1: doctoral universities,Yes
7144,r024,20,Massachusetts Institute of Technology,188,Private,R1: doctoral universities,No
7144,r025,21,Florida State U.,187,Public,R1: doctoral universities,No
7144,r026,22,"U. California, Santa Cruz",184,Public,R1: doctoral universities,Yes
7144,r027,23,"U. Texas, San Antonio",182,Public,R2: doctoral universities,Yes
7144,r028,24,Arizona State U.,178,Public,R1: doctoral universities,Yes
7144,r029,25,Cornell U.,171,Private,R1: doctoral universities,No
7144,r030,26,Harvard U.,170,Private,R1: doctoral universities,No
7144,r031,27,U. Texas Rio Grande Valley,166,Public,R2: doctoral universities,Yes
7144,r032,28,U. Central Florida,159,Public,R1: doctoral universities,Yes
7144,r033,29,"San Diego State U., San Diego",150,Public,R2: doctoral universities,Yes
7144,r034,30,"U. Illinois, Urbana-Champaign",145,Public,R1: doctoral universities,No
7144,r035,31,New York U.,142,Private,R1: doctoral universities,No
7144,r036,32,"U. Michigan, Ann Arbor",131,Public,R1: doctoral universities,No
7144,r037,33,Columbia U. in the City of New York,129,Private,R1: doctoral universities,No
7144,r038,34,"California State U., Long Beach",127,Public,M1: master's institutions - larger programs,Yes
7144,r039,35,"California State U., Northridge",123,Public,M1: master's institutions - larger programs,Yes
7144,r040,36,"U. South Florida, Tampa",122,Public,R1: doctoral universities,No
7144,r041,37,"U. Puerto Rico, Cayey",120,Public,Baccalaureate colleges: arts and sciences focus,Yes
7144,r042,38,"California State U., Los Angeles",119,Public,M1: master's institutions - larger programs,Yes
7144,r043,38,"U. Puerto Rico, Humacao",119,Public,Baccalaureate colleges: diverse fields,Yes
7144,r044,40,"Rutgers, State U. New Jersey, New Brunswick",115,Public,R1: doctoral universities,No
7144,r045,40,U. Southern California,115,Private,R1: doctoral universities,No
7144,r046,42,Princeton U.,113,Private,R1: doctoral universities,No
7144,r047,43,Rice U.,111,Private,R1: doctoral universities,No
7144,r048,44,Brown U.,110,Private,R1: doctoral universities,No
7144,r049,45,Texas State U.,109,Public,R2: doctoral universities,Yes
7144,r050,46,Yale U.,107,Private,R1: doctoral universities,No
7144,r051,47,"California State U., Fullerton",105,Public,M1: master's institutions - larger programs,Yes
7144,r052,48,"U. Washington, Seattle",104,Public,R1: doctoral universities,No
7144,r053,49,U. Houston,102,Public,R1: doctoral universities,Yes
7144,r054,50,"U. Maryland, College Park",98,Public,R1: doctoral universities,No
