table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
725,r001,All business activities,All business activities,,1,21100–81000,"['355,821', '&nbsp;']","['296,677', '&nbsp;']","['59,144', '&nbsp;']"
725,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['D', '&nbsp;']","['1,056', '&nbsp;']","['D', '&nbsp;']"
725,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['68', '&nbsp;']","['66', 'i']","['2', '&nbsp;']"
725,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['2,078', '&nbsp;']","['1,596', 'i']","['481', '&nbsp;']"
725,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['484', '&nbsp;']","['449', '&nbsp;']","['35', '&nbsp;']"
725,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['520', '&nbsp;']","['516', '&nbsp;']","['3', '&nbsp;']"
725,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['4,729', 'i']","['4,558', 'i']","['171', '&nbsp;']"
725,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['660', '&nbsp;']","['550', 'i']","['110', '&nbsp;']"
725,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['153', '&nbsp;']","['151', '&nbsp;']","['2', '&nbsp;']"
725,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['793', '&nbsp;']","['760', '&nbsp;']","['32', '&nbsp;']"
725,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['227', '&nbsp;']","['219', '&nbsp;']","['8', 'i']"
725,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,056', '&nbsp;']","['1,053', '&nbsp;']","['3', 'i']"
725,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['287', '&nbsp;']","['280', '&nbsp;']","['7', 'i']"
725,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['443', '&nbsp;']","['429', '&nbsp;']","['14', '&nbsp;']"
