table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3132,r001,All institutions,All institutions,,,,,,1,,,,,,,,,,
3132,r002,All institutions -> All R&D,All institutions,All R&D,,,,,2,61286610,65274393,65729007,67013138,67199090,68549882,71736098,75133630,79014076,83496348
3132,r003,All institutions -> All R&D -> Direct costs,All institutions,All R&D,Direct costs,,,,3,46159649,49311567,49897854,51089463,51564673,52612168,55256526,57897397,60772296,64331413
3132,r004,"All institutions -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,,4,25929799,27860610,28339070,28802181,29118462,29894812,31441635,33238860,34683542,36575206
3132,r005,All institutions -> All R&D -> Direct costs -> Software,All institutions,All R&D,Direct costs,Software,,,4,105970,116422,103456,107685,96522,117011,113489,109598,121377,136307
3132,r006,All institutions -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,All R&D,Direct costs,Software,Noncapitalized software,,5,88456,98438,93250,95652,84279,93207,95136,98611,110753,120932
3132,r007,All institutions -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,All R&D,Direct costs,Software,Capitalized software,,5,17514,17984,10206,12033,12243,23804,18353,10987,10624,15375
3132,r008,All institutions -> All R&D -> Direct costs -> Capitalized equipment,All institutions,All R&D,Direct costs,Capitalized equipment,,,4,2148421,2256025,2040534,2254429,2036393,2119860,2169161,2191021,2144436,2433525
3132,r009,All institutions -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,All R&D,Direct costs,Passed through to subrecipients,,,4,4956929,5436850,5531421,5689087,5702916,5633830,5694423,5909986,6311278,6708143
3132,r010,All institutions -> All R&D -> Direct costs -> Other direct costs,All institutions,All R&D,Direct costs,Other direct costs,,,4,13018530,13641660,13883373,14236081,14610380,14846655,15837818,16447932,17511663,18478232
3132,r011,All institutions -> All R&D -> Indirect costs,All institutions,All R&D,Indirect costs,,,,3,15126961,15962826,15831153,15923675,15634417,15937714,16479572,17236233,18241780,19164935
3132,r012,All institutions -> All R&D -> Indirect costs -> Recovered,All institutions,All R&D,Indirect costs,Recovered,,,4,10465893,11352339,11221624,11220177,10873879,11101007,11449146,12049894,12743171,13639179
3132,r013,All institutions -> All R&D -> Indirect costs -> Unrecovered,All institutions,All R&D,Indirect costs,Unrecovered,,,4,4661068,4610487,4609529,4703498,4760538,4836707,5030426,5186339,5498609,5525756
3132,r014,All institutions -> Doctorate,All institutions,Doctorate,,,,,2,,,,,,,,,,
3132,r015,All institutions -> Doctorate -> All R&D,All institutions,Doctorate,All R&D,,,,3,60266691,64064133,64700201,66217717,66447854,67890206,70686403,74426798,78347201,82812253
3132,r016,All institutions -> Doctorate -> All R&D -> Direct costs,All institutions,Doctorate,All R&D,Direct costs,,,4,45266156,48282499,49022847,50398617,50915499,52041028,54338570,57275139,60192716,63739339
3132,r017,"All institutions -> Doctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Doctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,25494721,27357645,27906910,28462160,28785382,29604060,31091822,32920793,34374754,36270662
3132,r018,All institutions -> Doctorate -> All R&D -> Direct costs -> Software,All institutions,Doctorate,All R&D,Direct costs,Software,,5,98119,110285,95627,102523,91341,111645,108602,107174,119486,134693
3132,r019,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Noncapitalized software,6,80940,92808,86115,90658,79637,88079,90540,96568,109003,119471
3132,r020,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Capitalized software,6,17179,17477,9512,11865,11704,23566,18062,10606,10483,15222
3132,r021,All institutions -> Doctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Doctorate,All R&D,Direct costs,Capitalized equipment,,5,2086956,2192296,1995345,2219549,2011006,2095638,2038958,2163760,2120644,2412184
3132,r022,All institutions -> Doctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Doctorate,All R&D,Direct costs,Passed through to subrecipients,,5,4901412,5371178,5469627,5647933,5663439,5609210,5656845,5878660,6281316,6679732
3132,r023,All institutions -> Doctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Doctorate,All R&D,Direct costs,Other direct costs,,5,12684948,13251095,13555338,13966452,14364331,14620475,15442343,16204752,17296516,18242068
3132,r024,All institutions -> Doctorate -> All R&D -> Indirect costs,All institutions,Doctorate,All R&D,Indirect costs,,,4,15000535,15781634,15677354,15819100,15532355,15849178,16347833,17151659,18154485,19072914
3132,r025,All institutions -> Doctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Doctorate,All R&D,Indirect costs,Recovered,,5,10382463,11236113,11125166,11147825,10808902,11041072,11380475,11994069,12683635,13579261
3132,r026,All institutions -> Doctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Doctorate,All R&D,Indirect costs,Unrecovered,,5,4618072,4545521,4552188,4671275,4723453,4808106,4967358,5157590,5470850,5493653
3132,r027,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,,,2,,,,,,,,,,
3132,r028,All institutions -> Nondoctorate -> All R&D,All institutions,Nondoctorate,All R&D,,,,3,1019919,1210260,1028806,795421,751236,659676,1049695,706832,666875,684095
3132,r029,All institutions -> Nondoctorate -> All R&D -> Direct costs,All institutions,Nondoctorate,All R&D,Direct costs,,,4,893493,1029068,875007,690846,649174,571140,917956,622258,579580,592074
3132,r030,"All institutions -> Nondoctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Nondoctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,435078,502965,432160,340021,333080,290752,349813,318067,308788,304544
3132,r031,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software,All institutions,Nondoctorate,All R&D,Direct costs,Software,,5,7851,6137,7829,5162,5181,5366,4887,2424,1891,1614
3132,r032,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Noncapitalized software,6,7516,5630,7135,4994,4642,5128,4596,2043,1750,1461
3132,r033,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Capitalized software,6,335,507,694,168,539,238,291,381,141,153
3132,r034,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Nondoctorate,All R&D,Direct costs,Capitalized equipment,,5,61465,63729,45189,34880,25387,24222,130203,27261,23792,21341
3132,r035,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Nondoctorate,All R&D,Direct costs,Passed through to subrecipients,,5,55517,65672,61794,41154,39477,24620,37578,31326,29962,28411
3132,r036,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Nondoctorate,All R&D,Direct costs,Other direct costs,,5,333582,390565,328035,269629,246049,226180,395475,243180,215147,236164
3132,r037,All institutions -> Nondoctorate -> All R&D -> Indirect costs,All institutions,Nondoctorate,All R&D,Indirect costs,,,4,126426,181192,153799,104575,102062,88536,131739,84574,87295,92021
3132,r038,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Nondoctorate,All R&D,Indirect costs,Recovered,,5,83430,116226,96458,72352,64977,59935,68671,55825,59536,59918
3132,r039,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Nondoctorate,All R&D,Indirect costs,Unrecovered,,5,42996,64966,57341,32223,37085,28601,63068,28749,27759,32103
3132,r040,All institutions -> Public,All institutions,Public,,,,,2,,,,,,,,,,
3132,r041,All institutions -> Public -> All R&D,All institutions,Public,All R&D,,,,3,41266626,43915960,44162595,44849697,44678272,45412330,47075274,49244179,51878872,54645841
3132,r042,All institutions -> Public -> All R&D -> Direct costs,All institutions,Public,All R&D,Direct costs,,,4,31705979,33922562,34339324,35005995,35020267,35641244,36944375,38658378,40638845,42850674
3132,r043,"All institutions -> Public -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Public,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,18317189,19636095,19949722,20231506,20439977,20800559,21733838,22910231,23759391,25066278
3132,r044,All institutions -> Public -> All R&D -> Direct costs -> Software,All institutions,Public,All R&D,Direct costs,Software,,5,82340,96499,83509,85149,74464,92881,89385,81589,93851,103412
3132,r045,All institutions -> Public -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Public,All R&D,Direct costs,Software,Noncapitalized software,6,69454,80693,74897,76518,65044,74448,74083,73840,85080,92511
3132,r046,All institutions -> Public -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Public,All R&D,Direct costs,Software,Capitalized software,6,12886,15806,8612,8631,9420,18433,15302,7749,8771,10901
3132,r047,All institutions -> Public -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Public,All R&D,Direct costs,Capitalized equipment,,5,1457694,1555049,1476328,1655640,1468645,1508981,1578186,1551278,1518117,1745660
3132,r048,All institutions -> Public -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Public,All R&D,Direct costs,Passed through to subrecipients,,5,3065688,3418705,3502384,3608137,3558954,3541678,3517694,3656993,3912836,4141323
3132,r049,All institutions -> Public -> All R&D -> Direct costs -> Other direct costs,All institutions,Public,All R&D,Direct costs,Other direct costs,,5,8783068,9216214,9327381,9425563,9478227,9697145,10025272,10458287,11354650,11794001
3132,r050,All institutions -> Public -> All R&D -> Indirect costs,All institutions,Public,All R&D,Indirect costs,,,4,9560647,9993398,9823271,9843702,9658005,9771086,10130899,10585801,11240027,11795167
3132,r051,All institutions -> Public -> All R&D -> Indirect costs -> Recovered,All institutions,Public,All R&D,Indirect costs,Recovered,,5,6175654,6585483,6554816,6539581,6339721,6409899,6619094,6974844,7362021,7945424
3132,r052,All institutions -> Public -> All R&D -> Indirect costs -> Unrecovered,All institutions,Public,All R&D,Indirect costs,Unrecovered,,5,3384993,3407915,3268455,3304121,3318284,3361187,3511805,3610957,3878006,3849743
3132,r053,All institutions -> Private,All institutions,Private,,,,,2,,,,,,,,,,
3132,r054,All institutions -> Private -> All R&D,All institutions,Private,All R&D,,,,3,20019984,21358433,21566412,22163441,22520818,23137552,24660824,25889451,27135204,28850507
3132,r055,All institutions -> Private -> All R&D -> Direct costs,All institutions,Private,All R&D,Direct costs,,,4,14453670,15389005,15558530,16083468,16544406,16970924,18312151,19239019,20133451,21480739
3132,r056,"All institutions -> Private -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Private,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,7612610,8224515,8389348,8570675,8678485,9094253,9707797,10328629,10924151,11508928
3132,r057,All institutions -> Private -> All R&D -> Direct costs -> Software,All institutions,Private,All R&D,Direct costs,Software,,5,23630,19923,19947,22536,22058,24130,24104,28009,27526,32895
3132,r058,All institutions -> Private -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Private,All R&D,Direct costs,Software,Noncapitalized software,6,19002,17745,18353,19134,19235,18759,21053,24771,25673,28421
3132,r059,All institutions -> Private -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Private,All R&D,Direct costs,Software,Capitalized software,6,4628,2178,1594,3402,2823,5371,3051,3238,1853,4474
3132,r060,All institutions -> Private -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Private,All R&D,Direct costs,Capitalized equipment,,5,690727,700976,564206,598789,567748,610879,590975,639743,626319,687865
3132,r061,All institutions -> Private -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Private,All R&D,Direct costs,Passed through to subrecipients,,5,1891241,2018145,2029037,2080950,2143962,2092152,2176729,2252993,2398442,2566820
3132,r062,All institutions -> Private -> All R&D -> Direct costs -> Other direct costs,All institutions,Private,All R&D,Direct costs,Other direct costs,,5,4235462,4425446,4555992,4810518,5132153,5149510,5812546,5989645,6157013,6684231
3132,r063,All institutions -> Private -> All R&D -> Indirect costs,All institutions,Private,All R&D,Indirect costs,,,4,5566314,5969428,6007882,6079973,5976412,6166628,6348673,6650432,7001753,7369768
3132,r064,All institutions -> Private -> All R&D -> Indirect costs -> Recovered,All institutions,Private,All R&D,Indirect costs,Recovered,,5,4290239,4766856,4666808,4680596,4534158,4691108,4830052,5075050,5381150,5693755
3132,r065,All institutions -> Private -> All R&D -> Indirect costs -> Unrecovered,All institutions,Private,All R&D,Indirect costs,Unrecovered,,5,1276075,1202572,1341074,1399377,1442254,1475520,1518621,1575382,1620603,1676013
