table_id,row_id,location_and_type_of_activity_full_path,location_and_type_of_activity_level_1,location_and_type_of_activity_level_2,location_and_type_of_activity_level_3,location_and_type_of_activity_hierarchy_depth,field_all_recipients,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_not_hispanic_or_latino_other_race_or_race_not_reported,field_ethnicity_not_reported
3291,r001,All doctoral degree recipients with definite plans (number),All doctoral degree recipients with definite plans (number),,,1,16967,1288,49,1735,905,12188,585,144,73
3291,r002,All doctoral degree recipients with definite plans,All doctoral degree recipients with definite plans,,,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3291,r003,All doctoral degree recipients with definite plans -> United States,All doctoral degree recipients with definite plans,United States,,2,96.3,96.51,93.88,96.89,98.67,96.14,95.38,93.06,91.78
3291,r004,All doctoral degree recipients with definite plans -> United States -> Academic employment,All doctoral degree recipients with definite plans,United States,Academic employment,3,18.34,17.24,20.41,11.47,23.76,19.07,16.41,22.92,16.44
3291,r005,All doctoral degree recipients with definite plans -> United States -> Industry employment,All doctoral degree recipients with definite plans,United States,Industry employment,3,22.48,18.4,12.24,33.43,18.34,21.77,19.83,25.0,27.4
3291,r006,All doctoral degree recipients with definite plans -> United States -> Postdoctoral study,All doctoral degree recipients with definite plans,United States,Postdoctoral study,3,42.9,48.99,40.82,41.79,33.81,43.18,45.64,32.64,27.4
3291,r007,All doctoral degree recipients with definite plans -> United States -> Other<sup>b</sup>,All doctoral degree recipients with definite plans,United States,Other<sup>b</sup>,3,12.59,11.88,20.41,10.2,22.76,12.13,13.5,12.5,20.55
3291,r008,All doctoral degree recipients with definite plans -> Abroad,All doctoral degree recipients with definite plans,Abroad,,2,3.67,3.49,,,1.33,3.85,4.62,6.94,8.22
3291,r009,All doctoral degree recipients with definite plans -> Location unknown,All doctoral degree recipients with definite plans,Location unknown,,2,0.05,0.0,,,0.0,0.05,0.0,0.0,0.0
