table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_hierarchy_depth,field_1977,field_1982,field_1987,field_1992,field_1997,field_2002,field_2007,field_2012,field_2017,field_2022
9452,r001,All fields,All fields,,,1,31716,31108,32365,38886,42539,40031,48132,50943,54552,57596
9452,r002,All fields -> U.S. citizen or permanent resident,All fields,U.S. citizen or permanent resident,,2,27561,25689,24585,28005,31097,27737,29501,32981,35736,35311
9452,r003,All fields -> Temporary visa holder,All fields,Temporary visa holder,,2,3489,4254,5660,9980,9194,9747,15123,14784,16288,19633
9452,r004,All fields -> Unknown,All fields,Unknown,,2,666,1165,2120,901,2248,2547,3508,3178,2528,2652
9452,r005,All fields -> Life sciences<sup>a</sup>,All fields,Life sciences<sup>a</sup>,,2,4977,5762,5783,7172,8421,8478,10702,11964,12554,13211
9452,r006,All fields -> Life sciences<sup>a</sup> -> U.S. citizen or permanent resident,All fields,Life sciences<sup>a</sup>,U.S. citizen or permanent resident,3,4197,4852,4529,5106,5987,5850,7009,8184,8827,9230
9452,r007,All fields -> Life sciences<sup>a</sup> -> Temporary visa holder,All fields,Life sciences<sup>a</sup>,Temporary visa holder,3,679,763,939,1956,2058,2121,3039,3197,3331,3493
9452,r008,All fields -> Life sciences<sup>a</sup> -> Unknown,All fields,Life sciences<sup>a</sup>,Unknown,3,101,147,315,110,376,507,654,583,396,488
9452,r009,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3361,3298,3811,4517,4550,3875,4956,5419,6082,6649
9452,r010,All fields -> Physical sciences and earth sciences -> U.S. citizen or permanent resident,All fields,Physical sciences and earth sciences,U.S. citizen or permanent resident,3,2798,2627,2657,2857,3034,2358,2567,3148,3715,3868
9452,r011,All fields -> Physical sciences and earth sciences -> Temporary visa holder,All fields,Physical sciences and earth sciences,Temporary visa holder,3,510,587,929,1572,1297,1330,2059,1959,2160,2533
9452,r012,All fields -> Physical sciences and earth sciences -> Unknown,All fields,Physical sciences and earth sciences,Unknown,3,53,84,225,88,219,187,330,312,207,248
9452,r013,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,964,940,1189,1927,2032,1729,3042,3496,3842,4854
9452,r014,All fields -> Mathematics and computer sciences -> U.S. citizen or permanent resident,All fields,Mathematics and computer sciences,U.S. citizen or permanent resident,3,775,654,673,997,1150,868,1241,1627,1748,1911
9452,r015,All fields -> Mathematics and computer sciences -> Temporary visa holder,All fields,Mathematics and computer sciences,Temporary visa holder,3,170,252,445,876,771,789,1591,1617,1926,2741
9452,r016,All fields -> Mathematics and computer sciences -> Unknown,All fields,Mathematics and computer sciences,Unknown,3,19,34,71,54,111,72,210,252,168,202
9452,r017,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6353,6090,6063,6562,7369,6925,7309,8498,9034,9235
9452,r018,All fields -> Psychology and social sciences -> U.S. citizen or permanent resident,All fields,Psychology and social sciences,U.S. citizen or permanent resident,3,5615,5207,4846,5189,5796,5363,5272,6319,6843,6670
9452,r019,All fields -> Psychology and social sciences -> Temporary visa holder,All fields,Psychology and social sciences,Temporary visa holder,3,585,592,726,1158,1080,1110,1482,1601,1668,2071
9452,r020,All fields -> Psychology and social sciences -> Unknown,All fields,Psychology and social sciences,Unknown,3,153,291,491,215,493,452,555,578,523,494
9452,r021,All fields -> Engineering,All fields,Engineering,,2,2643,2646,3712,5438,6114,5081,7749,8469,9776,11530
9452,r022,All fields -> Engineering -> U.S. citizen or permanent resident,All fields,Engineering,U.S. citizen or permanent resident,3,1803,1469,1915,2521,3333,2169,2546,3579,4311,4729
9452,r023,All fields -> Engineering -> Temporary visa holder,All fields,Engineering,Temporary visa holder,3,780,1044,1539,2749,2555,2650,4591,4355,5037,6253
9452,r024,All fields -> Engineering -> Unknown,All fields,Engineering,Unknown,3,60,133,258,168,226,262,612,535,428,548
9452,r025,All fields -> Education,All fields,Education,,2,7455,7251,6453,6677,6577,6508,6448,4802,4826,4509
9452,r026,All fields -> Education -> U.S. citizen or permanent resident,All fields,Education,U.S. citizen or permanent resident,3,6923,6440,5665,6018,5748,5417,5358,4040,4052,3679
9452,r027,All fields -> Education -> Temporary visa holder,All fields,Education,Temporary visa holder,3,388,576,430,559,411,479,601,460,534,581
9452,r028,All fields -> Education -> Unknown,All fields,Education,Unknown,3,144,235,358,100,418,612,489,302,240,249
9452,r029,All fields -> Humanities and arts,All fields,Humanities and arts,,2,4434,3520,3478,4387,5285,5297,5085,5561,5286,4464
9452,r030,All fields -> Humanities and arts -> U.S. citizen or permanent resident,All fields,Humanities and arts,U.S. citizen or permanent resident,3,4133,3165,2929,3745,4452,4320,3894,4434,4297,3462
9452,r031,All fields -> Humanities and arts -> Temporary visa holder,All fields,Humanities and arts,Temporary visa holder,3,192,199,282,542,561,705,797,761,692,765
9452,r032,All fields -> Humanities and arts -> Unknown,All fields,Humanities and arts,Unknown,3,109,156,267,100,272,272,394,366,297,237
9452,r033,All fields -> Other<sup>b</sup>,All fields,Other<sup>b</sup>,,2,1529,1601,1876,2206,2191,2138,2841,2734,3152,3144
9452,r034,All fields -> Other<sup>b</sup> -> U.S. citizen or permanent resident,All fields,Other<sup>b</sup>,U.S. citizen or permanent resident,3,1317,1275,1371,1572,1597,1392,1614,1650,1943,1762
9452,r035,All fields -> Other<sup>b</sup> -> Temporary visa holder,All fields,Other<sup>b</sup>,Temporary visa holder,3,185,241,370,568,461,563,963,834,940,1196
9452,r036,All fields -> Other<sup>b</sup> -> Unknown,All fields,Other<sup>b</sup>,Unknown,3,27,85,135,66,133,183,264,250,269,186
