table_id,row_id,organization_and_program_by_fy_2023_rank_order_full_path,organization_and_program_by_fy_2023_rank_order_level_1,organization_and_program_by_fy_2023_rank_order_level_2,organization_and_program_by_fy_2023_rank_order_level_3,organization_and_program_by_fy_2023_rank_order_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12581,r001,R&D and R&D plant,R&D and R&D plant,,,1,47753,47188,49588,-1.2,5.1
12581,r002,R&D and R&D plant -> National Cancer Institute,R&D and R&D plant,National Cancer Institute,,2,7317,7104,9287,-2.9,30.7
12581,r003,R&D and R&D plant -> National Institute of Allergy and Infectious Diseases,R&D and R&D plant,National Institute of Allergy and Infectious Diseases,,2,6561,6562,6581,0.0,0.3
12581,r004,R&D and R&D plant -> National Institute on Aging,R&D and R&D plant,National Institute on Aging,,2,4412,4407,4425,-0.1,0.4
12581,r005,"R&D and R&D plant -> National Heart, Lung, and Blood Institute",R&D and R&D plant,"National Heart, Lung, and Blood Institute",,2,3985,3982,3997,-0.1,0.4
12581,r006,R&D and R&D plant -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,National Institute of Neurological Disorders and Stroke,,2,2809,2674,2833,-4.8,5.9
12581,r007,R&D and R&D plant -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,National Institute of Diabetes and Digestive and Kidney Diseases,,2,2444,2551,2570,4.4,0.7
12581,r008,R&D and R&D plant -> National Institute of Mental Health,R&D and R&D plant,National Institute of Mental Health,,2,2341,2198,2548,-6.1,15.9
12581,r009,R&D and R&D plant -> Office of the Director,R&D and R&D plant,Office of the Director,,2,3062,2886,3044,-5.8,5.5
12581,r010,R&D and R&D plant -> National Institute of General Medical Sciences,R&D and R&D plant,National Institute of General Medical Sciences,,2,1827,1827,1230,0.0,-32.7
12581,r011,R&D and R&D plant -> National Institute of Child Health and Human Development,R&D and R&D plant,National Institute of Child Health and Human Development,,2,1747,1749,1766,0.1,1.0
12581,r012,R&D and R&D plant -> National Institute on Drug Abuse,R&D and R&D plant,National Institute on Drug Abuse,,2,1663,1662,1668,-0.1,0.4
12581,r013,R&D and R&D plant -> National Center for Advancing Translational Sciences,R&D and R&D plant,National Center for Advancing Translational Sciences,,2,923,923,926,0.0,0.3
