table_id,row_id,field_full_path,field_level_1,field_level_2,field_hierarchy_depth,field_started_in_fy_2022_or_fy_2023,field_planned_to_start_in_fy_2024_or_fy_2025,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
12825,r001,All research space,All research space,,1,6555.6,7565.1,9389.5,5228.4
12825,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,252.9,545.3,532.6,201.1
12825,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,1937.8,2308.1,2279.4,1177.9
12825,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,146.9,493.4,89.4,65.7
12825,r005,All research space -> Engineering,All research space,Engineering,2,1040.2,932.9,2011.8,1112.7
12825,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,175.3,150.2,366.5,303.4
12825,r007,All research space -> Health sciences,All research space,Health sciences,2,1326.3,1535.1,1716.4,937.1
12825,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,56.3,55.7,46.5,18.7
12825,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,79.9,93.4,179.5,198.2
12825,r010,All research space -> Physical sciences,All research space,Physical sciences,2,1026.3,966.0,1328.7,673.3
12825,r011,All research space -> Psychology,All research space,Psychology,2,191.0,95.6,318.2,138.7
12825,r012,All research space -> Social sciences,All research space,Social sciences,2,224.1,208.1,422.5,211.9
12825,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,98.5,181.2,98.1,189.7
12825,r014,All research space -> Medical school space<sup>a</sup>,All research space,Medical school space<sup>a</sup>,2,1669.0,2026.6,2066.7,1157.0
