table_id,row_id,_b_field_and_time_to_degree_b_full_path,_b_field_and_time_to_degree_b_level_1,_b_field_and_time_to_degree_b_level_2,_b_field_and_time_to_degree_b_level_3,_b_field_and_time_to_degree_b_level_4,_b_field_and_time_to_degree_b_hierarchy_depth,field_1972,field_1977,field_1982,field_1987,field_1992,field_1997,field_2002,field_2007,field_2012,field_2017,field_2022
9458,r001,All fields,All fields,,,,1,,,,,,,,,,,
9458,r002,All fields -> Since earning bachelor's,All fields,Since earning bachelor's,,,2,8.2,8.9,9.7,10.5,10.6,10.6,10.3,9.5,9.0,8.8,8.6
9458,r003,All fields -> Since starting graduate school,All fields,Since starting graduate school,,,2,6.9,7.7,8.0,8.7,8.7,8.7,8.6,7.9,7.7,7.5,7.2
9458,r004,All fields -> Since starting doctoral program<sup>a</sup>,All fields,Since starting doctoral program<sup>a</sup>,,,2,na,na,na,na,na,na,na,na,na,5.8,5.7
9458,r005,All fields -> Life sciences,All fields,Life sciences,,,2,,,,,,,,,,,
9458,r006,All fields -> Life sciences -> Since earning bachelor's,All fields,Life sciences,Since earning bachelor's,,3,7.0,7.3,7.7,8.9,9.5,9.4,9.0,8.6,8.5,8.3,8.3
9458,r007,All fields -> Life sciences -> Since starting graduate school,All fields,Life sciences,Since starting graduate school,,3,6.0,6.2,6.7,7.2,7.9,7.7,7.4,7.0,6.9,6.8,6.8
9458,r008,All fields -> Life sciences -> Since starting doctoral program<sup>a</sup>,All fields,Life sciences,Since starting doctoral program<sup>a</sup>,,3,na,na,na,na,na,na,na,na,na,5.7,5.4
9458,r009,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,,3,,,,,,,,,,,
9458,r010,All fields -> Life sciences -> Agricultural sciences and natural resources -> Since earning bachelor's,All fields,Life sciences,Agricultural sciences and natural resources,Since earning bachelor's,4,8.0,8.3,8.3,9.6,10.4,10.7,10.8,9.4,9.3,8.7,8.5
9458,r011,All fields -> Life sciences -> Agricultural sciences and natural resources -> Since starting graduate school,All fields,Life sciences,Agricultural sciences and natural resources,Since starting graduate school,4,6.4,6.5,6.7,7.5,8.2,8.2,8.7,7.7,7.9,7.4,7.2
9458,r012,All fields -> Life sciences -> Agricultural sciences and natural resources -> Since starting doctoral program<sup>a</sup>,All fields,Life sciences,Agricultural sciences and natural resources,Since starting doctoral program<sup>a</sup>,4,na,na,na,na,na,na,na,na,na,5.3,5.0
9458,r013,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,3,,,,,,,,,,,
9458,r014,All fields -> Life sciences -> Biological and biomedical sciences -> Since earning bachelor's,All fields,Life sciences,Biological and biomedical sciences,Since earning bachelor's,4,6.9,7.0,7.3,8.2,8.7,8.5,8.0,8.0,8.0,7.8,7.9
9458,r015,All fields -> Life sciences -> Biological and biomedical sciences -> Since starting graduate school,All fields,Life sciences,Biological and biomedical sciences,Since starting graduate school,4,5.9,6.2,6.2,6.9,7.2,7.0,6.7,6.7,6.6,6.5,6.4
9458,r016,All fields -> Life sciences -> Biological and biomedical sciences -> Since starting doctoral program<sup>a</sup>,All fields,Life sciences,Biological and biomedical sciences,Since starting doctoral program<sup>a</sup>,4,na,na,na,na,na,na,na,na,na,5.7,5.8
9458,r017,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,,3,,,,,,,,,,,
9458,r018,All fields -> Life sciences -> Health sciences -> Since earning bachelor's,All fields,Life sciences,Health sciences,Since earning bachelor's,4,8.5,8.9,10.3,12.3,14.1,14.7,14.2,12.0,11.5,11.0,11.0
9458,r019,All fields -> Life sciences -> Health sciences -> Since starting graduate school,All fields,Life sciences,Health sciences,Since starting graduate school,4,6.7,7.4,8.7,9.9,11.7,11.7,11.1,9.6,8.9,8.9,8.5
9458,r020,All fields -> Life sciences -> Health sciences -> Since starting doctoral program<sup>a</sup>,All fields,Life sciences,Health sciences,Since starting doctoral program<sup>a</sup>,4,na,na,na,na,na,na,na,na,na,5.6,5.0
9458,r021,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,2,,,,,,,,,,,
9458,r022,All fields -> Physical sciences and earth sciences -> Since earning bachelor's,All fields,Physical sciences and earth sciences,Since earning bachelor's,,3,6.5,7.0,6.9,7.2,7.8,7.8,7.5,7.5,7.3,6.9,6.9
9458,r023,All fields -> Physical sciences and earth sciences -> Since starting graduate school,All fields,Physical sciences and earth sciences,Since starting graduate school,,3,5.7,6.2,6.1,6.2,6.7,6.7,6.7,6.5,6.4,6.2,6.0
9458,r024,All fields -> Physical sciences and earth sciences -> Since starting doctoral program<sup>a</sup>,All fields,Physical sciences and earth sciences,Since starting doctoral program<sup>a</sup>,,3,na,na,na,na,na,na,na,na,na,5.7,5.6
