table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_businesses,field_extramural_higher_educationb,field_extramural_nonprofit_organizations,field_extramural_state_and_local_governments
10859,r001,Alabama,Alabama,,,1,,,,,,,
10859,r002,"Alabama -> Department of Defense, RDT&E",Alabama,"Department of Defense, RDT&E",,2,3336437,2080743,608,1195966,55622,3261,237
10859,r003,"Alabama -> Department of Defense,  research",Alabama,"Department of Defense,  research",,2,3041448,1937219,608,1059348,42370,1666,237
10859,r004,"Alabama -> Department of Defense, operational system development<sup>c</sup>",Alabama,"Department of Defense, operational system development<sup>c</sup>",,2,294989,143524,0,136618,13252,1595,0
10859,r005,Alaska,Alaska,,,1,,,,,,,
10859,r006,"Alaska -> Department of Defense, RDT&E",Alaska,"Department of Defense, RDT&E",,2,82656,2942,0,66289,12371,1055,0
10859,r007,"Alaska -> Department of Defense,  research",Alaska,"Department of Defense,  research",,2,73064,2942,0,56697,12371,1055,0
10859,r008,"Alaska -> Department of Defense, operational system development<sup>c</sup>",Alaska,"Department of Defense, operational system development<sup>c</sup>",,2,9592,0,0,9592,0,0,0
10859,r009,Arizona,Arizona,,,1,,,,,,,
10859,r010,"Arizona -> Department of Defense, RDT&E",Arizona,"Department of Defense, RDT&E",,2,1904714,138923,0,1681760,77924,0,6107
10859,r011,"Arizona -> Department of Defense,  research",Arizona,"Department of Defense,  research",,2,1536478,60472,0,1391975,77924,0,6107
10859,r012,"Arizona -> Department of Defense, operational system development<sup>c</sup>",Arizona,"Department of Defense, operational system development<sup>c</sup>",,2,368236,78451,0,289785,0,0,0
10859,r013,Arkansas,Arkansas,,,1,,,,,,,
10859,r014,"Arkansas -> Department of Defense, RDT&E",Arkansas,"Department of Defense, RDT&E",,2,59809,544,0,44972,12539,893,860
10859,r015,"Arkansas -> Department of Defense,  research",Arkansas,"Department of Defense,  research",,2,58239,108,0,43839,12539,893,860
10859,r016,"Arkansas -> Department of Defense, operational system development<sup>c</sup>",Arkansas,"Department of Defense, operational system development<sup>c</sup>",,2,1570,436,0,1134,0,0,0
10859,r017,California,California,,,1,,,,,,,
10859,r018,"California -> Department of Defense, RDT&E",California,"Department of Defense, RDT&E",,2,10860374,2584621,1176181,6361097,601425,135022,2029
10859,r019,"California -> Department of Defense,  research",California,"Department of Defense,  research",,2,9144281,2030596,724538,5656376,600050,130693,2029
10859,r020,"California -> Department of Defense, operational system development<sup>c</sup>",California,"Department of Defense, operational system development<sup>c</sup>",,2,1716093,554026,451643,704720,1375,4329,0
10859,r021,Colorado,Colorado,,,1,,,,,,,
10859,r022,"Colorado -> Department of Defense, RDT&E",Colorado,"Department of Defense, RDT&E",,2,2680410,151296,15650,2441534,63518,8401,11
10859,r023,"Colorado -> Department of Defense,  research",Colorado,"Department of Defense,  research",,2,2327477,134167,15650,2105731,63518,8401,11
10859,r024,"Colorado -> Department of Defense, operational system development<sup>c</sup>",Colorado,"Department of Defense, operational system development<sup>c</sup>",,2,352933,17129,0,335804,0,0,0
10859,r025,Connecticut,Connecticut,,,1,,,,,,,
10859,r026,"Connecticut -> Department of Defense, RDT&E",Connecticut,"Department of Defense, RDT&E",,2,1792504,12620,0,1735288,43851,745,0
10859,r027,"Connecticut -> Department of Defense,  research",Connecticut,"Department of Defense,  research",,2,1581930,12620,0,1524714,43851,745,0
10859,r028,"Connecticut -> Department of Defense, operational system development<sup>c</sup>",Connecticut,"Department of Defense, operational system development<sup>c</sup>",,2,210574,0,0,210574,0,0,0
