table_id,row_id,institution_type_and_field_full_path,institution_type_and_field_level_1,institution_type_and_field_level_2,institution_type_and_field_level_3,institution_type_and_field_level_4,institution_type_and_field_level_5,institution_type_and_field_level_6,institution_type_and_field_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1153,r001,Number,Number,,,,,,1,,,,,,,,,,,
1153,r002,All institutions,All institutions,,,,,,1,,,,,,,,,,,
1153,r003,All institutions -> All fields                       ,All institutions,All fields                       ,,,,,2,10281,10751,10768,11407,11485,11126,10740,10768,10211,9697,9316
1153,r004,All institutions -> All fields                        -> S&E,All institutions,All fields                       ,S&E,,,,3,3341,3319,3392,3564,3624,3445,3411,3446,3192,2972,2930
1153,r005,All institutions -> All fields                        -> S&E -> Science,All institutions,All fields                       ,S&E,Science,,,4,2988,3014,3048,3217,3258,3123,3102,3090,2872,2656,2616
1153,r006,All institutions -> All fields                        -> S&E -> Science -> Agricultural sciences,All institutions,All fields                       ,S&E,Science,Agricultural sciences,,5,186,165,172,207,175,182,213,225,193,206,182
1153,r007,All institutions -> All fields                        -> S&E -> Science -> Biological sciences,All institutions,All fields                       ,S&E,Science,Biological sciences,,5,479,531,508,577,550,546,576,528,493,435,473
1153,r008,All institutions -> All fields                        -> S&E -> Science -> Computer sciences,All institutions,All fields                       ,S&E,Science,Computer sciences,,5,274,249,221,213,248,226,231,267,278,281,229
1153,r009,"All institutions -> All fields                        -> S&E -> Science -> Earth, atmospheric, and ocean sciences",All institutions,All fields                       ,S&E,Science,"Earth, atmospheric, and ocean sciences",,5,36,26,28,29,44,31,47,33,43,44,36
1153,r010,All institutions -> All fields                        -> S&E -> Science -> Mathematical sciences,All institutions,All fields                       ,S&E,Science,Mathematical sciences,,5,64,63,73,71,76,84,58,77,61,68,51
1153,r011,All institutions -> All fields                        -> S&E -> Science -> Physical sciences,All institutions,All fields                       ,S&E,Science,Physical sciences,,5,102,117,107,134,108,102,87,103,109,77,91
1153,r012,All institutions -> All fields                        -> S&E -> Science -> Psychology,All institutions,All fields                       ,S&E,Science,Psychology,,5,597,612,637,632,748,651,711,672,660,601,629
1153,r013,All institutions -> All fields                        -> S&E -> Science -> Social sciences,All institutions,All fields                       ,S&E,Science,Social sciences,,5,1250,1251,1302,1354,1309,1301,1179,1185,1035,944,925
1153,r014,All institutions -> All fields                        -> S&E -> Engineering ,All institutions,All fields                       ,S&E,Engineering ,,,4,353,305,344,347,366,322,309,356,320,316,314
1153,r015,All institutions -> All fields                        -> Non-S&E,All institutions,All fields                       ,Non-S&E,,,,3,6940,7432,7376,7843,7861,7681,7329,7322,7019,6725,6386
1153,r016,All institutions -> Tribal colleges and universities,All institutions,Tribal colleges and universities,,,,,2,,,,,,,,,,,
1153,r017,All institutions -> Tribal colleges and universities -> All fields                       ,All institutions,Tribal colleges and universities,All fields                       ,,,,3,186,144,173,160,177,200,253,284,295,321,301
1153,r018,All institutions -> Tribal colleges and universities -> All fields                        -> S&E,All institutions,Tribal colleges and universities,All fields                       ,S&E,,,4,58,56,61,52,42,62,75,96,91,119,92
1153,r019,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science ,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,,5,58,56,61,52,42,62,75,96,91,119,89
