table_id,row_id,occupation_and_sex_full_path,occupation_and_sex_level_1,occupation_and_sex_level_2,occupation_and_sex_level_3,occupation_and_sex_level_4,occupation_and_sex_level_5,occupation_and_sex_level_6,occupation_and_sex_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3381,r001,All scientists and engineers,All scientists and engineers,,,,,,1,,,,,,,,,,,,
3381,r002,All scientists and engineers -> All occupations,All scientists and engineers,All occupations,,,,,2,226520,238685,253657,259821,260429,259383,257129,259690,267499,268115,268115,273010
3381,r003,All scientists and engineers -> All occupations -> Scientists,All scientists and engineers,All occupations,Scientists,,,,3,137760,144674,154415,159126,160600,160871,159701,160695,166640,167016,167016,169279
3381,r004,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,,,4,47349,50540,54911,57701,59289,59899,59954,61973,64272,65229,65229,68644
3381,r005,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Computer specialists ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Computer specialists ,,5,5207,5642,6060,6329,6463,6573,6601,7053,7416,7748,7748,8709
3381,r006,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Cryptography analysts ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Cryptography analysts ,,5,11,11,10,10,12,15,13,12,13,13,13,14
3381,r007,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Equipment specialists ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Equipment specialists ,,5,990,1087,1167,1176,1245,1268,1288,1331,1391,1445,1445,1538
3381,r008,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Information technology management positions,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Information technology management positions,,5,32569,34647,37840,40150,41645,42154,42146,43462,45059,45688,45688,47799
3381,r009,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Mathematical statisticians ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Mathematical statisticians ,,5,1295,1367,1440,1448,1428,1426,1401,1417,1456,1436,1436,1438
3381,r010,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Mathematicians ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Mathematicians ,,5,971,997,1014,1005,983,965,975,997,1014,1011,1011,1111
3381,r011,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Operations research analysts ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Operations research analysts ,,5,3564,3906,4272,4469,4502,4571,4646,4797,4927,4897,4897,5200
3381,r012,All scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists  -> Statisticians ,All scientists and engineers,All occupations,Scientists,Computer and mathematical scientists ,Statisticians ,,5,2742,2883,3108,3114,3011,2927,2884,2904,2996,2991,2991,2835
3381,r013,All scientists and engineers -> All occupations -> Scientists -> Life scientists ,All scientists and engineers,All occupations,Scientists,Life scientists ,,,4,38682,39953,41840,42039,41218,40217,39388,39383,39676,39364,39364,37995
3381,r014,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Agronomists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Agronomists ,,5,256,258,252,243,229,223,206,201,199,192,192,174
3381,r015,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Animal scientists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Animal scientists ,,5,83,86,98,91,93,90,89,86,90,88,88,81
3381,r016,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Botanists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Botanists ,,5,382,397,404,406,391,390,384,369,354,341,341,301
3381,r017,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Ecologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Ecologists ,,5,1203,1250,1364,1394,1363,1331,1311,1314,1349,1331,1331,1224
3381,r018,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Entomologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Entomologists ,,5,562,555,601,596,568,554,535,535,516,517,517,472
3381,r019,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Environmental protection specialists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Environmental protection specialists ,,5,3753,3869,3991,4038,4046,3921,3840,3770,3755,3637,3637,3387
3381,r020,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Fishery biologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Fishery biologists ,,5,2296,2290,2399,2440,2404,2286,2245,2230,2216,2159,2159,2033
3381,r021,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Geneticists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Geneticists ,,5,406,420,457,460,442,441,426,433,442,438,438,437
3381,r022,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Horticulturalists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Horticulturalists ,,5,107,105,108,113,110,108,107,102,106,108,108,103
3381,r023,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Microbiologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Microbiologists ,,5,2291,2447,2545,2543,2515,2435,2378,2322,2312,2266,2266,2157
3381,r024,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Pharmacologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Pharmacologists ,,5,527,566,603,609,603,605,637,675,713,740,740,755
3381,r025,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Physiologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Physiologists ,,5,395,406,407,406,411,388,362,349,338,320,320,305
3381,r026,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Plant pathologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Plant pathologists ,,5,298,299,312,311,299,286,270,261,251,244,244,226
3381,r027,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Plant physiologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Plant physiologists ,,5,187,185,189,187,173,162,156,155,144,132,132,113
3381,r028,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Range conservationists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Range conservationists ,,5,880,894,893,865,842,831,763,732,746,711,711,653
3381,r029,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Soil conservationists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Soil conservationists ,,5,3577,3590,3683,3613,3628,3464,3394,3331,3216,3089,3089,2809
3381,r030,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Soil scientists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Soil scientists ,,5,1136,1097,1094,1055,960,897,847,832,813,759,759,666
3381,r031,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Toxicologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Toxicologists ,,5,472,467,490,487,473,473,458,457,482,490,490,475
3381,r032,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Wildlife biologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Wildlife biologists ,,5,2183,2180,2289,2282,2233,2166,2141,2136,2130,2127,2127,2018
3381,r033,All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Zoologists ,All scientists and engineers,All occupations,Scientists,Life scientists ,Zoologists ,,5,88,80,91,95,89,83,79,69,63,56,56,48
3381,r034,"All scientists and engineers -> All occupations -> Scientists -> Life scientists  -> Life scientists, general ",All scientists and engineers,All occupations,Scientists,Life scientists ,"Life scientists, general ",,5,17600,18512,19570,19805,19346,19083,18760,19024,19441,19619,19619,19558
3381,r035,All scientists and engineers -> All occupations -> Scientists -> Physical scientists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,,,4,23838,24503,25268,25169,24808,24247,23615,23608,23879,23774,23774,23512
3381,r036,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Astronomers and space scientists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Astronomers and space scientists ,,5,411,422,453,459,458,451,448,431,426,446,446,455
3381,r037,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Chemists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Chemists ,,5,5403,5513,5680,5635,5533,5468,5413,5486,5564,5545,5545,5495
3381,r038,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Geodesists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Geodesists ,,5,59,66,66,62,60,54,50,56,59,60,60,64
3381,r039,All scientists and engineers -> All occupations -> Scientists -> Physical scientists  -> Geologists ,All scientists and engineers,All occupations,Scientists,Physical scientists ,Geologists ,,5,1571,1621,1637,1622,1582,1512,1482,1453,1436,1415,1415,1368
