table_id,row_id,program_reference_code,number
6989,r001,Other Research or Education,72295
6989,r002,"Science, Math, Engineering & Tech Education",46601
6989,r003,Undergraduate Education,43055
6989,r004,Exp Prog to Stim Comp Res,28020
6989,r005,Reu Supp-Res Exp For Undergrad Supp,21140
6989,r006,Environment and Global Change,20997
6989,r007,High Performance Computing & Comm,20941
6989,r008,Graduate Involvement,20147
6989,r009,Biotechnology,17495
6989,r010,Advanced Materials & Processing Program,13441
