table_id,row_id,volume_number,prior_year_actual,current_year_estimate,budget_year_projection
10796,r001,Volume 1,1951,1952,na
10796,r002,Volume 2,1952,1953,1954
10796,r003,Volume 3,1953,1954,1955
10796,r004,Volume 4,1954,1955,1956
10796,r005,Volume 5,1955,1956,1957
10796,r006,Volume 6,1956,1957,1958
10796,r007,Volume 7,1957,1958,1959
10796,r008,Volume 8,1958,1959,1960
10796,r009,Volume 9,1959,1960,1961
10796,r010,Volume 10,1960,1961,1962
10796,r011,Volume 11,1961,1962,1963
10796,r012,Volume 12,1962,1963,1964
10796,r013,Volume 13,1963,1964,1965
10796,r014,Volume 14,1964,1965,1966
10796,r015,Volume 15,1965,1966,1967
10796,r016,Volume 16,1966,1967,1968
10796,r017,Volume 17,1967,1968,1969
10796,r018,Volume 18,1968,1969,1970
10796,r019,Volume 19,1969,1970,1971
10796,r020,Volume 20,1970,1971,1972
10796,r021,Volume 21,1971,1972,1973
10796,r022,Volume 22,1972,1973,1974
10796,r023,Volume 23,1973,1974,1975
10796,r024,Volume 24,1974,1975,1976
10796,r025,Volume 25,1975,1976,1977
10796,r026,Volume 26,1976,1977,1978
10796,r027,Volume 27,1977,1978,1979
10796,r028,Volume 28,1978,1979,1980
10796,r029,Volume 29,1979,1980,1981
10796,r030,Volume 30,1980,1981,1982
10796,r031,Volume 31,1981,1982,1983
10796,r032,Volume 32,1982,1983,1984
10796,r033,Volume 33,1983,1984,1985
10796,r034,Volume 34,1984,1985,1986
10796,r035,Volume 35,1985,1986,1987
10796,r036,Volume 36,1986,1987,1988
10796,r037,Volume 37,1987,1988,1989
10796,r038,Volume 38,1988,1989,1990
10796,r039,Volume 39,1989,1990,1991
10796,r040,Volume 40,1990,1991,1992
10796,r041,Volume 41,1991,1992,1993
10796,r042,Volume 42,1992,1993,1994
10796,r043,Volume 43,1993,1994,1995
10796,r044,Volume 44,1994,1995,1996
10796,r045,Volume 45,1995,1996,1997
10796,r046,Volume 46,1996,1997,1998
10796,r047,Volume 47,1997,1998,1999
10796,r048,Volume 48,1998,1999,2000
10796,r049,Volume 49,1999,2000,2001
10796,r050,Volume 50,2000,2001,2002
10796,r051,Volume 51,2001,2002,2003
10796,r052,Volume 52,2002,2003,2004
10796,r053,Volume 53,2003,2004,2005
10796,r054,Volume 54,2004,2005,2006
10796,r055,Volume 55,2005,2006,2007
10796,r056,Volume 56,2006,2007,2008
10796,r057,Volume 57,2007,2008,2009
10796,r058,Volume 58,2008,2009,2010
10796,r059,Volume 59,2009,2010,2011
10796,r060,Volume 60,2010,2011,2012
10796,r061,Volume 61,2011,2012,2013
10796,r062,Volume 62,2012,2013,2014
10796,r063,Volume 63,2013,2014,2015
10796,r064,Volume 64,2014,2015,2016
10796,r065,Volume 65,2015,2016,2017
10796,r066,Volume 66,2016,2017,na
10796,r067,Volume 67,2017,2018,na
10796,r068,Volume 68,2018,2019,na
10796,r069,Volume 69,2019,2020,na
10796,r070,Volume 70,2020,2021,na
10796,r071,Volume 71,2021,2022,na
10796,r072,Volume 72,2022,2023,na
