table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_hierarchy_depth,value
10636,r001,"Fall 2022, all surveyed fields",Total in survey,Postdoctoral appointees,2,62750
10636,r002,"Fall 2022, all surveyed fields",Total in survey,Doctorate-holding nonfaculty researchers,2,32279
10636,r003,"Fall 2022, all surveyed fields",Number imputed,Postdoctoral appointees,2,468
10636,r004,"Fall 2022, all surveyed fields",Number imputed,Doctorate-holding nonfaculty researchers,2,763
10636,r005,"Fall 2022, all surveyed fields",Imputation rate (%),Postdoctoral appointees,2,0.7
10636,r006,"Fall 2022, all surveyed fields",Imputation rate (%),Doctorate-holding nonfaculty researchers,2,2.4
10636,r007,"Fall 2022, all surveyed fields -> Science",Total in survey,Postdoctoral appointees,2,36673
10636,r008,"Fall 2022, all surveyed fields -> Science",Total in survey,Doctorate-holding nonfaculty researchers,2,19423
10636,r009,"Fall 2022, all surveyed fields -> Science",Number imputed,Postdoctoral appointees,2,222
10636,r010,"Fall 2022, all surveyed fields -> Science",Number imputed,Doctorate-holding nonfaculty researchers,2,350
10636,r011,"Fall 2022, all surveyed fields -> Science",Imputation rate (%),Postdoctoral appointees,2,0.6
10636,r012,"Fall 2022, all surveyed fields -> Science",Imputation rate (%),Doctorate-holding nonfaculty researchers,2,1.8
10636,r013,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Postdoctoral appointees,2,1705
10636,r014,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Doctorate-holding nonfaculty researchers,2,1068
10636,r015,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Postdoctoral appointees,2,8
10636,r016,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Doctorate-holding nonfaculty researchers,2,6
10636,r017,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Postdoctoral appointees,2,0.5
10636,r018,"Fall 2022, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Doctorate-holding nonfaculty researchers,2,0.6
10636,r019,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Total in survey,Postdoctoral appointees,2,19585
10636,r020,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Total in survey,Doctorate-holding nonfaculty researchers,2,8207
10636,r021,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Number imputed,Postdoctoral appointees,2,129
10636,r022,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Number imputed,Doctorate-holding nonfaculty researchers,2,207
10636,r023,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Imputation rate (%),Postdoctoral appointees,2,0.7
10636,r024,"Fall 2022, all surveyed fields -> Science -> Biological and biomedical sciences",Imputation rate (%),Doctorate-holding nonfaculty researchers,2,2.5
