table_id,row_id,broad_field,gss_code_collected_,detailed_field_collected_,gss_code_reported_,gss_field_name_in_data_and_tables_,exclusions
8278,r075,"Civil, environmental, transportation and related engineering fields",105,Civil engineering,105,Civil engineering,
8278,r076,,117,"Architectural, environmental, construction and surveying engineering",117,"Architectural, environmental, construction and surveying engineering",
8278,r077,"Electrical, electronics, communications and computer engineering",118,Computer engineering,118,Computer engineering,
8278,r078,,106,"Electrical, electronics, and communications engineering",106,"Electrical, electronics, and communications engineering",
8278,r079,"Industrial, manufacturing, systems engineering and operations research",108,Industrial and manufacturing engineering,108,Industrial and manufacturing engineering,
8278,r080,,119,Systems engineering and operations research,119,Systems engineering and operations research,
8278,r081,Mechanical engineering,109,Mechanical engineering,109,Mechanical engineering,
8278,r082,"Metallurgical, mining, materials and related engineering fields",110,Metallurgical and materials engineering,121,"Metallurgical, mining, materials and related engineering fields",
8278,r083,,111,Mining engineering,121,"Metallurgical, mining, materials and related engineering fields",
8278,r084,"Engineering, other",102,Agricultural engineering,102,Agricultural engineering,
8278,r085,,107,"Engineering mechanics, physics, and science",107,"Engineering mechanics, physics, and science",
8278,r086,,112,Nuclear engineering,112,Nuclear engineering,
8278,r087,,114,Engineering nec,122,"Engineering, other",
8278,r088,,116,Nanotechnology,122,"Engineering, other",
8278,r089,Clinical medicine,701,Anesthesiology,701,Anesthesiology,Postdocs and NFRs only
8278,r090,,702,Cardiology and cardiovascular disease,702,Cardiology and cardiovascular disease,Postdocs and NFRs only
8278,r091,,704,"Endocrinology, diabetes, and metabolism",704,"Endocrinology, diabetes, and metabolism",Postdocs and NFRs only
8278,r092,,705,Gastroenterology,705,Gastroenterology,Postdocs and NFRs only
8278,r093,,706,Hematology,706,Hematology,Postdocs and NFRs only
8278,r094,,725,Clinical and medical laboratory science,729,Medical clinical sciences and clinical and medical laboratory sciences ,
8278,r095,,730,Medical clinical sciences ,729,Medical clinical sciences and clinical and medical laboratory sciences ,
8278,r096,,707,Neurology and neurosurgery,707,Neurology and neurosurgery,Postdocs and NFRs only
8278,r097,,708,Obstetrics and gynecology,708,Obstetrics and gynecology,Postdocs and NFRs only
8278,r098,,703,Oncology and cancer research,703,Oncology and cancer research,Postdocs and NFRs only
8278,r099,,709,Ophthalmology,709,Ophthalmology,Postdocs and NFRs only
8278,r100,,710,Otorhinolaryngology,710,Otorhinolaryngology,Postdocs and NFRs only
