table_id,row_id,type_of_position_and_degree_field_full_path,type_of_position_and_degree_field_level_1,type_of_position_and_degree_field_level_2,type_of_position_and_degree_field_level_3,type_of_position_and_degree_field_level_4,type_of_position_and_degree_field_level_5,type_of_position_and_degree_field_hierarchy_depth,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
9328,r012,All positions -> All full-time faculty -> All fields -> Physical sciences,All positions,All full-time faculty,All fields,Physical sciences,,4,27.6,26.9,27.6,29.3,29.5,31.2,29.3,33.0,31.3
9328,r013,All positions -> All full-time faculty -> All fields -> Mathematics and statistics,All positions,All full-time faculty,All fields,Mathematics and statistics,,4,14.0,14.0,14.8,15.1,15.5,16.7,15.4,16.3,16.4
9328,r014,All positions -> All full-time faculty -> All fields -> Computer and information sciences,All positions,All full-time faculty,All fields,Computer and information sciences,,4,4.2,4.9,5.7,5.8,6.4,7.1,7.0,8.6,9.6
9328,r015,All positions -> All full-time faculty -> All fields -> Life sciences,All positions,All full-time faculty,All fields,Life sciences,,4,61.7,62.8,63.5,66.7,70.6,70.8,70.3,77.1,76.7
9328,r016,All positions -> All full-time faculty -> All fields -> Psychology,All positions,All full-time faculty,All fields,Psychology,,4,21.4,23.2,23.1,23.3,24.1,25.9,26.3,27.9,27.7
9328,r017,All positions -> All full-time faculty -> All fields -> Social sciences,All positions,All full-time faculty,All fields,Social sciences,,4,39.6,39.2,42.1,43.1,43.5,46.6,46.4,50.4,46.4
9328,r018,All positions -> All full-time faculty -> All fields -> Engineering,All positions,All full-time faculty,All fields,Engineering,,4,21.9,22.1,22.7,23.4,25.0,29.2,28.7,33.4,35.3
9328,r019,All positions -> All full-time faculty -> Full-time professors,All positions,All full-time faculty,Full-time professors,,,3,,,,,,,,,
9328,r020,All positions -> All full-time faculty -> Full-time professors -> All fields,All positions,All full-time faculty,Full-time professors,All fields,,4,87.7,85.3,90.5,93.6,95.3,98.9,94.7,109.1,107.8
9328,r021,All positions -> All full-time faculty -> Full-time professors -> All fields -> Physical sciences,All positions,All full-time faculty,Full-time professors,All fields,Physical sciences,5,14.3,13.3,14.0,15.0,14.6,15.0,13.7,16.4,15.7
9328,r022,All positions -> All full-time faculty -> Full-time professors -> All fields -> Mathematics and statistics,All positions,All full-time faculty,Full-time professors,All fields,Mathematics and statistics,5,7.2,6.9,7.3,7.3,7.3,7.9,6.9,7.5,8.0
9328,r023,All positions -> All full-time faculty -> Full-time professors -> All fields -> Computer and information sciences,All positions,All full-time faculty,Full-time professors,All fields,Computer and information sciences,5,1.2,1.6,1.9,2.2,2.6,2.6,2.7,3.3,3.7
9328,r024,All positions -> All full-time faculty -> Full-time professors -> All fields -> Life sciences,All positions,All full-time faculty,Full-time professors,All fields,Life sciences,5,25.7,25.6,26.6,28.1,29.5,28.3,27.7,31.3,31.0
9328,r025,All positions -> All full-time faculty -> Full-time professors -> All fields -> Psychology,All positions,All full-time faculty,Full-time professors,All fields,Psychology,5,9.8,9.8,10.0,9.9,10.4,10.9,10.7,12.2,12.6
9328,r026,All positions -> All full-time faculty -> Full-time professors -> All fields -> Social sciences,All positions,All full-time faculty,Full-time professors,All fields,Social sciences,5,18.6,17.5,19.2,19.6,19.2,20.6,19.9,22.8,20.6
9328,r027,All positions -> All full-time faculty -> Full-time professors -> All fields -> Engineering,All positions,All full-time faculty,Full-time professors,All fields,Engineering,5,10.9,10.6,11.7,11.5,11.7,13.5,13.0,15.8,16.4
9328,r028,All positions -> All full-time faculty -> Full-time associate professors,All positions,All full-time faculty,Full-time associate professors,,,3,,,,,,,,,
9328,r029,All positions -> All full-time faculty -> Full-time associate professors -> All fields,All positions,All full-time faculty,Full-time associate professors,All fields,,4,54.3,54.1,57.0,59.1,62.7,69.3,67.7,72.9,72.0
