table_id,row_id,state_or_location_full_path,state_or_location_level_1,state_or_location_level_2,state_or_location_hierarchy_depth,field_totala_male,field_totala_female,field_life_sciencesb_male,field_life_sciencesb_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherc_male,field_otherc_female
1732,r001,United States<sup>d</sup>,United States<sup>d</sup>,,1,29798,25368,5659,7114,4214,2118,3043,983,3641,5256,7726,2453,1496,3337,2567,2575,1452,1532
1732,r002,United States<sup>d</sup> -> Alabama,United States<sup>d</sup>,Alabama,2,338,329,104,102,31,11,23,12,19,63,103,25,28,83,12,14,18,19
1732,r003,United States<sup>d</sup> -> Alaska,United States<sup>d</sup>,Alaska,2,29,27,12,5,7,8,0,0,,,,,,,0,0,,
1732,r004,United States<sup>d</sup> -> Arizona,United States<sup>d</sup>,Arizona,2,399,364,54,76,65,30,42,10,55,84,100,43,18,53,45,44,20,24
1732,r005,United States<sup>d</sup> -> Arkansas,United States<sup>d</sup>,Arkansas,2,162,104,50,43,14,9,,,9,11,44,10,7,13,16,12,,
1732,r006,United States<sup>d</sup> -> California,United States<sup>d</sup>,California,2,3427,2647,572,660,597,286,377,108,501,679,889,300,94,195,299,309,98,110
1732,r007,United States<sup>d</sup> -> Colorado,United States<sup>d</sup>,Colorado,2,574,478,101,120,122,59,45,17,55,86,160,60,32,75,35,27,24,34
1732,r008,United States<sup>d</sup> -> Connecticut,United States<sup>d</sup>,Connecticut,2,422,363,80,123,79,37,40,10,58,69,79,33,5,12,57,62,24,17
1732,r009,United States<sup>d</sup> -> Delaware,United States<sup>d</sup>,Delaware,2,140,98,18,21,27,21,,,18,18,59,24,,,,,,
1732,r010,United States<sup>d</sup> -> District of Columbia,United States<sup>d</sup>,District of Columbia,2,292,296,24,51,18,20,28,5,69,99,52,14,26,55,50,38,25,14
1732,r011,United States<sup>d</sup> -> Florida,United States<sup>d</sup>,Florida,2,1252,1094,226,291,180,96,142,59,131,217,327,87,95,193,94,84,57,67
1732,r012,United States<sup>d</sup> -> Georgia,United States<sup>d</sup>,Georgia,2,827,684,169,238,91,51,97,23,75,127,268,68,42,87,56,51,29,39
1732,r013,United States<sup>d</sup> -> Hawaii,United States<sup>d</sup>,Hawaii,2,96,104,17,29,15,12,,,20,27,,,12,11,13,15,,
1732,r014,United States<sup>d</sup> -> Idaho,United States<sup>d</sup>,Idaho,2,56,41,15,13,,,,,6,6,19,6,7,9,,,,
1732,r015,United States<sup>d</sup> -> Illinois,United States<sup>d</sup>,Illinois,2,1408,1107,206,243,199,98,156,70,212,264,350,97,49,103,159,142,77,90
1732,r016,United States<sup>d</sup> -> Indiana,United States<sup>d</sup>,Indiana,2,923,708,150,192,116,64,108,34,99,110,255,78,67,95,81,95,47,40
1732,r017,United States<sup>d</sup> -> Iowa,United States<sup>d</sup>,Iowa,2,409,334,90,115,54,21,44,16,28,48,121,31,33,56,23,23,16,24
1732,r018,United States<sup>d</sup> -> Kansas,United States<sup>d</sup>,Kansas,2,284,250,69,63,34,28,21,11,36,58,57,11,25,42,21,22,21,15
1732,r019,United States<sup>d</sup> -> Kentucky,United States<sup>d</sup>,Kentucky,2,271,223,66,91,27,11,16,10,31,41,45,10,10,25,64,22,12,13
1732,r020,United States<sup>d</sup> -> Louisiana,United States<sup>d</sup>,Louisiana,2,295,281,75,58,34,25,27,13,35,59,66,21,12,52,31,34,15,19
1732,r021,United States<sup>d</sup> -> Maine,United States<sup>d</sup>,Maine,2,22,28,9,13,,,0,0,,,,,,,,,,
1732,r022,United States<sup>d</sup> -> Maryland,United States<sup>d</sup>,Maryland,2,699,665,191,277,78,54,99,31,82,104,182,64,9,44,42,61,16,30
