table_id,row_id,state_or_location_full_path,state_or_location_level_1,state_or_location_level_2,state_or_location_hierarchy_depth,field_totala_male,field_totala_female,field_life_sciencesb_male,field_life_sciencesb_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherc_male,field_otherc_female
2802,r001,United States<sup>d</sup>,United States<sup>d</sup>,,1,30151,25542,5819,6961,4368,2213,3144,1095,3672,5399,7833,2468,1422,3213,2479,2573,1414,1620
2802,r002,United States<sup>d</sup> -> Alabama,United States<sup>d</sup>,Alabama,2,350,303,91,107,35,11,19,15,29,50,115,30,38,69,9,5,14,16
2802,r003,United States<sup>d</sup> -> Alaska,United States<sup>d</sup>,Alaska,2,16,26,,,,,,,,,,,,,,,,
2802,r004,United States<sup>d</sup> -> Arizona,United States<sup>d</sup>,Arizona,2,451,395,84,78,65,44,42,14,64,97,103,38,20,53,44,53,29,18
2802,r005,United States<sup>d</sup> -> Arkansas,United States<sup>d</sup>,Arkansas,2,131,108,42,41,,,10,6,17,7,29,12,6,20,,,10,10
2802,r006,United States<sup>d</sup> -> California,United States<sup>d</sup>,California,2,3584,2757,627,682,642,306,454,127,487,703,859,353,94,165,326,320,95,101
2802,r007,United States<sup>d</sup> -> Colorado,United States<sup>d</sup>,Colorado,2,547,489,99,134,92,76,60,23,50,80,171,56,33,66,31,37,11,17
2802,r008,United States<sup>d</sup> -> Connecticut,United States<sup>d</sup>,Connecticut,2,429,367,98,102,78,47,39,18,72,73,74,32,,,52,61,,
2802,r009,United States<sup>d</sup> -> Delaware,United States<sup>d</sup>,Delaware,2,143,98,22,19,27,18,,,13,23,57,18,,,,,,
2802,r010,United States<sup>d</sup> -> District of Columbia,United States<sup>d</sup>,District of Columbia,2,284,300,30,49,20,12,26,12,77,101,40,12,19,43,60,43,12,28
2802,r011,United States<sup>d</sup> -> Florida,United States<sup>d</sup>,Florida,2,1300,1168,200,311,190,97,173,54,159,264,333,107,78,182,86,80,81,73
2802,r012,United States<sup>d</sup> -> Georgia,United States<sup>d</sup>,Georgia,2,796,651,159,203,103,52,89,24,70,98,242,64,36,80,51,79,46,51
2802,r013,United States<sup>d</sup> -> Hawaii,United States<sup>d</sup>,Hawaii,2,99,110,22,20,21,15,,,26,30,10,5,,,10,20,,
2802,r014,United States<sup>d</sup> -> Idaho,United States<sup>d</sup>,Idaho,2,52,52,9,15,9,5,,,,,,,9,20,,,,
2802,r015,United States<sup>d</sup> -> Illinois,United States<sup>d</sup>,Illinois,2,1428,1063,203,258,225,91,147,58,191,253,366,109,47,76,177,144,72,74
2802,r016,United States<sup>d</sup> -> Indiana,United States<sup>d</sup>,Indiana,2,876,692,136,160,115,59,110,37,97,121,252,73,43,100,94,100,29,42
2802,r017,United States<sup>d</sup> -> Iowa,United States<sup>d</sup>,Iowa,2,407,320,95,89,55,25,44,26,22,52,130,31,28,48,16,21,17,28
2802,r018,United States<sup>d</sup> -> Kansas,United States<sup>d</sup>,Kansas,2,292,244,78,63,30,19,19,13,48,52,66,21,19,35,13,22,19,19
2802,r019,United States<sup>d</sup> -> Kentucky,United States<sup>d</sup>,Kentucky,2,299,225,63,73,25,11,22,9,42,54,56,13,20,33,50,18,21,14
2802,r020,United States<sup>d</sup> -> Louisiana,United States<sup>d</sup>,Louisiana,2,317,298,74,89,39,24,26,10,45,43,76,25,10,45,32,36,15,26
2802,r021,United States<sup>d</sup> -> Maine,United States<sup>d</sup>,Maine,2,31,43,9,17,8,9,,,5,7,,,,,,,,
2802,r022,United States<sup>d</sup> -> Maryland,United States<sup>d</sup>,Maryland,2,699,591,163,240,82,48,99,26,89,116,206,58,11,38,28,33,21,32
2802,r023,United States<sup>d</sup> -> Massachusetts,United States<sup>d</sup>,Massachusetts,2,1676,1358,336,393,286,148,168,54,200,284,460,173,29,98,142,121,55,87
2802,r024,United States<sup>d</sup> -> Michigan,United States<sup>d</sup>,Michigan,2,1051,854,175,212,147,106,110,35,108,159,341,79,59,135,75,77,36,51
2802,r025,United States<sup>d</sup> -> Minnesota,United States<sup>d</sup>,Minnesota,2,669,909,136,246,55,23,38,18,160,308,109,26,44,132,22,40,105,116
2802,r026,United States<sup>d</sup> -> Mississippi,United States<sup>d</sup>,Mississippi,2,244,273,63,52,35,24,7,5,19,56,46,13,43,86,15,15,16,22
2802,r027,United States<sup>d</sup> -> Missouri,United States<sup>d</sup>,Missouri,2,523,455,110,113,65,36,30,15,59,102,141,41,32,76,52,39,34,33
2802,r028,United States<sup>d</sup> -> Montana,United States<sup>d</sup>,Montana,2,77,49,32,17,15,6,,,5,10,,,,,,,0,0
2802,r029,United States<sup>d</sup> -> Nebraska,United States<sup>d</sup>,Nebraska,2,208,175,80,64,19,6,16,8,28,39,37,12,8,29,10,10,10,7
2802,r030,United States<sup>d</sup> -> Nevada,United States<sup>d</sup>,Nevada,2,108,109,,,21,13,,,20,31,22,8,10,23,7,7,7,7
2802,r031,United States<sup>d</sup> -> New Hampshire,United States<sup>d</sup>,New Hampshire,2,107,86,31,38,23,11,7,7,8,12,30,9,,,,,,
2802,r032,United States<sup>d</sup> -> New Jersey,United States<sup>d</sup>,New Jersey,2,660,485,95,122,96,38,96,22,82,98,155,48,14,42,91,79,31,36
2802,r033,United States<sup>d</sup> -> New Mexico,United States<sup>d</sup>,New Mexico,2,186,142,27,30,35,7,,,24,27,55,12,19,35,11,13,,
2802,r034,United States<sup>d</sup> -> New York,United States<sup>d</sup>,New York,2,2187,1977,432,501,317,155,247,55,340,511,429,150,85,205,257,287,80,113
2802,r035,United States<sup>d</sup> -> North Carolina,United States<sup>d</sup>,North Carolina,2,923,885,208,290,117,67,122,65,89,140,237,78,38,106,72,86,40,53
2802,r036,United States<sup>d</sup> -> North Dakota,United States<sup>d</sup>,North Dakota,2,91,77,24,25,,,,,5,18,19,5,13,22,,,0,0
2802,r037,United States<sup>d</sup> -> Ohio,United States<sup>d</sup>,Ohio,2,1064,936,223,251,171,81,76,22,83,164,321,85,81,168,68,102,41,63
