table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_employment,field_total_r_d_employment,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
9693,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['35,574', '  ']","['3,161', '  ']","['2,127', '  ']","['169', '  ']","['734', '  ']","['300', '  ']"
9693,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['18,325', '  ']","['1,524', '  ']","['1,066', '  ']","['103', '  ']","['285', '  ']","['173', '  ']"
9693,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,702', '  ']","['40', '  ']","['21', '  ']","['3', '  ']","['12', '  ']","['7', '  ']"
9693,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['992', '  ']","['8', '  ']","['5', '  ']","['1', '  ']","['2', '  ']","['1', '  ']"
9693,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['367', '  ']","['9', '  ']","['3', '  ']","['1', '  ']","['4', '  ']","['1', '  ']"
9693,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['142', '  ']","['6', '  ']","['2', 'i ']","['*', 'i ']","['2', '  ']","['2', '  ']"
9693,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['281', '  ']","['8', '  ']","['6', '  ']","['*', '  ']","['2', '  ']","['1', '  ']"
9693,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['159', '  ']","['3', '  ']","['2', 'i ']","['*', 'i ']","['1', '  ']","['1', '  ']"
9693,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['168', '  ']","['7', '  ']","['2', '  ']","['*', '  ']","['4', '  ']","['2', '  ']"
9693,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,416', '  ']","['278', '  ']","['177', '  ']","['42', '  ']","['45', '  ']","['56', '  ']"
9693,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['334', '  ']","['19', '  ']","['11', '  ']","['3', '  ']","['7', 'i ']","['2', '  ']"
9693,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['165', '  ']","['10', '  ']","['6', '  ']","['1', 'i ']","['2', '  ']","['2', '  ']"
9693,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['100', '  ']","['5', '  ']","['3', '  ']","['1', '  ']","['1', '  ']","['1', '  ']"
9693,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,072', '  ']","['211', '  ']","['134', '  ']","['33', '  ']","['30', '  ']","['48', '  ']"
9693,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['486', '  ']","['18', '  ']","['14', '  ']","['2', '  ']","['2', '  ']","['2', '  ']"
9693,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['258', '  ']","['14', '  ']","['10', '  ']","['1', 'i ']","['3', '  ']","['1', '  ']"
9693,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['691', '  ']","['29', '  ']","['14', '  ']","['2', 'i ']","['11', '  ']","['3', '  ']"
9693,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['216', '  ']","['9', '  ']","['5', '  ']","['1', '  ']","['3', '  ']","['1', '  ']"
9693,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['169', '  ']","['10', '  ']","['3', '  ']","['*', '  ']","['2', '  ']","['5', '  ']"
9693,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['976', '  ']","['52', '  ']","['17', '  ']","['1', '  ']","['26', '  ']","['9', '  ']"
9693,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,899', '  ']","['159', '  ']","['110', '  ']","['7', '  ']","['37', '  ']","['12', '  ']"
9693,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['175', '  ']","['17', '  ']","['13', '  ']","['*', '  ']","['3', '  ']","['1', '  ']"
9693,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['116', '  ']","['27', '  ']","['17', '  ']","['3', '  ']","['10', '  ']","['1', '  ']"
9693,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['217', '  ']","['11', '  ']","['9', '  ']","['*', '  ']","['2', '  ']","['*', '  ']"
9693,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,391', '  ']","['104', '  ']","['72', '  ']","['4', '  ']","['23', '  ']","['9', '  ']"
9693,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,425', '  ']","['464', '  ']","['383', '  ']","['24', 'i ']","['45', '  ']","['36', '  ']"
9693,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['308', '  ']","['81', '  ']","['59', '  ']","['2', 'i ']","['7', '  ']","['14', '  ']"
9693,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['774', '  ']","['188', '  ']","['166', '  ']","['12', '  ']","['15', '  ']","['7', 'i ']"
9693,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['710', '  ']","['86', '  ']","['68', '  ']","['7', '  ']","['13', '  ']","['5', '  ']"
9693,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['82', '  ']","['10', '  ']","['7', '  ']","['2', 'i ']","['3', '  ']","['1', '  ']"
9693,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['177', '  ']","['25', '  ']","['20', '  ']","['1', '  ']","['4', '  ']","['1', '  ']"
9693,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['452', '  ']","['51', '  ']","['42', '  ']","['4', '  ']","['6', '  ']","['3', '  ']"
