table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_d,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
12321,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['608,058', '  ']","['20,232', '  ']","['36,069', '  ']","['623,895', '  ']","['15,837', 'r ']","['2.6', '  ']"
12321,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['326,998', '  ']","['12,995', '  ']","['23,717', '  ']","['337,720', '  ']","['10,722', 'r ']","['3.3', '  ']"
12321,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['D', '  ']","['D', '  ']","['544', '  ']","['7,081', 'i ']","['D', '  ']","['D', '  ']"
12321,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['660', '  ']","['27', '  ']","['76', 'i ']","['708', 'i ']","['48', 'i ']","['7.3', '  ']"
12321,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['D', '  ']","['D', '  ']","['44', '  ']","['651', '  ']","['D', '  ']","['D', '  ']"
12321,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['254', '  ']","['3', '  ']","['40', 'i ']","['291', 'i ']","['38', 'i ']","['14.8', '  ']"
12321,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,004', '  ']","['7', '  ']","['266', '  ']","['1,263', 'i ']","['259', 'i ']","['25.8', '  ']"
12321,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['164', '  ']","['10', 'i ']","['12', '  ']","['166', '  ']","['2', 'i ']","['1.2', '  ']"
12321,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['856', '  ']","['36', '  ']","['142', '  ']","['962', '  ']","['106', '  ']","['12.4', '  ']"
12321,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['113,518', '  ']","['3,765', '  ']","['6,121', '  ']","['115,874', '  ']","['2,356', '  ']","['2.1', '  ']"
12321,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['D', '  ']","['D', '  ']","['392', '  ']","['2,888', '  ']","['D', '  ']","['D', '  ']"
12321,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,413', '  ']","['D', '  ']","['171', '  ']","['D', '  ']","['D', '  ']","['D', '  ']"
12321,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['D', '  ']","['D', '&nbsp;']","['55', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']"
12321,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['104,720', '  ']","['3,332', '  ']","['5,234', '  ']","['106,623', '  ']","['1,903', '  ']","['1.8', '  ']"
12321,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['D', '  ']","['D', '  ']","['195', '  ']","['2,761', '  ']","['D', '  ']","['D', '  ']"
12321,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,195', '  ']","['49', '  ']","['73', 'i ']","['1,219', 'i ']","['24', 'i ']","['2.0', '  ']"
12321,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,251', '  ']","['102', '  ']","['320', 'i ']","['3,468', 'i ']","['218', 'i ']","['6.7', '  ']"
12321,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,435', '  ']","['74', '  ']","['70', '  ']","['1,431', 'i ']","['-4', 'i ']","['-0.3', '  ']"
12321,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['1,099', '  ']","['31', '  ']","['225', '  ']","['1,293', 'i ']","['193', '  ']","['17.6', '  ']"
12321,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['3,304', '  ']","['88', '  ']","['300', '  ']","['3,516', 'i ']","['212', '  ']","['6.4', '  ']"
12321,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['18,246', '  ']","['720', '  ']","['1,788', '  ']","['19,315', '  ']","['1,068', '  ']","['5.9', '  ']"
12321,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['D', '  ']","['D', '  ']","['141', 'i ']","['2,211', 'i ']","['D', '&nbsp;']","['D', '  ']"
12321,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['5,390', '  ']","['397', '  ']","['581', '  ']","['5,574', '  ']","['184', '  ']","['3.4', '  ']"
12321,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['D', '  ']","['D', '  ']","['144', 'i ']","['2,792', 'i ']","['D', '&nbsp;']","['D', '  ']"
12321,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['7,987', '  ']","['172', '  ']","['922', '  ']","['8,738', '  ']","['751', '  ']","['9.4', '  ']"
12321,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['99,234', '  ']","['5,530', '  ']","['8,444', 'i ']","['102,148', '  ']","['2,914', 'i ']","['2.9', '  ']"
12321,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['10,870', '  ']","['376', '  ']","['482', '  ']","['10,976', '  ']","['106', 'i ']","['1.0', '  ']"
12321,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['47,380', '  ']","['2,668', '  ']","['4,981', 'i ']","['49,692', 'i ']","['2,312', 'i ']","['4.9', '  ']"
12321,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['10,105', '  ']","['244', '  ']","['479', 'i ']","['10,339', 'i ']","['234', 'i ']","['2.3', '  ']"
12321,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['3,959', '  ']","['105', '  ']","['149', 'i ']","['4,003', 'i ']","['43', 'i ']","['1.1', '  ']"
