table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5539,r001,R&D and R&D plant,R&D and R&D plant,,,,1,14206,12594,13842,-11.3,9.9
5539,r002,R&D and R&D plant -> National Aeronautics and Space Administration,R&D and R&D plant,National Aeronautics and Space Administration,,,2,14206,12594,13842,-11.3,9.9
5539,r003,"R&D and R&D plant -> National Aeronautics and Space Administration -> Safety, security, and mission services<sup>a</sup>",R&D and R&D plant,National Aeronautics and Space Administration,"Safety, security, and mission services<sup>a</sup>",,3,187,241,241,28.9,0.0
5539,r004,R&D and R&D plant -> National Aeronautics and Space Administration -> Deep Space Exploration Systems,R&D and R&D plant,National Aeronautics and Space Administration,Deep Space Exploration Systems,,3,4545,2637,2856,-42.0,8.3
5539,r005,R&D and R&D plant -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,National Aeronautics and Space Administration,Science,,3,6931,7255,7876,4.7,8.6
5539,r006,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,,3,1471,1329,1416,-9.7,6.5
5539,r007,R&D and R&D plant -> National Aeronautics and Space Administration -> Exploration technology,R&D and R&D plant,National Aeronautics and Space Administration,Exploration technology,,3,1024,1080,1405,5.5,30.1
5539,r008,"R&D and R&D plant -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",,3,48,52,48,8.3,-7.7
5539,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,14158,12542,13794,-11.4,10.0
5539,r010,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,National Aeronautics and Space Administration,,3,14158,12542,13794,-11.4,10.0
5539,r011,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Safety, security, and mission services<sup>a</sup>",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Safety, security, and mission services<sup>a</sup>",4,187,241,241,28.9,0.0
5539,r012,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Deep Space Exploration Systems,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Deep Space Exploration Systems,4,4545,2637,2856,-42.0,8.3
5539,r013,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,4,6931,7255,7876,4.7,8.6
5539,r014,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,4,1471,1329,1416,-9.7,6.5
5539,r015,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Exploration technology,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Exploration technology,4,1024,1080,1405,5.5,30.1
5539,r016,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",4,0,0,0,--,--
