table_id,row_id,location_and_type_of_activity_full_path,location_and_type_of_activity_level_1,location_and_type_of_activity_level_2,location_and_type_of_activity_level_3,location_and_type_of_activity_hierarchy_depth,field_all_recipientsa,field_without_disability,field_with_disability
1224,r001,All doctoral degree recipients with definite plans (number),All doctoral degree recipients with definite plans (number),,,1,15154,13512,1069
1224,r002,All doctoral degree recipients with definite plans,All doctoral degree recipients with definite plans,,,1,100.0,100.0,100.0
1224,r003,All doctoral degree recipients with definite plans -> United States,All doctoral degree recipients with definite plans,United States,,2,96.0,96.0,95.9
1224,r004,All doctoral degree recipients with definite plans -> United States -> Academic employment,All doctoral degree recipients with definite plans,United States,Academic employment,3,18.8,18.7,20.5
1224,r005,All doctoral degree recipients with definite plans -> United States -> Industry employment,All doctoral degree recipients with definite plans,United States,Industry employment,3,20.3,20.2,17.8
1224,r006,All doctoral degree recipients with definite plans -> United States -> Postdoctoral study,All doctoral degree recipients with definite plans,United States,Postdoctoral study,3,44.1,44.4,44.9
1224,r007,All doctoral degree recipients with definite plans -> United States -> Other<sup>b</sup>,All doctoral degree recipients with definite plans,United States,Other<sup>b</sup>,3,12.8,12.7,12.7
1224,r008,All doctoral degree recipients with definite plans -> Abroad,All doctoral degree recipients with definite plans,Abroad,,2,3.9,4.0,4.1
1224,r009,All doctoral degree recipients with definite plans -> Location unknown,All doctoral degree recipients with definite plans,Location unknown,,2,0.05,0.05,0.0
