table_id,row_id,north_america,central_and_south_america,europe,middle_east,asia,oceania
1991,r001,Canada,Brazil,EU,Israel,China,Australia
1991,r002,Mexico,Other South America,Austria,Other Middle East,India,New Zealand
1991,r003,United States,Argentina,Belgium,Bahrain,Indonesia,
1991,r004,,Bahamas,Denmark,Iran,Japan,
1991,r005,,Bermuda,Finland,Iraq,Malaysia,
1991,r006,,Bolivia,France,Kuwait,Philippines,
1991,r007,,Barbados,Germany,Oman,Singapore,
1991,r008,,Chile,Ireland,Qatar,South Korea,
1991,r009,,Colombia,Italy,Saudi Arabia,Taiwan,
1991,r010,,Cuba,Netherlands,United Arab Emirates,Thailand,
1991,r011,,Dominican Republic,Poland,,Vietnam,
1991,r012,,Ecuador,Spain,,Other Asia,
1991,r013,,Grenada,Sweden,,Armenia,
1991,r014,,Guyana,United Kingdom,,Azerbaijan,
1991,r015,,Jamaica,Other EU,,Bangladesh,
1991,r016,,Peru,Bulgaria,,Brunei,
1991,r017,,Paraguay,Cyprus,,Cambodia,
1991,r018,,Suriname,Czechia,,Kazakhstan,
1991,r019,,Trinidad and Tobago,Greece,,Kyrgyzstan,
1991,r020,,Uruguay,Hungary,,Maldives,
1991,r021,,Venezuela,Malta,,Mongolia,
1991,r022,,,Portugal,,Myanmar,
1991,r023,,,Romania,,Nepal,
1991,r024,,,Slovakia,,Pakistan,
1991,r025,,,Slovenia,,Papua New Guinea,
1991,r026,,,Other Europe,,Sri Lanka,
1991,r027,,,Albania,,,
1991,r028,,,Belarus,,,
1991,r029,,,Bosnia and Herzegovina,,,
1991,r030,,,Croatia,,,
1991,r031,,,North Macedonia,,,
1991,r032,,,Moldova,,,
1991,r033,,,Montenegro,,,
1991,r034,,,Norway,,,
1991,r035,,,Russia ,,,
1991,r036,,,Serbia,,,
1991,r037,,,Switzerland,,,
1991,r038,,,Turkey,,,
1991,r039,,,Ukraine,,,
