table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_level_5,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
5585,r180,All degree levels -> Doctorate -> S&E-related occupations -> S&E managers,All degree levels,Doctorate,S&E-related occupations,S&E managers,,4,61000,S,32000,17000,,11000
5585,r181,All degree levels -> Doctorate -> S&E-related occupations -> S&E precollege teachers,All degree levels,Doctorate,S&E-related occupations,S&E precollege teachers,,4,27000,,S,,24000,
5585,r182,All degree levels -> Doctorate -> S&E-related occupations -> S&E technicians and technologists,All degree levels,Doctorate,S&E-related occupations,S&E technicians and technologists,,4,39000,4000,8000,22000,,6000
5585,r183,All degree levels -> Doctorate -> S&E-related occupations -> Other S&E-related occupations,All degree levels,Doctorate,S&E-related occupations,Other S&E-related occupations,,4,1000,,,,,
5585,r184,All degree levels -> Doctorate -> Non-S&E occupations,All degree levels,Doctorate,Non-S&E occupations,,,3,765000,10000,283000,100000,233000,139000
5585,r185,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E managers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E managers,,4,192000,3000,143000,32000,S,14000
5585,r186,All degree levels -> Doctorate -> Non-S&E occupations -> Management-related occupations,All degree levels,Doctorate,Non-S&E occupations,Management-related occupations,,4,77000,1000,43000,14000,2000,16000
5585,r187,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E precollege teachers,,4,42000,,S,,34000,S
5585,r188,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E postsecondary teachers,,4,205000,,11000,30000,159000,5000
5585,r189,All degree levels -> Doctorate -> Non-S&E occupations -> Social services and related occupations,All degree levels,Doctorate,Non-S&E occupations,Social services and related occupations,,4,87000,,24000,,18000,45000
5585,r190,All degree levels -> Doctorate -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Doctorate,Non-S&E occupations,Sales and marketing occupations,,4,17000,,13000,1000,,S
5585,r191,"All degree levels -> Doctorate -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Doctorate,Non-S&E occupations,"Art, humanities, and related occupations",,4,31000,,S,7000,,14000
5585,r192,All degree levels -> Doctorate -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Doctorate,Non-S&E occupations,Other non-S&E occupations,,4,114000,,38000,15000,15000,41000
5585,r193,All degree levels -> Professional,All degree levels,Professional,,,,2,2903000,9000,401000,70000,83000,2339000
5585,r194,All degree levels -> Professional -> S&E occupations,All degree levels,Professional,S&E occupations,,,3,67000,7000,10000,16000,8000,26000
5585,r195,All degree levels -> Professional -> S&E-related occupations,All degree levels,Professional,S&E-related occupations,,,3,1380000,,82000,10000,28000,1258000
5585,r196,All degree levels -> Professional -> Non-S&E occupations,All degree levels,Professional,Non-S&E occupations,,,3,1456000,,309000,44000,47000,1055000
