table_id,row_id,time_period,current_millions_level_1,current_millions_level_2,current_millions_hierarchy_depth,value
1717,r001,R&D obligations -> 1955,Current $millions,Total,2,2533
1717,r002,R&D obligations -> 1955,Current $millions,National defense,2,2151
1717,r003,R&D obligations -> 1955,Current $millions,Civilian functions,2,382
1717,r004,R&D obligations -> 1955,% distribution,Total,2,100.0
1717,r005,R&D obligations -> 1955,% distribution,National defense,2,84.9
1717,r006,R&D obligations -> 1955,% distribution,Civilian functions,2,15.1
1717,r007,R&D obligations -> 1956,Current $millions,Total,2,2988
1717,r008,R&D obligations -> 1956,Current $millions,National defense,2,2535
1717,r009,R&D obligations -> 1956,Current $millions,Civilian functions,2,453
1717,r010,R&D obligations -> 1956,% distribution,Total,2,100.0
1717,r011,R&D obligations -> 1956,% distribution,National defense,2,84.8
1717,r012,R&D obligations -> 1956,% distribution,Civilian functions,2,15.2
1717,r013,R&D obligations -> 1957,Current $millions,Total,2,3932
1717,r014,R&D obligations -> 1957,Current $millions,National defense,2,3327
1717,r015,R&D obligations -> 1957,Current $millions,Civilian functions,2,605
1717,r016,R&D obligations -> 1957,% distribution,Total,2,100.0
1717,r017,R&D obligations -> 1957,% distribution,National defense,2,84.6
1717,r018,R&D obligations -> 1957,% distribution,Civilian functions,2,15.4
1717,r019,R&D obligations -> 1958,Current $millions,Total,2,4570
1717,r020,R&D obligations -> 1958,Current $millions,National defense,2,3801
1717,r021,R&D obligations -> 1958,Current $millions,Civilian functions,2,769
1717,r022,R&D obligations -> 1958,% distribution,Total,2,100.0
1717,r023,R&D obligations -> 1958,% distribution,National defense,2,83.2
1717,r024,R&D obligations -> 1958,% distribution,Civilian functions,2,16.8
1717,r025,R&D obligations -> 1959,Current $millions,Total,2,6694
1717,r026,R&D obligations -> 1959,Current $millions,National defense,2,5556
1717,r027,R&D obligations -> 1959,Current $millions,Civilian functions,2,1138
1717,r028,R&D obligations -> 1959,% distribution,Total,2,100.0
1717,r029,R&D obligations -> 1959,% distribution,National defense,2,83.0
1717,r030,R&D obligations -> 1959,% distribution,Civilian functions,2,17.0
1717,r031,R&D obligations -> 1960,Current $millions,Total,2,7552
1717,r032,R&D obligations -> 1960,Current $millions,National defense,2,6107
1717,r033,R&D obligations -> 1960,Current $millions,Civilian functions,2,1445
1717,r034,R&D obligations -> 1960,% distribution,Total,2,100.0
1717,r035,R&D obligations -> 1960,% distribution,National defense,2,80.9
1717,r036,R&D obligations -> 1960,% distribution,Civilian functions,2,19.1
1717,r037,R&D obligations -> 1961,Current $millions,Total,2,9059
1717,r038,R&D obligations -> 1961,Current $millions,National defense,2,7005
1717,r039,R&D obligations -> 1961,Current $millions,Civilian functions,2,2054
1717,r040,R&D obligations -> 1961,% distribution,Total,2,100.0
1717,r041,R&D obligations -> 1961,% distribution,National defense,2,77.3
1717,r042,R&D obligations -> 1961,% distribution,Civilian functions,2,22.7
1717,r043,R&D obligations -> 1962,Current $millions,Total,2,10290
1717,r044,R&D obligations -> 1962,Current $millions,National defense,2,7238
1717,r045,R&D obligations -> 1962,Current $millions,Civilian functions,2,3052
1717,r046,R&D obligations -> 1962,% distribution,Total,2,100.0
1717,r047,R&D obligations -> 1962,% distribution,National defense,2,70.3
1717,r048,R&D obligations -> 1962,% distribution,Civilian functions,2,29.7
1717,r049,R&D obligations -> 1963,Current $millions,Total,2,12495
1717,r050,R&D obligations -> 1963,Current $millions,National defense,2,7764
1717,r051,R&D obligations -> 1963,Current $millions,Civilian functions,2,4731
1717,r052,R&D obligations -> 1963,% distribution,Total,2,100.0
1717,r053,R&D obligations -> 1963,% distribution,National defense,2,62.1
1717,r054,R&D obligations -> 1963,% distribution,Civilian functions,2,37.9
1717,r055,R&D obligations -> 1964,Current $millions,Total,2,14225
1717,r056,R&D obligations -> 1964,Current $millions,National defense,2,7829
