table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_applications_total,field_applications_nonprovisional_utility_patents_total,field_applications_nonprovisional_utility_patents_to_foreign_jurisdictionsa,field_applications_nonprovisional_utility_patents_from_within_organized_r_d_activityb,field_patents_issuedc
2087,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['151,928', '  ']","['100,485', '  ']","['50,572', '  ']","['79,011', '  ']","['101,607', '  ']"
2087,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['104,878', '  ']","['73,183', '  ']","['40,793', '  ']","['58,410', '  ']","['68,598', '  ']"
2087,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,383', '  ']","['866', '  ']","['435', '  ']","['66 - 867', '  ']","['775', '  ']"
2087,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['676', '  ']","['521', '  ']","['304', '  ']","['436', '  ']","['282', '  ']"
2087,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['769', '  ']","['500', '  ']","['226', '  ']","['372', '  ']","['246', '  ']"
2087,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['72', '  ']","['44', '  ']","['17', '  ']","['39', '  ']","['28', '  ']"
2087,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,041', '  ']","['637', '  ']","['351', '  ']","['0 - 638', '  ']","['539', '  ']"
2087,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['173', '  ']","['110', '  ']","['48', '  ']","['90', '  ']","['113', '  ']"
2087,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['220', '  ']","['166', '  ']","['81', '  ']","['127', '  ']","['86', '  ']"
2087,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['16,229', '  ']","['9,047', '  ']","['6,739', '  ']","['8,169', '  ']","['8,775', '  ']"
2087,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['989', '  ']","['544', '  ']","['466', '  ']","['534', '  ']","['747', '  ']"
2087,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['378', '  ']","['134', '  ']","['108', '  ']","['124', '  ']","['171', '  ']"
2087,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,191', '  ']","['695', '  ']","['359', '  ']","['670', '  ']","['804', '  ']"
2087,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['10,799', '  ']","['5,726', '  ']","['4,611', '  ']","['5,212', '  ']","['5,350', '  ']"
2087,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['1,677', '  ']","['1,088', '  ']","['584', '  ']","['766 - 1,089', '  ']","['1,044', '  ']"
2087,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,195', '  ']","['860', '  ']","['611', '  ']","['538 - 861', '  ']","['658', '  ']"
2087,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,858', '  ']","['2,486', '  ']","['1,838', '  ']","['2,274', '  ']","['1,707', '  ']"
2087,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,506', 'i ']","['1,259', 'i ']","['904', 'i ']","['1,231', 'i ']","['801', 'i ']"
2087,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['778', '  ']","['168', '  ']","['117', '  ']","['141', '  ']","['179', '  ']"
2087,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['1,831', '  ']","['974', '  ']","['601', '  ']","['845', '  ']","['577', '  ']"
2087,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['8,641', '  ']","['5,572', '  ']","['2,739', '  ']","['4,604', '  ']","['5,281', '  ']"
2087,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,238', '  ']","['1,033', '  ']","['540', '  ']","['872', '  ']","['830', '  ']"
2087,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['2,007', '  ']","['1,210', '  ']","['0 - 1,211', '  ']","['462 - 1,211', '  ']","['1,097', '  ']"
2087,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,001', '  ']","['723', '  ']","['326', '  ']","['662', '  ']","['1,111', '  ']"
2087,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['4,394', '  ']","['2,606', '  ']","['661 - 1,875', '  ']","['1,858 - 2,607', '  ']","['2,243', '  ']"
2087,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['38,082', '  ']","['29,109', '  ']","['11,813', '  ']","['22,881', '  ']","['29,824', '  ']"
2087,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['5,034', '  ']","['3,637', '  ']","['1,586', '  ']","['3,286', '  ']","['3,890', '  ']"
2087,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['17,146', 'i ']","['13,095', 'i ']","['5,076', '  ']","['8,650', '  ']","['13,815', 'i ']"
2087,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['5,494', '  ']","['4,236', 'i ']","['2,937', 'i ']","['3,391', 'i ']","['4,365', '  ']"
2087,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['612', '  ']","['345', '  ']","['242', '  ']","['307', '  ']","['347', '  ']"
2087,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['2,728', '  ']","['2,426', 'i ']","['1,669', 'i ']","['2,128', 'i ']","['2,230', '  ']"
2087,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['2,154', '  ']","['1,465', '  ']","['1,026', '  ']","['956', '  ']","['1,787', '  ']"
2087,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['10,409', '  ']","['8,140', '  ']","['2,214', '  ']","['7,553', '  ']","['7,754', '  ']"
2087,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,172', '  ']","['2,873', '  ']","['1,547', '  ']","['2,783', '  ']","['2,308', '  ']"
2087,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['14,630', '  ']","['12,444', '  ']","['8,772', '  ']","['7,712', '  ']","['9,299', '  ']"
2087,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['7,602', '  ']","['6,409', '  ']","['5,218', '  ']","['4,350', '  ']","['4,834', '  ']"
2087,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['6,357', '  ']","['5,661', '  ']","['3,295', '  ']","['2,985 - 3,039', '  ']","['4,047', '  ']"
2087,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['6,218', '  ']","['5,574', '  ']","['3,255', '  ']","['2,951', '  ']","['3,977', '  ']"
2087,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['139', '  ']","['87', '  ']","['40', '  ']","['34 - 88', '  ']","['70', '  ']"
2087,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0 - 414', '  ']","['0 - 117', 'i ']","['0', '  ']","['0 - 117', 'i ']","['0', '  ']"
2087,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['258 - 673', '  ']","['258 - 376', '  ']","['259', '  ']","['205 - 376', '  ']","['419', '  ']"
2087,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['496', '  ']","['264', '  ']","['143', '  ']","['189', '  ']","['195', '  ']"
2087,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['10,322', '  ']","['6,144', '  ']","['4,117', '  ']","['5,005 - 5,805', '  ']","['7,583', '  ']"
2087,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['7,965', '  ']","['5,265', '  ']","['3,831', '  ']","['4,925', '  ']","['6,774', '  ']"
2087,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['2,357', '  ']","['879', '  ']","['286', '  ']","['79 - 880', '  ']","['809', '  ']"
2087,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['47,050', '  ']","['27,301', '  ']","['9,779', '  ']","['20,601', '  ']","['33,009', '  ']"
2087,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['3,043', '  ']","['2,542', '  ']","['1,937', '  ']","['2,475', '  ']","['2,578', '  ']"
2087,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['30', '  ']","['19', '  ']","['0 - 20', '  ']","['4', '  ']","['30', '  ']"
2087,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,795', '  ']","['467', '  ']","['158', '  ']","['352', '  ']","['535', '  ']"
2087,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['2,524', '  ']","['1,387 - 1,781', '  ']","['0 - 226', '  ']","['1,260 - 1,746', '  ']","['0 - 2,239', '  ']"
2087,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['135', '  ']","['92', '  ']","['35', '  ']","['0 - 93', '  ']","['60', '  ']"
2087,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['19,522', '  ']","['15,380', '  ']","['5,737', '  ']","['11,066', '  ']","['14,522', '  ']"
2087,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['8,277', '  ']","['6,604', '  ']","['2,681', '  ']","['5,274', '  ']","['6,052', '  ']"
2087,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['6', '  ']","['6', '  ']","['0', '  ']","['0 - 7', '  ']","['4', '  ']"
2087,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['8,271', '  ']","['6,598', '  ']","['2,681', '  ']","['5,267 - 5,275', '  ']","['6,048', '  ']"
2087,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,231', '  ']","['2,345', '  ']","['377', '  ']","['1,379', '  ']","['3,379', '  ']"
2087,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['2,501', '  ']","['1,965', '  ']","['253', '  ']","['1,783', '  ']","['967', '  ']"
2087,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['5,513', '  ']","['4,466', '  ']","['2,425', '  ']","['2,630', '  ']","['4,124', '  ']"
2087,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['2,109', '  ']","['1,404', '  ']","['200', '  ']","['942', '  ']","['889', '  ']"
2087,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['83', '  ']","['0 - 84', '  ']","['0 - 84', '  ']","['0 - 84', '  ']","['37', '  ']"
2087,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
