table_id,row_id,sex_and_institution_full_path,sex_and_institution_level_1,sex_and_institution_level_2,sex_and_institution_level_3,sex_and_institution_level_4,sex_and_institution_hierarchy_depth,field_bachelor_s_degrees
1164,r001,Female,Female,,,,1,
1164,r002,Female -> All institutions,Female,All institutions,,,2,1579093
1164,r003,Female -> All institutions -> Top 50 institutions,Female,All institutions,Top 50 institutions,,3,413242
1164,r004,"Female -> All institutions -> Top 50 institutions -> U. California, Los Angeles									",Female,All institutions,Top 50 institutions,"U. California, Los Angeles									",4,15353
1164,r005,"Female -> All institutions -> Top 50 institutions -> U. California, Davis									",Female,All institutions,Top 50 institutions,"U. California, Davis									",4,13595
1164,r006,"Female -> All institutions -> Top 50 institutions -> U. California, Berkeley									",Female,All institutions,Top 50 institutions,"U. California, Berkeley									",4,12468
1164,r007,"Female -> All institutions -> Top 50 institutions -> U. California, San Diego									",Female,All institutions,Top 50 institutions,"U. California, San Diego									",4,11743
1164,r008,Female -> All institutions -> Top 50 institutions -> U. Florida									,Female,All institutions,Top 50 institutions,U. Florida									,4,11326
1164,r009,"Female -> All institutions -> Top 50 institutions -> U. Washington, Seattle								",Female,All institutions,Top 50 institutions,"U. Washington, Seattle								",4,11258
1164,r010,"Female -> All institutions -> Top 50 institutions -> U. Phoenix, Arizona",Female,All institutions,Top 50 institutions,"U. Phoenix, Arizona",4,10825
1164,r011,"Female -> All institutions -> Top 50 institutions -> U. Phoenix, Online",Female,All institutions,Top 50 institutions,"U. Phoenix, Online",4,10758
1164,r012,"Female -> All institutions -> Top 50 institutions -> U. California, Irvine									",Female,All institutions,Top 50 institutions,"U. California, Irvine									",4,10567
1164,r013,Female -> All institutions -> Top 50 institutions -> Ashford U.,Female,All institutions,Top 50 institutions,Ashford U.,4,10537
1164,r014,"Female -> All institutions -> Top 50 institutions -> Texas A&M U., College Station and Health Science Center								",Female,All institutions,Top 50 institutions,"Texas A&M U., College Station and Health Science Center								",4,10242
1164,r015,"Female -> All institutions -> Top 50 institutions -> U. Michigan, Ann Arbor								",Female,All institutions,Top 50 institutions,"U. Michigan, Ann Arbor								",4,9924
1164,r016,Female -> All institutions -> Top 50 institutions -> Ohio State U.									,Female,All institutions,Top 50 institutions,Ohio State U.									,4,9773
1164,r017,"Female -> All institutions -> Top 50 institutions -> U. California, Santa Barbara",Female,All institutions,Top 50 institutions,"U. California, Santa Barbara",4,9656
1164,r018,"Female -> All institutions -> Top 50 institutions -> U. Minnesota, Twin Cities",Female,All institutions,Top 50 institutions,"U. Minnesota, Twin Cities",4,9625
1164,r019,Female -> All institutions -> Top 50 institutions -> Pennsylvania State U. ,Female,All institutions,Top 50 institutions,Pennsylvania State U. ,4,9459
1164,r020,"Female -> All institutions -> Top 50 institutions -> U. Texas, Austin",Female,All institutions,Top 50 institutions,"U. Texas, Austin",4,9362
1164,r021,Female -> All institutions -> Top 50 institutions -> U. South Florida Polytechnic									,Female,All institutions,Top 50 institutions,U. South Florida Polytechnic									,4,9067
1164,r022,Female -> All institutions -> Top 50 institutions -> U. Central Florida,Female,All institutions,Top 50 institutions,U. Central Florida,4,8912
1164,r023,Female -> All institutions -> Top 50 institutions -> Florida International U.,Female,All institutions,Top 50 institutions,Florida International U.,4,8594
1164,r024,"Female -> All institutions -> Top 50 institutions -> Rutgers U., New Brunswick",Female,All institutions,Top 50 institutions,"Rutgers U., New Brunswick",4,8495
1164,r025,Female -> All institutions -> Top 50 institutions -> U. Wisconsin-Madison,Female,All institutions,Top 50 institutions,U. Wisconsin-Madison,4,8454
1164,r026,Female -> All institutions -> Top 50 institutions -> Florida State U.,Female,All institutions,Top 50 institutions,Florida State U.,4,8352
1164,r027,"Female -> All institutions -> Top 50 institutions -> Arizona State U., Tempe",Female,All institutions,Top 50 institutions,"Arizona State U., Tempe",4,8302
1164,r028,Female -> All institutions -> Top 50 institutions -> Michigan State U.,Female,All institutions,Top 50 institutions,Michigan State U.,4,8276
1164,r029,"Female -> All institutions -> Top 50 institutions -> U. Illinois, Urbana-Champaign",Female,All institutions,Top 50 institutions,"U. Illinois, Urbana-Champaign",4,8256
1164,r030,"Female -> All institutions -> Top 50 institutions -> U. Maryland, College Park",Female,All institutions,Top 50 institutions,"U. Maryland, College Park",4,8148
