table_id,row_id,field_of_highest_degree_and_employment_sector_full_path,field_of_highest_degree_and_employment_sector_level_1,field_of_highest_degree_and_employment_sector_level_2,field_of_highest_degree_and_employment_sector_level_3,field_of_highest_degree_and_employment_sector_level_4,field_of_highest_degree_and_employment_sector_hierarchy_depth,field_number,field_salary,field_primary_work_activity_computer_applications_number,field_primary_work_activity_computer_applications_salary,field_primary_work_activity_management_and_administrationa_number,field_primary_work_activity_management_and_administrationa_salary,field_primary_work_activity_research_and_developmentb_number,field_primary_work_activity_research_and_developmentb_salary,field_primary_work_activity_teaching_number,field_primary_work_activity_teaching_salary,field_primary_work_activity_otherc_number,field_primary_work_activity_otherc_salary
6852,r001,All fields,All fields,,,,1,6169000,90000,1688000,100000,1357000,96000,2074000,86000,276000,66000,774000,80000
6852,r002,All fields -> Business or industry,All fields,Business or industry,,,2,4570000,95000,1499000,100000,1029000,96000,1443000,95000,43000,62000,557000,85000
6852,r003,All fields -> 4-year educational institution,All fields,4-year educational institution,,,2,696000,63000,62000,75000,59000,80000,357000,50000,177000,71000,40000,54000
6852,r004,All fields -> 2-year college or precollege educational institution,All fields,2-year college or precollege educational institution,,,2,142000,65000,14000,61000,18000,65000,13000,63000,45000,59000,53000,70000
6852,r005,All fields -> Government,All fields,Government,,,2,761000,87000,113000,80000,251000,98000,262000,81000,11000,108000,124000,80000
6852,r006,All fields -> S&E fields,All fields,S&E fields,,,2,4643000,93000,1296000,100000,906000,100000,1666000,89000,200000,71000,576000,83000
6852,r007,All fields -> S&E fields -> Business or industry,All fields,S&E fields,Business or industry,,3,3412000,100000,1172000,103000,666000,102000,1140000,96000,17000,50000,418000,85000
6852,r008,All fields -> S&E fields -> 4-year educational institution,All fields,S&E fields,4-year educational institution,,3,568000,62000,47000,78000,40000,97000,310000,47000,141000,72000,30000,51000
6852,r009,All fields -> S&E fields -> 2-year college or precollege educational institution,All fields,S&E fields,2-year college or precollege educational institution,,3,99000,65000,5000,60000,13000,63000,9000,62000,32000,61000,41000,70000
6852,r010,All fields -> S&E fields -> Government,All fields,S&E fields,Government,,3,564000,90000,73000,89000,187000,98000,208000,82000,S,S,87000,87000
6852,r011,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",,3,558000,65000,39000,86000,95000,75000,319000,60000,36000,56000,70000,59000
6852,r012,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> Business or industry",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",Business or industry,4,275000,75000,35000,94000,60000,70000,136000,77000,S,S,42000,59000
6852,r013,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> 4-year educational institution",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",4-year educational institution,4,170000,50000,S,S,9000,79000,123000,47000,24000,61000,11000,43000
6852,r014,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> 2-year college or precollege educational institution",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",2-year college or precollege educational institution,4,10000,54000,,,,,,,9000,54000,,
6852,r015,"All fields -> S&E fields -> Biological, agricultural, and environmental life sciences -> Government",All fields,S&E fields,"Biological, agricultural, and environmental life sciences",Government,4,103000,66000,1000,78000,25000,78000,60000,62000,1000,,16000,65000
6852,r016,All fields -> S&E fields -> Computer and mathematical sciences,All fields,S&E fields,Computer and mathematical sciences,,3,1353000,100000,736000,100000,207000,110000,260000,100000,48000,71000,102000,84000
6852,r017,All fields -> S&E fields -> Computer and mathematical sciences -> Business or industry,All fields,S&E fields,Computer and mathematical sciences,Business or industry,4,1120000,101000,664000,100000,156000,114000,214000,104000,6000,,80000,85000
6852,r018,All fields -> S&E fields -> Computer and mathematical sciences -> 4-year educational institution,All fields,S&E fields,Computer and mathematical sciences,4-year educational institution,4,87000,73000,29000,78000,7000,108000,21000,68000,25000,70000,5000,
6852,r019,All fields -> S&E fields -> Computer and mathematical sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Computer and mathematical sciences,2-year college or precollege educational institution,4,25000,64000,2000,52000,6000,71000,S,S,10000,61000,S,S
6852,r020,All fields -> S&E fields -> Computer and mathematical sciences -> Government,All fields,S&E fields,Computer and mathematical sciences,Government,4,121000,98000,41000,90000,37000,109000,23000,93000,,,14000,95000
6852,r021,All fields -> S&E fields -> Physical and related sciences,All fields,S&E fields,Physical and related sciences,,3,324000,85000,29000,90000,54000,95000,179000,85000,23000,77000,41000,70000
6852,r022,All fields -> S&E fields -> Physical and related sciences -> Business or industry,All fields,S&E fields,Physical and related sciences,Business or industry,4,186000,100000,24000,92000,41000,96000,90000,107000,,,31000,60000
6852,r023,All fields -> S&E fields -> Physical and related sciences -> 4-year educational institution,All fields,S&E fields,Physical and related sciences,4-year educational institution,4,90000,51000,2000,45000,4000,90000,63000,34000,19000,79000,2000,
6852,r024,All fields -> S&E fields -> Physical and related sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Physical and related sciences,2-year college or precollege educational institution,4,3000,66000,,,,,,,3000,55000,,
6852,r025,All fields -> S&E fields -> Physical and related sciences -> Government,All fields,S&E fields,Physical and related sciences,Government,4,44000,89000,3000,89000,8000,105000,25000,84000,,,8000,88000
6852,r026,All fields -> S&E fields -> Social and related sciences,All fields,S&E fields,Social and related sciences,,3,555000,80000,73000,85000,98000,89000,172000,78000,63000,70000,149000,79000
6852,r027,All fields -> S&E fields -> Social and related sciences -> Business or industry,All fields,S&E fields,Social and related sciences,Business or industry,4,299000,85000,62000,84000,62000,84000,91000,90000,4000,,79000,83000
