table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_hierarchy_depth,field_total_with_definite_plana_total,field_total_with_definite_plana_male,field_total_with_definite_plana_female,field_employment_total,field_employment_male,field_employment_female,field_postdoctoral_study_total,field_postdoctoral_study_male,field_postdoctoral_study_female
11704,r001,Doctorate recipients reporting annual salary,Doctorate recipients reporting annual salary,,,1,75000,83000,70000,100000,110000,87000,59155,60000,57000
11704,r002,Doctorate recipients reporting annual salary -> Science and engineering ,Doctorate recipients reporting annual salary,Science and engineering ,,2,78000,85000,70000,110000,120000,95000,60000,60000,57000
11704,r003,Doctorate recipients reporting annual salary -> Science and engineering  -> Agricultural sciences and natural resources,Doctorate recipients reporting annual salary,Science and engineering ,Agricultural sciences and natural resources,3,66000,65000,69000,85000,85000,83000,55000,55000,55000
11704,r004,Doctorate recipients reporting annual salary -> Science and engineering  -> Biological and biomedical sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Biological and biomedical sciences  ,3,64000,65000,64000,100000,106392,95000,56400,56100,56400
11704,r005,Doctorate recipients reporting annual salary -> Science and engineering  -> Computer and information sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Computer and information sciences  ,3,150000,150000,120000,160000,160000,140000,70000,70000,70000
11704,r006,Doctorate recipients reporting annual salary -> Science and engineering  -> Engineering  ,Doctorate recipients reporting annual salary,Science and engineering ,Engineering  ,3,100000,104000,95000,120000,120000,115000,60000,60000,60000
11704,r007,"Doctorate recipients reporting annual salary -> Science and engineering  -> Geosciences, atmospheric, and ocean sciences  ",Doctorate recipients reporting annual salary,Science and engineering ,"Geosciences, atmospheric, and ocean sciences  ",3,66500,67000,66250,82000,85000,78000,64417,63000,65000
11704,r008,Doctorate recipients reporting annual salary -> Science and engineering  -> Health sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Health sciences  ,3,80000,80000,80000,95000,100484,91650,59185,58000,59556
11704,r009,Doctorate recipients reporting annual salary -> Science and engineering  -> Mathematics and statistics  ,Doctorate recipients reporting annual salary,Science and engineering ,Mathematics and statistics  ,3,82000,80000,86250,120000,125000,118000,65000,67000,65000
11704,r010,Doctorate recipients reporting annual salary -> Science and engineering  -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting annual salary,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,3,105000,115000,82000,129000,135000,113625,62000,65000,60000
11704,r011,Doctorate recipients reporting annual salary -> Science and engineering  -> Physical sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Physical sciences  ,3,80000,80000,82727,115000,115000,110000,62000,60000,65000
11704,r012,Doctorate recipients reporting annual salary -> Science and engineering  -> Psychology  ,Doctorate recipients reporting annual salary,Science and engineering ,Psychology  ,3,58500,60000,58000,80000,82500,78000,54835,54840,54835
11704,r013,Doctorate recipients reporting annual salary -> Science and engineering  -> Social sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Social sciences  ,3,75000,77250,72000,85000,92000,80000,60000,60000,60000
11704,r014,Doctorate recipients reporting annual salary -> Non-science and engineering,Doctorate recipients reporting annual salary,Non-science and engineering,,2,70000,70000,70000,75000,78000,73000,56650,55957,58000
11704,r015,Doctorate recipients reporting annual salary -> Non-science and engineering -> Business,Doctorate recipients reporting annual salary,Non-science and engineering,Business,3,135000,140000,130000,140000,150000,135000,68000,65000,70000
11704,r016,Doctorate recipients reporting annual salary -> Non-science and engineering -> Education  ,Doctorate recipients reporting annual salary,Non-science and engineering,Education  ,3,75000,80000,72100,76700,85000,75000,60000,56000,60000
11704,r017,Doctorate recipients reporting annual salary -> Non-science and engineering -> Humanities,Doctorate recipients reporting annual salary,Non-science and engineering,Humanities,3,58000,57000,59754,60000,60000,60000,54000,53380,55000
11704,r018,Doctorate recipients reporting annual salary -> Non-science and engineering -> Visual and performing arts  ,Doctorate recipients reporting annual salary,Non-science and engineering,Visual and performing arts  ,3,57000,55000,60000,60000,55000,60000,55000,54920,55000
11704,r019,Doctorate recipients reporting annual salary -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting annual salary,Non-science and engineering,Other non-science and engineering,3,70000,71000,70000,74230,76000,72000,57000,60000,56448
