table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_isic_rev_4_industry_code,field_billions_of_dollars_2018,field_billions_of_dollars_2019,field_billions_of_dollars_2020,field_billions_of_dollars_2021,field_billions_of_dollars_2022,field_percent_change_2019,field_percent_change_2020,field_percent_change_2021,field_percent_change_2022,field_share_of_global_gdp_2018,field_share_of_global_gdp_2019,field_share_of_global_gdp_2020,field_share_of_global_gdp_2021,field_share_of_global_gdp_2022
10753,r001,GDP,GDP,,,,,1,,86219,87466,85221,96764,100396,1.4,-2.6,13.5,3.8,100.0,100.0,100.0,100.0,100.0
10753,r002,GDP -> All manufacturing,GDP,All manufacturing,,,,2,,13926,13809,13457,15882,17039,-0.8,-2.5,18.0,7.3,16.2,15.8,15.8,16.4,17.0
10753,r003,GDP -> Total private services,GDP,Total private services,,,,2,,37954,38725,37791,42485,44298,2.0,-2.4,12.4,4.3,44.0,44.3,44.3,43.9,44.1
10753,r004,GDP -> Total private services -> All KTI industries,GDP,Total private services,All KTI industries,,,3,,9085,9094,9055,10487,11079,0.1,-0.4,15.8,5.6,10.5,10.4,10.6,10.8,11.0
10753,r005,GDP -> Total private services -> All KTI industries -> KTI manufacturing,GDP,Total private services,All KTI industries,KTI manufacturing,,4,,6498,6389,6311,7346,7821,-1.7,-1.2,16.4,6.5,7.5,7.3,7.4,7.6,7.8
10753,r006,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Chemicals and chemical products,GDP,Total private services,All KTI industries,KTI manufacturing,Chemicals and chemical products,5,20,1072,1040,1018,1173,1406,-3.0,-2.2,15.2,19.9,1.2,1.2,1.2,1.2,1.4
10753,r007,"GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Pharmaceuticals, medicinal chemical, and botanical products ",GDP,Total private services,All KTI industries,KTI manufacturing,"Pharmaceuticals, medicinal chemical, and botanical products ",5,21,663,683,736,868,874,2.9,7.8,17.9,0.7,0.8,0.8,0.9,0.9,0.9
10753,r008,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Weapons and ammunition,GDP,Total private services,All KTI industries,KTI manufacturing,Weapons and ammunition,5,252,39,40,41,47,54,3.9,1.8,14.2,15.1,0.05,0.05,0.05,0.05,0.1
10753,r009,"GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Computer, electronic, and optical products ",GDP,Total private services,All KTI industries,KTI manufacturing,"Computer, electronic, and optical products ",5,26,1285,1250,1281,1478,1539,-2.8,2.6,15.4,4.1,1.5,1.4,1.5,1.5,1.5
10753,r010,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Electrical equipment ,GDP,Total private services,All KTI industries,KTI manufacturing,Electrical equipment ,5,27,661,658,669,794,837,-0.5,1.6,18.6,5.5,0.8,0.8,0.8,0.8,0.8
10753,r011,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Machinery and equipment nec,GDP,Total private services,All KTI industries,KTI manufacturing,Machinery and equipment nec,5,28,1169,1145,1145,1355,1427,-2.1,0.0,18.3,5.3,1.4,1.3,1.3,1.4,1.4
10753,r012,"GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Motor vehicles, trailers, and semi-trailers",GDP,Total private services,All KTI industries,KTI manufacturing,"Motor vehicles, trailers, and semi-trailers",5,29,1074,1029,922,1071,1074,-4.2,-10.4,16.2,0.3,1.2,1.2,1.1,1.1,1.1
10753,r013,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Air and spacecraft and related machinery,GDP,Total private services,All KTI industries,KTI manufacturing,Air and spacecraft and related machinery,5,303,247,257,226,246,277,3.7,-12.0,9.1,12.3,0.3,0.3,0.3,0.3,0.3
10753,r014,"GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Railroad, military vehicles, and transport equipment nec",GDP,Total private services,All KTI industries,KTI manufacturing,"Railroad, military vehicles, and transport equipment nec",5,30X,112,114,103,124,137,1.9,-9.5,20.6,10.4,0.1,0.1,0.1,0.1,0.1
10753,r015,GDP -> Total private services -> All KTI industries -> KTI manufacturing -> Medical and dental instruments and supplies ,GDP,Total private services,All KTI industries,KTI manufacturing,Medical and dental instruments and supplies ,5,325,175,173,170,190,196,-0.7,-2.1,11.7,3.4,0.2,0.2,0.2,0.2,0.2
10753,r016,GDP -> Total private services -> All KTI industries -> KTI services,GDP,Total private services,All KTI industries,KTI services,,4,,2588,2705,2744,3141,3258,4.5,1.5,14.4,3.7,3.0,3.1,3.2,3.2,3.2
10753,r017,GDP -> Total private services -> All KTI industries -> KTI services -> Software publishing,GDP,Total private services,All KTI industries,KTI services,Software publishing,5,582,301,333,382,443,463,10.8,14.6,16.0,4.5,0.3,0.4,0.4,0.5,0.5
10753,r018,GDP -> Total private services -> All KTI industries -> KTI services -> IT and other information services,GDP,Total private services,All KTI industries,KTI services,IT and other information services,5,62–63,1569,1632,1654,1884,1971,4.0,1.3,13.9,4.6,1.8,1.9,1.9,1.9,2.0
10753,r019,GDP -> Total private services -> All KTI industries -> KTI services -> Scientific R&D services ,GDP,Total private services,All KTI industries,KTI services,Scientific R&D services ,5,72,718,740,708,814,824,3.0,-4.2,14.9,1.3,0.8,0.8,0.8,0.8,0.8
