table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
2707,r001,All states,All states,,1,"['441,036', '  ']","['377,806', '  ']","['63,230', '  ']","['24,685', '  ']","['38,545', '  ']"
2707,r002,All states -> Alabama,All states,Alabama,2,"['2,236', '  ']","['1,284', '  ']","['952', '  ']","['851', '  ']","['101', '  ']"
2707,r003,All states -> Alaska,All states,Alaska,2,"['25', 'e ']","['20', 'e ']","['5', '  ']","['1', 'e ']","['4', '  ']"
2707,r004,All states -> Arizona,All states,Arizona,2,"['6,203', '  ']","['4,673', '  ']","['1,530', '  ']","['815', '  ']","['715', 'i ']"
2707,r005,All states -> Arkansas,All states,Arkansas,2,"['471', '  ']","['423', '  ']","['48', '  ']","['19', '  ']","['28', '  ']"
2707,r006,All states -> California,All states,California,2,"['144,524', '  ']","['129,656', '  ']","['14,868', '  ']","['7,177', '  ']","['7,691', '  ']"
2707,r007,All states -> Colorado,All states,Colorado,2,"['5,032', '  ']","['4,286', '  ']","['746', '  ']","['514', '  ']","['232', '  ']"
2707,r008,All states -> Connecticut,All states,Connecticut,2,"['7,488', '  ']","['6,193', '  ']","['1,295', '  ']","['939', '  ']","['356', '  ']"
2707,r009,All states -> Delaware,All states,Delaware,2,"['2,375', 'i ']","['1,432', 'i ']","['942', 'i ']","['9', '  ']","['933', 'i ']"
2707,r010,All states -> District of Columbia,All states,District of Columbia,2,"['400', '  ']","['278', '  ']","['122', '  ']","['105', '  ']","['17', '  ']"
2707,r011,All states -> Florida,All states,Florida,2,"['6,489', '  ']","['4,498', '  ']","['1,991', 'i ']","['1,282', 'i ']","['709', 'i ']"
2707,r012,All states -> Georgia,All states,Georgia,2,"['5,067', '  ']","['4,094', '  ']","['973', 'i ']","['105', 'i ']","['868', 'i ']"
2707,r013,All states -> Hawaii,All states,Hawaii,2,"['146', '  ']","['89', '  ']","['57', '  ']","['20', '  ']","['37', '  ']"
2707,r014,All states -> Idaho,All states,Idaho,2,"['2,556', '  ']","['2,376', '  ']","['180', '  ']","['4', 'i ']","['177', '  ']"
2707,r015,All states -> Illinois,All states,Illinois,2,"['13,182', '  ']","['12,239', '  ']","['943', '  ']","['84', '  ']","['859', '  ']"
2707,r016,All states -> Indiana,All states,Indiana,2,"['6,976', '  ']","['6,004', '  ']","['972', '  ']","['110', '  ']","['861', '  ']"
2707,r017,All states -> Iowa,All states,Iowa,2,"['3,315', '  ']","['2,556', '  ']","['759', '  ']","['434 - 665', '  ']","['94 - 325', '  ']"
2707,r018,All states -> Kansas,All states,Kansas,2,"['2,593', '  ']","['1,645', '  ']","['948', '  ']","['8', '  ']","['940', '  ']"
2707,r019,All states -> Kentucky,All states,Kentucky,2,"['1,435', '  ']","['1,178', '  ']","['257', '  ']","['199', '  ']","['58', '  ']"
2707,r020,All states -> Louisiana,All states,Louisiana,2,"['415', '  ']","['359', '  ']","['56', '  ']","['20', 'i ']","['37', '  ']"
2707,r021,All states -> Maine,All states,Maine,2,"['285', '  ']","['266', '  ']","['19', '  ']","['6', '  ']","['14', '  ']"
2707,r022,All states -> Maryland,All states,Maryland,2,"['6,016', '  ']","['4,227', '  ']","['1,789', '  ']","['1,326', '  ']","['463', '  ']"
2707,r023,All states -> Massachusetts,All states,Massachusetts,2,"['27,282', '  ']","['22,581', '  ']","['4,702', '  ']","['665', '  ']","['4,037', '  ']"
2707,r024,All states -> Michigan,All states,Michigan,2,"['22,412', '  ']","['20,323', '  ']","['2,089', '  ']","['260', '  ']","['1,829', '  ']"
2707,r025,All states -> Minnesota,All states,Minnesota,2,"['7,405', '  ']","['7,021', '  ']","['384', '  ']","['138', '  ']","['246', '  ']"
2707,r026,All states -> Mississippi,All states,Mississippi,2,"['276', '  ']","['250', '  ']","['26', '  ']","['11', '  ']","['15', '  ']"
2707,r027,All states -> Missouri,All states,Missouri,2,"['7,171', 'i ']","['3,976', '  ']","['3,195', 'i ']","['3,000', 'i ']","['195', 'i ']"
