table_id,row_id,rank,region_country_or_economy,2008,2018,average_annual_growth_rate_2008_18_,2018_world_total_,2018_cumulative_total_
1811,r001, - ,World,1755850,2555959,3.83,-, - 
1811,r002,1,China,249049,528263,7.81,20.67,20.67
1811,r003,2,United States,393979,422808,0.71,16.54,37.21
1811,r004,3,India,48998,135788,10.73,5.31,42.52
1811,r005,4,Germany,91904,104396,1.28,4.08,46.61
1811,r006,5,Japan,108241,98793,-0.91,3.87,50.47
1811,r007,6,United Kingdom,91358,97681,0.67,3.82,54.29
1811,r008,7,Russia,31798,81579,9.88,3.19,57.49
1811,r009,8,Italy,56157,71240,2.41,2.79,60.27
1811,r010,9,South Korea,44094,66376,4.17,2.6,62.87
1811,r011,10,France,66460,66352,-0.02,2.6,65.47
1811,r012,11,Brazil,35490,60148,5.42,2.35,67.82
1811,r013,12,Canada,53296,59968,1.19,2.35,70.17
1811,r014,13,Spain,44191,54537,2.13,2.13,72.3
1811,r015,14,Australia,37174,53610,3.73,2.1,74.4
1811,r016,15,Iran,17034,48306,10.99,1.89,76.29
1811,r017,-,EU,528938,622125,1.64,24.34,-
