table_id,row_id,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_full_path,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_level_1,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_level_2,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_level_3,_span_ng_bind_html_hcol_content_b_field_and_2018_carnegie_classification_b_span_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7528,r001,All doctorate recipients,All doctorate recipients,,,1,48909,50943,52703,53986,54886,54809,54552,55080,55609,55224,52250
7528,r002,All doctorate recipients -> R1: doctoral universities - very high research,All doctorate recipients,R1: doctoral universities - very high research,,2,39720,41251,42639,43190,43624,43351,43259,43600,43933,43447,41025
7528,r003,All doctorate recipients -> R2: doctoral universities - high research,All doctorate recipients,R2: doctoral universities - high research,,2,5859,6126,6460,6973,7280,7475,7442,7408,7465,7566,7066
7528,r004,All doctorate recipients -> Doctoral/ professional universities,All doctorate recipients,Doctoral/ professional universities,,2,1288,1408,1484,1774,1746,1847,1838,1908,1877,2025,2022
7528,r005,All doctorate recipients -> Other universities,All doctorate recipients,Other universities,,2,2042,2158,2120,2049,2236,2136,2013,2164,2334,2186,2137
7528,r006,All doctorate recipients -> Life sciences<sup>a</sup>,All doctorate recipients,Life sciences<sup>a</sup>,,2,11535,11964,12207,12484,12493,12539,12554,12754,12748,12549,11814
7528,r007,All doctorate recipients -> Life sciences<sup>a</sup> -> R1: doctoral universities - very high research,All doctorate recipients,Life sciences<sup>a</sup>,R1: doctoral universities - very high research,3,9144,9400,9653,9603,9555,9619,9749,9796,9763,9689,9057
7528,r008,All doctorate recipients -> Life sciences<sup>a</sup> -> R2: doctoral universities - high research,All doctorate recipients,Life sciences<sup>a</sup>,R2: doctoral universities - high research,3,1060,1148,1183,1361,1346,1385,1331,1421,1384,1371,1329
7528,r009,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral/ professional universities,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral/ professional universities,3,162,172,205,294,290,315,325,309,293,353,282
7528,r010,All doctorate recipients -> Life sciences<sup>a</sup> -> Other universities,All doctorate recipients,Life sciences<sup>a</sup>,Other universities,3,1169,1244,1166,1226,1302,1220,1149,1228,1308,1136,1146
7528,r011,All doctorate recipients -> Physical sciences and earth sciences,All doctorate recipients,Physical sciences and earth sciences,,2,5271,5419,5584,5910,5916,6251,6082,6330,6579,6241,5757
7528,r012,All doctorate recipients -> Physical sciences and earth sciences -> R1: doctoral universities - very high research,All doctorate recipients,Physical sciences and earth sciences,R1: doctoral universities - very high research,3,4619,4757,4882,5108,5153,5433,5323,5525,5738,5410,5037
7528,r013,All doctorate recipients -> Physical sciences and earth sciences -> R2: doctoral universities - high research,All doctorate recipients,Physical sciences and earth sciences,R2: doctoral universities - high research,3,586,590,635,744,701,745,701,727,766,757,646
7528,r014,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral/ professional universities,All doctorate recipients,Physical sciences and earth sciences,Doctoral/ professional universities,3,2,8,2,7,5,6,5,7,4,10,7
7528,r015,All doctorate recipients -> Physical sciences and earth sciences -> Other universities,All doctorate recipients,Physical sciences and earth sciences,Other universities,3,64,64,65,51,57,67,53,71,71,64,67
7528,r016,All doctorate recipients -> Mathematics and computer sciences,All doctorate recipients,Mathematics and computer sciences,,2,3273,3496,3660,3862,3818,3954,3842,4022,4230,4387,4373
7528,r017,All doctorate recipients -> Mathematics and computer sciences -> R1: doctoral universities - very high research,All doctorate recipients,Mathematics and computer sciences,R1: doctoral universities - very high research,3,2882,3060,3175,3346,3316,3365,3259,3469,3618,3721,3766
7528,r018,All doctorate recipients -> Mathematics and computer sciences -> R2: doctoral universities - high research,All doctorate recipients,Mathematics and computer sciences,R2: doctoral universities - high research,3,348,390,438,472,442,536,519,491,558,601,543
7528,r019,All doctorate recipients -> Mathematics and computer sciences -> Doctoral/ professional universities,All doctorate recipients,Mathematics and computer sciences,Doctoral/ professional universities,3,27,25,20,26,37,29,37,43,24,34,32
