table_id,row_id,_b_ffrdcs_b_full_path,_b_ffrdcs_b_level_1,_b_ffrdcs_b_level_2,_b_ffrdcs_b_level_3,_b_ffrdcs_b_hierarchy_depth,field_2017,field_2019,field_2021
7204,r001,All postdocs,All postdocs,,,1,2975,3335,3637
7204,r002,All postdocs -> University-administered FFRDCs,All postdocs,University-administered FFRDCs,,2,1296,1398,1405
7204,r003,All postdocs -> University-administered FFRDCs -> Ames Laboratory,All postdocs,University-administered FFRDCs,Ames Laboratory,3,44,34,42
7204,r004,All postdocs -> University-administered FFRDCs -> Argonne National Laboratory,All postdocs,University-administered FFRDCs,Argonne National Laboratory,3,297,310,331
7204,r005,All postdocs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All postdocs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,97,68,70
7204,r006,All postdocs -> University-administered FFRDCs -> Green Bank Observatory<sup>a</sup>,All postdocs,University-administered FFRDCs,Green Bank Observatory<sup>a</sup>,3,na,na,3
7204,r007,All postdocs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All postdocs,University-administered FFRDCs,Jet Propulsion Laboratory,3,188,201,195
7204,r008,All postdocs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All postdocs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,438,509,507
7204,r009,All postdocs -> University-administered FFRDCs -> Lincoln Laboratory,All postdocs,University-administered FFRDCs,Lincoln Laboratory,3,4,4,5
7204,r010,All postdocs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory<sup>b</sup>,All postdocs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory<sup>b</sup>,3,1,1,4
7204,r011,All postdocs -> University-administered FFRDCs -> National Center for Atmospheric Research,All postdocs,University-administered FFRDCs,National Center for Atmospheric Research,3,60,59,48
7204,r012,All postdocs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All postdocs,University-administered FFRDCs,National Radio Astronomy Observatory,3,13,16,9
7204,r013,All postdocs -> University-administered FFRDCs -> National Solar Observatory,All postdocs,University-administered FFRDCs,National Solar Observatory,3,2,4,3
7204,r014,All postdocs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All postdocs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,22,36,39
7204,r015,All postdocs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All postdocs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,46,66,45
7204,r016,All postdocs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All postdocs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,84,90,104
7204,r017,All postdocs -> Nonprofit-administered FFRDCs,All postdocs,Nonprofit-administered FFRDCs,,2,788,912,1029
7204,r018,All postdocs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,116,159,173
7204,r019,All postdocs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All postdocs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,0,0,5
7204,r020,All postdocs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All postdocs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,0,1,0
7204,r021,All postdocs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All postdocs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,102,189,195
7204,r022,All postdocs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,291,285,314
7204,r023,All postdocs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All postdocs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,279,278,342
7204,r024,All postdocs -> Industry-administered FFRDCs,All postdocs,Industry-administered FFRDCs,,2,891,1025,1203
7204,r025,All postdocs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All postdocs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,22,15,8
7204,r026,All postdocs -> Industry-administered FFRDCs -> Idaho National Laboratory,All postdocs,Industry-administered FFRDCs,Idaho National Laboratory,3,34,46,60
7204,r027,All postdocs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All postdocs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,228,253,300
7204,r028,All postdocs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All postdocs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,379,459,456
7204,r029,All postdocs -> Industry-administered FFRDCs -> Sandia National Laboratories,All postdocs,Industry-administered FFRDCs,Sandia National Laboratories,3,221,251,340
7204,r030,All postdocs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All postdocs,Industry-administered FFRDCs,Savannah River National Laboratory,3,7,1,39
