table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
3708,r001,All occupations,All occupations,,,,1,1008750,1475,41350,550,1600,150,235000,1325,35050,350,682350,1425,13400,400
3708,r002,All occupations -> Science occupations&#160;,All occupations,Science occupations&#160;,,,2,578050,2425,25100,475,800,125,124200,1600,18400,400,401750,2100,7750,325
3708,r003,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160;",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",,3,183050,1625,8050,300,150,50,43300,925,5100,250,123600,1400,2850,200
3708,r004,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Agricultural, food scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Agricultural, food scientist",4,14500,525,900,100,,,2950,275,600,100,10000,400,100,25
3708,r005,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Biochemists, biophysicist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Biochemists, biophysicist",4,19650,725,450,75,,,7350,425,250,75,11400,525,200,75
3708,r006,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Biological scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Biological scientist,4,30700,700,1550,125,,,6750,425,650,100,21100,550,650,100
3708,r007,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Forestry, conservation scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Forestry, conservation scientist",4,2750,225,50,25,,,150,50,0.05,0.05,2400,225,50,50
3708,r008,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Medical scientist",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Medical scientist,4,48300,1100,1750,150,50,25,13400,575,1500,125,30950,825,650,125
3708,r009,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Postsecondary teachers, agricultural, other natural sciences",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Postsecondary teachers, agricultural, other natural sciences",4,7150,375,400,75,,,1000,150,300,75,5350,325,100,50
3708,r010,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Postsecondary teachers, biological sciences",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;","Postsecondary teachers, biological sciences",4,37800,800,2000,175,0.05,0.05,4150,375,1100,125,29900,725,650,100
